                 pdb     free_param_best         sp_cor_best                nres      sp_cor_dist_Bf     sp_cor_wcn_dist       sp_cor_wcn_bf
              1CM0_A               5.800              -0.291                 162              0.7732             -0.8587             -0.7584
              1CNS_A               5.200              -0.446                 243              0.5978             -0.7522             -0.6854
              1COY_A               6.400              -0.543                 501              0.5904             -0.7584             -0.7333
              1CQQ_A               6.400              -0.341                 180              0.6286             -0.9209             -0.6823
              1CVR_A              20.200              -0.709                 432              0.7250             -0.9552             -0.8370
              1CWY_A              16.800              -0.627                 500              0.5159             -0.9269             -0.6797
              1CZ1_A               7.400              -0.556                 394              0.7644             -0.8974             -0.8443
              1CZF_A               7.800              -0.492                 335              0.5555             -0.6923             -0.6796
              1D1Q_A              16.200              -0.488                 159              0.7280             -0.9906             -0.7669
              1D4C_A              11.800              -0.337                 570              0.6656             -0.8305             -0.6930
              1D6O_A              10.000              -0.632                 107              0.4237             -0.9041             -0.6277
              1DDJ_A               7.800              -0.431                 247              0.6678             -0.9279             -0.7392
              1DGK_N              17.400              -0.795                 898              0.1247             -0.3245             -0.7870
              1DGS_A               8.600              -0.549                 581              0.2632             -0.4523             -0.5910
              1DIN_A               5.400              -0.440                 232              0.6996             -0.8451             -0.7592
              1DNP_A               6.400              -0.516                 469              0.5970             -0.5424             -0.6715
              1DVE_A              46.400              -0.340                 214              0.5408             -0.9991             -0.5527
              1E0C_A               6.600              -0.521                 270              0.5414             -0.7516             -0.6959
              1E1A_A               6.800              -0.474                 312              0.7823             -0.9237             -0.8358
              1E6E_A              10.400              -0.633                 457              0.4155             -0.7248             -0.6982
              1EB6_A               5.000              -0.403                 177              0.7591             -0.8027             -0.7659
              1EH5_A              44.600              -0.132                 279              0.7909             -0.9988             -0.7939
              1EUG_A               8.000              -0.491                 225              0.6459             -0.9048             -0.7439
              1EUU_A               9.800              -0.551                 601              0.2158             -0.5832             -0.5631
              1EX1_A               7.800              -0.658                 602              0.4172             -0.6748             -0.7226
              1EXN_A               5.800              -0.447                 267              0.2777             -0.6658             -0.5054
              1EXP_A               7.200              -0.340                 312              0.6625             -0.8261             -0.6908
              1EYP_A              31.600              -0.353                 212              0.3711             -0.9983             -0.3896
              1FF3_A              17.600              -0.532                 210              0.5572             -0.9869             -0.6213
              1FGH_A               7.600              -0.488                 753              0.7614             -0.8294             -0.8084
              1FHL_A               7.200              -0.372                 334              0.4876             -0.8089             -0.5854
              1FOA_A               7.000              -0.482                 342              0.5026             -0.7411             -0.6522
              1G24_A              41.400              -0.229                 210              0.5276             -0.9981             -0.5385
              1G6T_A               8.000              -0.550                 427              0.6743             -0.6993             -0.7619
              1G8O_A               8.600              -0.426                 287              0.5831             -0.9236             -0.6714
              1GA8_A              20.200              -0.249                 271              0.7391             -0.9846             -0.7570
              1GAL_A               5.800              -0.364                 581              0.6631             -0.6823             -0.6515
              1GCU_A              47.200              -0.550                 292              0.6738             -0.9976             -0.7005
              1GOG_A              27.200              -0.645                 639              0.5834             -0.9656             -0.6997
              1GP5_A               6.000              -0.447                 346              0.6951             -0.7629             -0.7380
              1GQ8_A               7.600              -0.651                 318              0.5455             -0.8067             -0.7624
              1H19_A               8.000              -0.538                 610              0.5453             -0.7709             -0.7075
              1H3I_A               7.200              -0.542                 293              0.3196             -0.6432             -0.5989
              1HKA_A              24.000              -0.397                 158              0.6108             -0.9955             -0.6377
              1HPL_A              33.800              -0.556                 449              0.6552             -0.9587             -0.7476
              1HPM_A               5.600              -0.429                 378              0.7460             -0.7316             -0.7408
              1HQC_A               4.600              -0.523                 314              0.2968             -0.3944             -0.5762
              1I1E_A              12.000              -0.707                1287              0.1793             -0.5022             -0.6918
              1I1I_P               8.600              -0.463                 665              0.5427             -0.7288             -0.6617
              1I9A_A               5.800              -0.283                 175              0.2911             -0.8490             -0.3902
              1IDJ_A               9.600              -0.522                 359              0.6426             -0.8431             -0.7568
              1IG8_A               7.600              -0.541                 469              0.4611             -0.6832             -0.6657
              1IM5_A               8.000              -0.483                 179              0.6147             -0.9350             -0.7099
              1INP_A               6.800              -0.344                 400              0.7479             -0.8350             -0.7501
              1IU4_A               7.800              -0.481                 331              0.5984             -0.7607             -0.7053
              1J00_A               3.000              -0.163                 176              0.6248             -0.6901             -0.5233
              1J09_A              50.000              -0.729                 468              0.2838             -0.9838             -0.4046
              1JH6_A               6.400              -0.468                 181              0.5560             -0.7512             -0.6746
              1JMS_A               7.000              -0.463                 360              0.5250             -0.6140             -0.6336
              1JOA_A               5.000              -0.362                 446              0.4096             -0.5316             -0.4971
              1JS4_A               7.400              -0.592                 605              0.5320             -0.5662             -0.7145
              1K30_A               6.800              -0.442                 363              0.5730             -0.7451             -0.6683
              1KL7_A              38.000              -0.262                 503              0.5380             -0.9982             -0.5501
              1KNP_A               4.400              -0.136                 529              0.6528             -0.7624             -0.5642
              1L1D_A              22.800              -0.353                 142              0.6765             -0.9976             -0.6931
              1L1L_A               8.000              -0.439                 717              0.6185             -0.7494             -0.6917
              1L6P_A              11.800              -0.602                 121              0.4605             -0.7907             -0.6914
              1L7N_A               8.200              -0.623                 207              0.4461             -0.8462             -0.6747
              1L7Q_A               9.200              -0.438                 571              0.6175             -0.7330             -0.6868
              1L8T_A              14.600              -0.423                 263              0.5517             -0.9470             -0.6357
              1L9X_A               7.800              -0.418                 288              0.6916             -0.9208             -0.7544
              1LBA_A              32.200              -0.237                 146              0.6944             -0.9990             -0.7013
              1LDM_A              49.400               0.304                 329              0.6650             -0.9958             -0.6413
              1LJL_A              33.800              -0.356                 130              0.7571             -0.9987             -0.7680
              1LVH_A              25.800              -0.494                 220              0.6506             -0.9685             -0.7234
              1M53_A               7.000              -0.427                 556              0.5123             -0.7699             -0.6282
              1MBB_A               9.400              -0.460                 340              0.6404             -0.8091             -0.7257
              1MJ9_A              18.000              -0.451                 273              0.7101             -0.9200             -0.7778
              1MLA_A               8.000              -0.331                 305              0.5971             -0.7855             -0.6336
              1MRQ_A               7.400              -0.387                 323              0.5819             -0.8493             -0.6606
              1MUD_A               6.800              -0.592                 225              0.2267             -0.6558             -0.5840
              1MUG_A              22.800              -0.097                 165              0.4797             -0.9978             -0.4843
              1NDH_A              13.000              -0.395                 270              0.5049             -0.9309             -0.5945
