            pdb_name         cutoff_best             sp_best          sp_default             sp_diff                nres
              1EH5_A              25.600              -0.512              -0.538              -0.026                 279
              1EUG_A               8.500              -0.622              -0.605               0.017                 225
              1EUU_A               9.000              -0.158              -0.061               0.096                 601
              1EX1_A              17.100              -0.458              -0.430               0.027                 602
              1EXN_A              21.000              -0.299              -0.307              -0.007                 267
              1EXP_A              23.000              -0.524              -0.493               0.031                 312
              1EYP_A              11.700              -0.282              -0.246               0.036                 212
              1FF3_A              10.200              -0.465              -0.457               0.008                 210
              1FGH_A              27.300              -0.625              -0.629              -0.004                 753
              1FHL_A              22.300              -0.459              -0.463              -0.004                 334
              1FOA_A              19.400              -0.575              -0.563               0.012                 342
              1G24_A              21.100              -0.446              -0.427               0.019                 210
              1G6T_A              23.000              -0.569              -0.577              -0.008                 427
              1G8O_A              12.100              -0.470              -0.409               0.061                 287
              1GA8_A              32.800              -0.549              -0.490               0.059                 271
              1GAL_A              24.100              -0.447              -0.470              -0.022                 581
              1GCU_A              10.900              -0.440              -0.368               0.072                 292
              1GOG_A              11.100              -0.358              -0.270               0.089                 639
              1GP5_A              11.100              -0.448              -0.418               0.030                 346
              1GQ8_A              10.000              -0.506              -0.448               0.059                 318
              1H19_A              18.000              -0.582              -0.595              -0.013                 610
              1H3I_A              15.700              -0.216              -0.195               0.020                 293
              1HKA_A               8.400              -0.474              -0.434               0.040                 158
              1HPL_A               9.800              -0.566              -0.548               0.019                 449
              1HPM_A              28.900              -0.611              -0.547               0.064                 378
              1HQC_A              21.900              -0.330              -0.307               0.023                 314
              1I1E_A              10.800              -0.361              -0.260               0.100                1287
              1I1I_P              41.700              -0.425              -0.386               0.039                 665
              1I9A_A              19.400              -0.483              -0.495              -0.013                 175
              1IDJ_A               8.700              -0.564              -0.503               0.061                 359
              1IG8_A              21.800              -0.543              -0.559              -0.016                 469
              1IM5_A               8.600              -0.549              -0.511               0.038                 179
              1INP_A              35.800              -0.423              -0.403               0.020                 400
              1IU4_A              11.500              -0.301              -0.269               0.031                 331
              1J00_A              27.900              -0.447              -0.375               0.072                 176
              1J09_A              27.100              -0.488              -0.479               0.009                 468
              1JH6_A              10.700              -0.425              -0.416               0.009                 181
              1JMS_A              11.900              -0.502              -0.491               0.011                 360
              1JOA_A              13.500              -0.440              -0.443              -0.003                 446
              1JS4_A              15.600              -0.542              -0.550              -0.009                 605
              1K30_A              44.200              -0.470              -0.417               0.053                 363
              1KL7_A              37.000              -0.658              -0.653               0.006                 503
              1KNP_A               9.700              -0.562              -0.544               0.018                 529
              1L1D_A              11.000              -0.569              -0.546               0.023                 142
              1L1L_A              21.800              -0.465              -0.455               0.010                 717
              1L6P_A              15.100              -0.360              -0.265               0.095                 121
              1L7N_A               9.500              -0.581              -0.506               0.074                 207
              1L7Q_A              12.400              -0.304              -0.224               0.080                 571
              1L8T_A              21.100              -0.546              -0.537               0.009                 263
              1L9X_A              22.800              -0.583              -0.577               0.006                 288
              1LBA_A              20.400              -0.554              -0.553               0.000                 146
              1LDM_A              20.600              -0.478              -0.481              -0.004                 329
              1LJL_A              12.600              -0.588              -0.532               0.056                 130
              1LVH_A              16.600              -0.604              -0.594               0.009                 220
              1M53_A              15.000              -0.578              -0.576               0.003                 556
              1MBB_A              23.300              -0.614              -0.604               0.010                 340
              1MJ9_A              23.000              -0.588              -0.529               0.059                 273
              1MLA_A              18.600              -0.498              -0.525              -0.028                 305
              1MRQ_A              14.900              -0.486              -0.462               0.024                 323
              1MUD_A              17.400              -0.439              -0.429               0.009                 225
              1MUG_A              22.100              -0.515              -0.463               0.052                 165
              1NDH_A              12.200              -0.413              -0.405               0.008                 270
              1NDI_A              10.900              -0.542              -0.498               0.043                 596
              1NLU_A              18.400              -0.554              -0.541               0.013                 368
              1O8A_A              11.400              -0.436              -0.429               0.008                 574
              1O98_A              29.400              -0.641              -0.630               0.011                 509
              1OG1_A              11.900              -0.467              -0.462               0.005                 223
              1OGO_X               4.900              -0.124              -0.086               0.038                 572
              1OJ4_A              12.700              -0.613              -0.625              -0.012                 277
              1ONR_A              28.700              -0.724              -0.722               0.002                 316
              1OPM_A               8.800              -0.410              -0.364               0.046                 310
              1OXA_A              12.500              -0.322              -0.276               0.046                 403
              1OYG_A              18.700              -0.464              -0.455               0.009                 440
              1P1X_A              24.600              -0.547              -0.537               0.010                 250
              1P3D_A              17.800              -0.543              -0.563              -0.020                 449
              1P5D_X              20.100              -0.550              -0.581              -0.031                 454
              1PA9_A              22.300              -0.539              -0.510               0.029                 279
              1PII_A              11.100              -0.596              -0.523               0.073                 452
              1PKN_A              34.600              -0.465              -0.462               0.003                 514
              1PMI_A              32.700              -0.582              -0.567               0.014                 440
              1PP4_A              11.200              -0.429              -0.411               0.019                 233
              1PS9_A              19.600              -0.571              -0.566               0.005                 671
              1PTD_A              20.900              -0.580              -0.560               0.019                 296
              1PUD_A              13.000              -0.435              -0.447              -0.012                 372
              1PYL_A              11.700              -0.322              -0.243               0.079                  95
              1Q91_A              24.500              -0.462              -0.436               0.027                 194
              1QAM_A              13.300              -0.375              -0.362               0.013                 235
              1QAZ_A               3.700              -0.158              -0.019               0.140                 351
              1QBA_A              12.800              -0.409              -0.440              -0.032                 858
              1QFM_A               9.700              -0.468              -0.447               0.020                 705
              1QGX_A              23.700              -0.508              -0.515              -0.007                 354
              1QJE_A              12.200              -0.332              -0.279               0.053                 327
              1QK2_A              29.400              -0.516              -0.504               0.012                 363
              1QWN_A              25.300              -0.480              -0.496              -0.017                1014
              1R1J_A               8.400              -0.447              -0.378               0.069                 696
              1R44_A              10.900              -0.594              -0.563               0.032                 202
              1R4Z_A              11.000              -0.493              -0.467               0.026                 179
              1RBN_A              11.500              -0.507              -0.476               0.031                 124
              1RDD_A               9.300              -0.372              -0.360               0.012                 155
              1RU4_A               7.700              -0.361              -0.319               0.043                 400
              1S3I_A              30.800              -0.470              -0.451               0.019                 307
              1S95_A              11.100              -0.553              -0.553               0.000                 324
              1SCA_A              10.300              -0.617              -0.620              -0.003                 274
              1SLL_A               7.900              -0.206              -0.134               0.072                 679
              1SML_A              12.100              -0.351              -0.335               0.016                 266
              1SNZ_A              10.100              -0.405              -0.359               0.046                 344
              1TAH_B              20.400              -0.486              -0.499              -0.013                 318
              1TLP_E               9.400              -0.481              -0.530              -0.050                 316
