            pdb_name            exp_best             sp_best          sp_default             sp_diff                nres
              1BVV_A              30.000               0.360              -0.347               0.013                 185
              1BVZ_A              -2.500              -0.455              -0.445               0.010                 585
              1BWL_A              -2.400              -0.460              -0.452               0.009                 399
              1BWZ_A              -0.200              -0.559              -0.545               0.014                 274
              1BYA_A              -2.500              -0.428              -0.423               0.005                 491
              1BZC_A              -1.000              -0.609              -0.598               0.011                 297
              1C82_A              -3.000              -0.437              -0.412               0.025                 719
              1CA2_A              -1.300              -0.552              -0.547               0.005                 256
              1CB8_A              -2.700              -0.515              -0.500               0.014                 674
              1CBX_A              -3.000              -0.494              -0.487               0.007                 307
              1CDG_A              -3.500              -0.295              -0.248               0.047                 686
              1CEL_A              -3.100              -0.535              -0.510               0.025                 433
              1CHD_A              -3.400              -0.418              -0.389               0.030                 198
              1CHK_B              -2.400              -0.333              -0.325               0.007                 238
              1CM0_A               0.600               0.347              -0.303               0.044                 162
              1CNS_A              -3.100              -0.504              -0.488               0.015                 243
              1COY_A              -2.400              -0.462              -0.459               0.003                 501
              1CQQ_A              30.000               0.370              -0.297               0.073                 180
              1CVR_A              -3.000              -0.374              -0.364               0.010                 432
              1CWY_A              -1.900              -0.574              -0.574               0.000                 500
              1CZ1_A              -1.100              -0.566              -0.562               0.004                 394
              1CZF_A              -3.100              -0.374              -0.341               0.033                 335
              1D1Q_A              -1.400              -0.534              -0.530               0.005                 159
              1D4C_A              -3.300              -0.449              -0.416               0.033                 570
              1D6O_A              -1.700              -0.301              -0.296               0.006                 107
              1DDJ_A              -2.300              -0.621              -0.619               0.002                 247
              1DGK_N              -2.700              -0.471              -0.457               0.014                 898
              1DGS_A              -1.800              -0.385              -0.383               0.002                 581
              1DIN_A              -2.300              -0.551              -0.547               0.004                 232
              1DNP_A              -2.500              -0.544              -0.533               0.010                 469
              1DVE_A              -2.200              -0.487              -0.484               0.002                 214
              1E0C_A              -3.100              -0.482              -0.457               0.026                 270
              1E1A_A              -1.100              -0.333              -0.329               0.004                 312
              1E6E_A              -1.700              -0.647              -0.645               0.003                 457
              1EB6_A              -1.300              -0.375              -0.372               0.003                 177
              1EH5_A              -2.300              -0.540              -0.538               0.002                 279
              1EUG_A              -2.300              -0.607              -0.605               0.002                 225
              1EUU_A              -3.500              -0.120              -0.061               0.059                 601
              1EX1_A              -3.200              -0.454              -0.430               0.024                 602
              1EXN_A              -1.300              -0.310              -0.307               0.003                 267
              1EXP_A              -0.600              -0.516              -0.493               0.022                 312
              1EYP_A              30.000               0.250              -0.246               0.004                 212
              1FF3_A              -2.400              -0.458              -0.457               0.001                 210
              1FGH_A              -1.400              -0.633              -0.629               0.004                 753
              1FHL_A              -0.800              -0.468              -0.463               0.006                 334
              1FOA_A              -1.200              -0.571              -0.563               0.007                 342
              1G24_A              -0.900              -0.434              -0.427               0.007                 210
              1G6T_A              -1.700              -0.579              -0.577               0.002                 427
              1G8O_A              -2.400              -0.414              -0.409               0.005                 287
              1GA8_A               5.900               0.560              -0.490               0.070                 271
              1GAL_A              -2.500              -0.474              -0.470               0.004                 581
              1GCU_A              -2.900              -0.382              -0.368               0.014                 292
              1GOG_A              -3.400              -0.318              -0.270               0.049                 639
              1GP5_A              -2.500              -0.423              -0.418               0.005                 346
              1GQ8_A              -3.200              -0.470              -0.448               0.023                 318
              1H19_A              -1.800              -0.597              -0.595               0.003                 610
              1H3I_A              -1.200              -0.198              -0.195               0.003                 293
              1HKA_A              12.200               0.459              -0.434               0.025                 158
              1HPL_A              -2.800              -0.569              -0.548               0.021                 449
              1HPM_A               0.300               0.591              -0.547               0.044                 378
              1HQC_A              29.600               0.355              -0.307               0.048                 314
              1I1E_A              -3.500              -0.343              -0.260               0.082                1287
              1I1I_P               3.000               0.407              -0.386               0.021                 665
              1I9A_A              -1.500              -0.502              -0.495               0.006                 175
              1IDJ_A              -3.100              -0.546              -0.503               0.044                 359
              1IG8_A              -1.500              -0.563              -0.559               0.004                 469
              1IM5_A              -2.400              -0.513              -0.511               0.003                 179
              1INP_A               1.200               0.431              -0.403               0.028                 400
              1IU4_A              -2.800              -0.275              -0.269               0.006                 331
              1J00_A               6.100               0.434              -0.375               0.059                 176
              1J09_A              -1.300              -0.495              -0.479               0.017                 468
              1JH6_A              -1.600              -0.418              -0.416               0.002                 181
              1JMS_A              -1.900              -0.492              -0.491               0.001                 360
              1JOA_A              -2.000              -0.443              -0.443               0.000                 446
              1JS4_A              -2.300              -0.556              -0.550               0.006                 605
              1K30_A               9.400               0.487              -0.417               0.070                 363
              1KL7_A              -0.900              -0.665              -0.653               0.012                 503
              1KNP_A              -2.300              -0.547              -0.544               0.003                 529
