            pdb_name        expmean_best             sp_best          sp_default             sp_diff                nres
              1H3I_A               3.800              -0.598              -0.567               0.031                 293
              1HKA_A               8.600              -0.645              -0.639               0.007                 158
              1HPL_A              12.200              -0.814              -0.778               0.036                 449
              1HPM_A              13.000              -0.828              -0.814               0.014                 378
              1HQC_A               6.600              -0.366              -0.372              -0.006                 314
              1I1E_A               4.200              -0.711              -0.619               0.092                1287
              1I1I_P               5.800              -0.682              -0.677               0.005                 665
              1I9A_A               2.400              -0.314              -0.297               0.017                 175
              1IDJ_A               6.200              -0.738              -0.731               0.007                 359
              1IG8_A               3.800              -0.627              -0.601               0.026                 469
              1IM5_A               4.800              -0.699              -0.683               0.016                 179
              1INP_A               9.800              -0.809              -0.814              -0.005                 400
              1IU4_A               5.200              -0.687              -0.683               0.004                 331
              1J00_A              45.600              -0.580              -0.544               0.035                 176
              1J09_A               7.800              -0.596              -0.591               0.005                 468
              1JH6_A               3.400              -0.546              -0.544               0.003                 181
              1JMS_A               4.600              -0.660              -0.658               0.002                 360
              1JOA_A              41.600              -0.443              -0.395               0.049                 446
              1JS4_A               5.000              -0.633              -0.616               0.017                 605
              1K30_A               4.800              -0.716              -0.719              -0.003                 363
              1KL7_A              12.000              -0.582              -0.576               0.006                 503
              1KNP_A              48.200              -0.653              -0.627               0.026                 529
              1L1D_A               3.600              -0.777              -0.774               0.003                 142
              1L1L_A               4.400              -0.694              -0.698              -0.004                 717
              1L6P_A               5.200              -0.633              -0.621               0.012                 121
              1L7N_A               2.600              -0.552              -0.500               0.053                 207
              1L7Q_A               8.400              -0.740              -0.737               0.003                 571
              1L8T_A               6.800              -0.636              -0.631               0.005                 263
              1L9X_A               3.800              -0.756              -0.751               0.005                 288
              1LBA_A              31.600              -0.675              -0.669               0.006                 146
              1LDM_A              49.000              -0.681              -0.667               0.014                 329
              1LJL_A               8.800              -0.770              -0.741               0.029                 130
              1LVH_A               8.600              -0.755              -0.743               0.012                 220
              1M53_A               4.600              -0.570              -0.559               0.010                 556
              1MBB_A               5.800              -0.734              -0.733               0.001                 340
              1MJ9_A              10.600              -0.798              -0.764               0.035                 273
              1MLA_A              10.000              -0.680              -0.681               0.000                 305
              1MRQ_A               3.000              -0.670              -0.660               0.009                 323
              1MUD_A               2.800              -0.472              -0.405               0.066                 225
              1MUG_A              11.200              -0.401              -0.390               0.012                 165
              1NDH_A               6.000              -0.625              -0.610               0.015                 270
              1NDI_A               6.200              -0.536              -0.543              -0.007                 596
              1NLU_A               6.000              -0.784              -0.778               0.006                 368
              1O8A_A               7.800              -0.621              -0.618               0.003                 574
              1O98_A               4.000              -0.661              -0.660               0.002                 509
              1OG1_A               3.600              -0.579              -0.560               0.018                 223
