"variable","mean","median","sd","min","q1","q3","max"
"asa",-0.452815286118131,-0.464557890432371,0.0859873772430198,-0.651941001017947,-0.516127171530752,-0.402285069147556,-0.155201889343447
"bfAA",-0.294400002948009,-0.295750556822786,0.0810419103447609,-0.567134736976291,-0.344964286582371,-0.240048620187175,-0.0321663207063283
"bfC",-0.158991789803576,-0.161803533149052,0.0736762500062453,-0.391325526429226,-0.206256531946899,-0.120835016506866,0.0677389219502344
"bfCA",-0.188999899483782,-0.194812053999052,0.0733485545125899,-0.369861636099194,-0.23413554152159,-0.150121074196724,0.0394551556036642
"bfCB",-0.24271742718388,-0.251319372291037,0.0791557677629831,-0.452593873522685,-0.288717900502618,-0.19080160793953,-0.0183532300351132
"bfN",-0.162499076061532,-0.167103697401511,0.0657201465326047,-0.328732089413536,-0.203991664246304,-0.123127277722502,0.0536068637868316
"bfO",-0.154690266693026,-0.151622063139087,0.067046020466334,-0.386302757187719,-0.196473180551869,-0.112301574791806,0.104406074561678
"bfSC",-0.336342153165374,-0.34206367670255,0.0854207198605268,-0.643478406770676,-0.390877570160421,-0.280387060929832,-0.0782013092785851
"ddgent",-0.463137018324006,-0.472747625170429,0.067611332059072,-0.643174558246621,-0.506207317007106,-0.411659613277378,-0.260030328112914
"hbe_mean",-0.160156495141436,-0.156265870334429,0.0650358274116091,-0.424763411107632,-0.200074084413622,-0.118311288198681,0.0423241473487955
"resvol",0.161630043268568,0.161943003232952,0.0758899474176496,-0.101057088492548,0.114091363892489,0.211519097295354,0.39160857021158
"rsa",-0.425178737097286,-0.438323312410174,0.0830400330802627,-0.605559405362864,-0.483042439929088,-0.376703665451827,-0.150394952893859
"seqent",-0.207128726171202,-0.209380090819109,0.0767781353718969,-0.479745157468958,-0.261868090773405,-0.151289824881718,-0.018068439332848
"sizeAA",-0.100810559873265,-0.102272025269509,0.0889891444436085,-0.397712152511057,-0.159917052877895,-0.0400486556813448,0.129675206723733
"sizeSC",-0.100810559873265,-0.102272025269509,0.0889891444436085,-0.397712152511057,-0.159917052877895,-0.0400486556813448,0.129675206723733
"VAAarea",-0.366594787725146,-0.37678679414662,0.0866844718439494,-0.557387107394354,-0.434609400044226,-0.312561734753042,-0.0760960841017781
"VAAeccentricity",-0.398801991226794,-0.411709852953732,0.0841592973749063,-0.569821876075115,-0.460731258065249,-0.349702130510115,-0.105889377692282
"VAAedge_length_total",-0.348050026461373,-0.355211476413671,0.0863600247608893,-0.548423426712377,-0.410837156566075,-0.289996699143789,-0.0643091830187177
"VAAfree_volume",-0.438405362751731,-0.453591169462797,0.0820674068163253,-0.623297654452986,-0.499248185491001,-0.388456032221078,-0.171811578502637
"VAAmodified_volume",-0.351782870622132,-0.360007801288014,0.0870212845091693,-0.550303081333665,-0.41989521706435,-0.300577076321069,-0.057548884545144
"VAAnfaces",0.0132572863434821,0.00762773629213683,0.0714151046260951,-0.186732628262695,-0.0318206998963531,0.0615994352196172,0.230003456403297
"VAAvolume",-0.353469805001299,-0.362517070594184,0.0873949653778074,-0.552039755612444,-0.421714269887763,-0.301757574868114,-0.0579291483888731
"VCAarea",-0.325174373196485,-0.337855604537093,0.0801728490791908,-0.47474832203988,-0.383889859162816,-0.271859056640511,-0.0723742697485389
"VCAeccentricity",-0.321455080902021,-0.33303286117022,0.0792190809145132,-0.470886863797722,-0.380637516356229,-0.26971470382342,-0.0730312437160453
"VCAedge_length_total",-0.307303540380411,-0.321219290680392,0.0789653601495677,-0.465421444239193,-0.362962476529852,-0.252522469056695,-0.0623839027180702
"VCAfree_volume",-0.374818739610652,-0.392349929909222,0.0765241842912978,-0.514067861648983,-0.432596198187786,-0.325868584837832,-0.162179417496979
"VCAmodified_volume",-0.314342174989777,-0.326387274824679,0.0798306602323597,-0.468740687064751,-0.370647802786024,-0.26119481085702,-0.0666306791423278
"VCAnfaces",0.0718649448700716,0.0718682887396109,0.0596588103416502,-0.0726515424525444,0.0281622305191992,0.116597098723597,0.218612129413098
"VCAvolume",-0.315333634233632,-0.328533520020002,0.0800073832756448,-0.462226618756842,-0.373647292352378,-0.2606332302978,-0.0671198521200405
"VSCarea",-0.40419779978448,-0.416144099157663,0.0855014845448984,-0.588510646418734,-0.465553043642986,-0.350093476664228,-0.120478983144967
"VSCeccentricity",-0.416720750788111,-0.423856576662489,0.0808532311734572,-0.605668121707618,-0.475632205495475,-0.365048392459685,-0.158835164681842
"VSCedge_length_total",-0.382556415525921,-0.391778822411438,0.0843623655001026,-0.592062948721178,-0.442911905979755,-0.332986003850904,-0.104416611974335
"VSCfree_volume",-0.474224651297781,-0.487822250101944,0.0802425655620302,-0.646606841120166,-0.530377895115556,-0.421846954493282,-0.22374152493039
"VSCmodified_volume",-0.391276940021422,-0.401633298700595,0.0856041822780531,-0.58320268860315,-0.453985047199502,-0.341284637996215,-0.106942896556323
"VSCnfaces",-0.015517343553997,-0.0215348938209282,0.0688909954810553,-0.202046208026356,-0.0630644602859027,0.0260887154751282,0.187843345610082
"VSCvolume",-0.392548537230222,-0.402802543481517,0.0859057818035183,-0.584429606878201,-0.454875173369863,-0.3391323479812,-0.107891293145766
"wcnAA",0.333880052531037,0.342228192824658,0.0805983537758593,0.0808790757468556,0.289317065064108,0.385217281376467,0.524241054885088
"wcnC",0.218552612072507,0.219716176592958,0.0689905828914898,0.0198940019416808,0.17326123419598,0.26273944373043,0.379385510946847
"wcnCA",0.262156726269657,0.270425093746913,0.0715030004288508,0.036459248420788,0.217718572300954,0.312823398750679,0.422160603479099
"wcnCB",0.319839985249902,0.322187164370862,0.0750103222681245,0.091024651659042,0.275250160897554,0.371192208316873,0.47716288230155
"wcnN",0.206724948429299,0.209087460456419,0.0665431056026295,-0.0156747544187018,0.167868513289308,0.24982282730417,0.391117959804663
"wcnO",0.218742073986859,0.225282690302861,0.0694403832897905,0.0281806707090342,0.175108067356498,0.267731302371177,0.397492857348787
"wcnSC",0.373798935279869,0.377690606909399,0.0818013414068408,0.11843104549909,0.319559477334202,0.425627092755343,0.569422332956455
