"pdb","vvolume","variable","value"
"13PK_A","vvolumeC","rsa",0.817930809380894
"13PK_A","vvolumeC","seqent",0.399675267209229
"13PK_A","vvolumeCA","ddgent",0.732256618447032
"13PK_A","vvolumeCA","hbe",0.344736385651033
"13PK_A","vvolumeCA","hpshh",0.382510174035023
"13PK_A","vvolumeCA","r4s_JC",0.521357941229189
"13PK_A","vvolumeCA","rsa",0.847162046343974
"13PK_A","vvolumeCA","seqent",0.429405686417681
"13PK_A","vvolumeCB","ddgent",0.766553169198533
"13PK_A","vvolumeCB","hbe",0.324795149694093
"13PK_A","vvolumeCB","hpshh",0.379562485423001
"13PK_A","vvolumeCB","r4s_JC",0.559851627445198
"13PK_A","vvolumeCB","rsa",0.875943793952033
"13PK_A","vvolumeCB","seqent",0.452503903526273
"13PK_A","vvolumeN","ddgent",0.618243904474248
"13PK_A","vvolumeN","hbe",0.407030578412798
"13PK_A","vvolumeN","hpshh",0.325318328750491
"13PK_A","vvolumeN","r4s_JC",0.469125863715881
"13PK_A","vvolumeN","rsa",0.766487936650857
"13PK_A","vvolumeN","seqent",0.393368576619537
"13PK_A","vvolumeO","ddgent",0.536347060482734
"13PK_A","vvolumeO","hbe",0.414055996132712
"13PK_A","vvolumeO","hpshh",0.263267538130011
"13PK_A","vvolumeO","r4s_JC",0.393515789579738
"13PK_A","vvolumeO","rsa",0.705671285956665
"13PK_A","vvolumeO","seqent",0.302006355838362
"13PK_A","vvolumeSC","ddgent",0.77386468952734
"13PK_A","vvolumeSC","hbe",0.274364996002376
"13PK_A","vvolumeSC","hpshh",0.458199807983022
"13PK_A","vvolumeSC","r4s_JC",0.574549206038954
"13PK_A","vvolumeSC","rsa",0.915905313026975
"13PK_A","vvolumeSC","seqent",0.488218138796681
"1A26_A","vvolumeAA","ddgent",0.785444832944833
"1A26_A","vvolumeAA","hbe",0.348057987893477
"1A26_A","vvolumeAA","hpshh",0.480328336283803
"1A26_A","vvolumeAA","r4s_JC",0.664521575695548
"1A26_A","vvolumeAA","rsa",0.935500304249514
"1A26_A","vvolumeAA","seqent",0.563537851037851
"1A26_A","vvolumeC","ddgent",0.668954378954379
"1A26_A","vvolumeC","hbe",0.455971890404803
"1A26_A","vvolumeC","hpshh",0.381408071734352
"1A26_A","vvolumeC","r4s_JC",0.593809053753202
"1A26_A","vvolumeC","rsa",0.824625147759483
"1A26_A","vvolumeC","seqent",0.496449383949384
"1A26_A","vvolumeCA","ddgent",0.7521114996115
"1A26_A","vvolumeCA","hbe",0.367671468322933
"1A26_A","vvolumeCA","hpshh",0.397919908949449
