"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
7.8,-0.637974840375587,-0.648878,-0.8278656,-0.740473,-0.55096,-0.4150154,0.133556334001809
7.9,-0.643189699530516,-0.658411,-0.837769,-0.748488,-0.550757,-0.4169076,0.133377965578828
8,-0.648758004694836,-0.663352,-0.839073,-0.751194,-0.552748,-0.4205566,0.133488489080184
8.1,-0.654172056338028,-0.672989,-0.8449782,-0.757249,-0.566852,-0.425531,0.13321812280538
8.2,-0.659652230046948,-0.673733,-0.8500086,-0.762419,-0.574911,-0.4311048,0.133070374219095
8.3,-0.664307131455399,-0.675983,-0.8529796,-0.767446,-0.577736,-0.441378,0.133227549888469
8.4,-0.670548629107981,-0.683451,-0.8592618,-0.774428,-0.581848,-0.4445262,0.134586312051491
8.5,-0.675620948356808,-0.687629,-0.8657752,-0.778278,-0.588184,-0.4539792,0.133630703688329
8.6,-0.679892901408451,-0.690974,-0.868444,-0.782389,-0.590352,-0.4591546,0.133183091666948
8.7,-0.684210610328639,-0.699429,-0.873482,-0.781494,-0.599022,-0.4594032,0.133034250701575
8.8,-0.688355549295775,-0.704835,-0.8751094,-0.787592,-0.605099,-0.4652444,0.133042421770005
8.9,-0.691706976525822,-0.705889,-0.8743236,-0.79407,-0.607664,-0.4594526,0.132112238410256
9,-0.696274079812207,-0.710414,-0.8751808,-0.7998,-0.611043,-0.4739618,0.13169741523777
9.1,-0.699797957746479,-0.717679,-0.8787536,-0.800281,-0.610782,-0.4718874,0.132657525228991
9.2,-0.70351917370892,-0.716717,-0.8839998,-0.805255,-0.615771,-0.4793852,0.132992422377668
9.3,-0.707049,-0.721538,-0.8884464,-0.808616,-0.618678,-0.474213,0.132901609684979
9.4,-0.71007323943662,-0.723581,-0.8896088,-0.8114,-0.625319,-0.4717916,0.13328934688016
9.5,-0.713611117370892,-0.730224,-0.8914242,-0.815166,-0.626909,-0.4788226,0.133063217104107
9.6,-0.717451258215962,-0.735731,-0.8943038,-0.817126,-0.630579,-0.4786046,0.132561543568339
9.7,-0.720791816901408,-0.740678,-0.895454,-0.818269,-0.635998,-0.4899334,0.132513552774478
9.8,-0.724421671361502,-0.745962,-0.8977532,-0.821684,-0.641619,-0.4898364,0.1321931323186
9.9,-0.727572690140845,-0.746673,-0.9020466,-0.825205,-0.644001,-0.4834664,0.132044824182597
10,-0.730697159624413,-0.749175,-0.9072168,-0.827737,-0.648842,-0.501005,0.131746659293949
10.1,-0.733820483568075,-0.751706,-0.9096632,-0.832814,-0.652279,-0.5016576,0.132225468308071
10.2,-0.736366234741784,-0.756374,-0.9106892,-0.838061,-0.65162,-0.504411,0.132541813783572
10.3,-0.738910990610329,-0.757936,-0.913192,-0.842339,-0.654084,-0.5037074,0.132839581368649
10.4,-0.741987267605634,-0.76479,-0.9179428,-0.844328,-0.66184,-0.5078234,0.132422006578343
10.5,-0.744399309859155,-0.76687,-0.9168244,-0.845659,-0.660441,-0.5091862,0.132497261081759
10.6,-0.747371267605634,-0.770619,-0.919178,-0.845766,-0.667023,-0.5132366,0.132146915659074
10.7,-0.750017497652582,-0.771437,-0.9210668,-0.848988,-0.66988,-0.5140408,0.13218966125754
10.8,-0.752943732394366,-0.774663,-0.9224698,-0.853253,-0.672938,-0.5106526,0.1320173793798
10.9,-0.756247356807512,-0.778094,-0.9223496,-0.858547,-0.675664,-0.5107102,0.131769847529177
11,-0.758669643192488,-0.781836,-0.9240334,-0.85913,-0.676192,-0.5151392,0.131624710599959
11.1,-0.761035291079812,-0.787791,-0.9228034,-0.862433,-0.680198,-0.5174804,0.131414851062694
11.2,-0.763459338028169,-0.792143,-0.925436,-0.866215,-0.684223,-0.5180088,0.131370745365349
11.3,-0.765779154929577,-0.791575,-0.929106,-0.868417,-0.684297,-0.5209462,0.131362023174398
11.4,-0.768425647887324,-0.796511,-0.9305752,-0.868968,-0.6812,-0.5290506,0.130571203744529
