"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
12,-0.699946962441315,-0.70025,-0.7767862,-0.728158,-0.670472,-0.6297306,0.0446659519081042
12.2,-0.697306713615023,-0.696988,-0.7756612,-0.726452,-0.665844,-0.6264814,0.0453464406450719
12.4,-0.694723774647887,-0.694304,-0.7749766,-0.725094,-0.663333,-0.6232974,0.0460237757328068
12.6,-0.692079169014085,-0.691532,-0.7739776,-0.723246,-0.660496,-0.6197892,0.0467259060615542
12.8,-0.689519802816901,-0.689249,-0.7729814,-0.721122,-0.65819,-0.6164842,0.0474240232979323
13,-0.687003431924883,-0.686465,-0.7711482,-0.718374,-0.654999,-0.61339,0.0481590686374803
13.2,-0.684456774647887,-0.684011,-0.7685288,-0.715523,-0.652659,-0.6091888,0.0488408830284235
13.4,-0.681976075117371,-0.680885,-0.766599,-0.713788,-0.649364,-0.6047754,0.0494872703045182
13.6,-0.679562647887324,-0.678883,-0.765584,-0.710674,-0.646886,-0.6019796,0.0501877945123336
13.8,-0.677095009389671,-0.674995,-0.765014,-0.70918,-0.644227,-0.5994392,0.0509018068580577
14,-0.674690971830986,-0.672253,-0.7646378,-0.707311,-0.641331,-0.596387,0.0515975570700158
14.2,-0.672299755868545,-0.670411,-0.763632,-0.705035,-0.639096,-0.5932122,0.0522709264750756
14.4,-0.669987558685446,-0.667771,-0.7622706,-0.702917,-0.636712,-0.5902342,0.0529751097723188
14.6,-0.667641516431925,-0.664421,-0.7606592,-0.702048,-0.633949,-0.5867966,0.05366075857281
14.8,-0.665343690140845,-0.662423,-0.7593052,-0.700321,-0.631469,-0.5835706,0.0543236383939475
15,-0.663140732394366,-0.6598,-0.7585912,-0.699145,-0.628587,-0.5798406,0.0551157193949542
15.2,-0.660903788732394,-0.65758,-0.7574906,-0.697283,-0.62543,-0.5761718,0.0558897296732632
15.4,-0.658699323943662,-0.654527,-0.7561732,-0.696244,-0.62308,-0.5720256,0.0566610374546479
15.6,-0.656460286384977,-0.651598,-0.7551382,-0.694758,-0.620149,-0.568014,0.0574182513582182
15.8,-0.654328488262911,-0.649599,-0.7536952,-0.69345,-0.616961,-0.56392,0.0581887848254973
16,-0.652283399061033,-0.646626,-0.7520992,-0.692625,-0.613459,-0.5604542,0.0589603623281233
16.2,-0.650200342723005,-0.644575,-0.7503908,-0.691729,-0.610127,-0.5573232,0.0597118579973063
16.4,-0.648158,-0.641948,-0.7489656,-0.690379,-0.606767,-0.5537922,0.060416697252701
16.6,-0.646196309859155,-0.640047,-0.747438,-0.68986,-0.603623,-0.55026,0.0611648550440077
16.8,-0.644209051643193,-0.638048,-0.7456898,-0.688459,-0.601202,-0.5473246,0.0618826925030462
17,-0.642298230046948,-0.636479,-0.7445296,-0.687269,-0.598696,-0.5438288,0.062642176047686
17.2,-0.640342924882629,-0.634497,-0.7433888,-0.686198,-0.595127,-0.5407638,0.0633306317557249
17.4,-0.638454145539906,-0.631764,-0.742363,-0.68554,-0.592818,-0.5374476,0.0640557835247104
17.6,-0.636583248826291,-0.629769,-0.7413484,-0.68453,-0.591502,-0.534254,0.0647219554206361
17.8,-0.634763544600939,-0.628339,-0.7406062,-0.683788,-0.590179,-0.5310928,0.0654583426320585
18,-0.632979314553991,-0.626727,-0.7400478,-0.681245,-0.587301,-0.5282516,0.0661712251633053
18.2,-0.63125734741784,-0.625609,-0.7391652,-0.67938,-0.584884,-0.5255932,0.0669088790774259
18.4,-0.629476704225352,-0.623936,-0.7384152,-0.677841,-0.5836,-0.522194,0.0676573728150715
18.6,-0.627710333333333,-0.622526,-0.7371008,-0.677015,-0.58189,-0.5184786,0.06834476880153
18.8,-0.626034436619718,-0.621127,-0.7364184,-0.676693,-0.579915,-0.515074,0.069083234801462
19,-0.624392215962441,-0.619703,-0.7356794,-0.675765,-0.577868,-0.5131024,0.0698203028404111
19.2,-0.622768549295775,-0.618851,-0.7350202,-0.675278,-0.575742,-0.5112586,0.0705084349494606
19.4,-0.621172159624413,-0.61757,-0.7347514,-0.673643,-0.572904,-0.509559,0.0711462275840165
19.6,-0.619599906103286,-0.615737,-0.7345348,-0.673038,-0.571211,-0.5074556,0.07185265442544
19.8,-0.618049272300469,-0.61443,-0.734176,-0.672169,-0.568077,-0.5047312,0.0725096690899171
20,-0.616594342723005,-0.612749,-0.733815,-0.670816,-0.566792,-0.5023256,0.0731879628182193
20.2,-0.615048384976526,-0.611787,-0.7331472,-0.669859,-0.564178,-0.4993646,0.0739270029923205
20.4,-0.613590502347418,-0.610163,-0.7329778,-0.669353,-0.561431,-0.4963928,0.0746023989315094
20.6,-0.612190230046948,-0.608738,-0.732486,-0.668923,-0.559109,-0.4931544,0.0752571386612582
20.8,-0.610737469483568,-0.607346,-0.7322548,-0.668383,-0.556526,-0.4901092,0.0759160214416777
21,-0.609372779342723,-0.605576,-0.7318284,-0.667958,-0.555304,-0.4873212,0.0765160574576439
21.2,-0.608021962441315,-0.603846,-0.7314482,-0.667895,-0.55352,-0.484908,0.0771648283545017
21.4,-0.606704258215962,-0.602469,-0.731092,-0.667133,-0.552107,-0.4824808,0.0777793905910255
21.6,-0.605428201877934,-0.600783,-0.730813,-0.666333,-0.550666,-0.4800174,0.0784109174099945
21.8,-0.604097798122066,-0.599819,-0.7301314,-0.665829,-0.549122,-0.4779306,0.0790498573444084
22,-0.602813892018779,-0.598804,-0.7297796,-0.665359,-0.546802,-0.4758542,0.0796681427909372
22.2,-0.601544399061033,-0.597962,-0.7293604,-0.664757,-0.545117,-0.474011,0.0802539613432177
22.4,-0.600288262910798,-0.596803,-0.7293884,-0.664077,-0.544507,-0.4724142,0.0807953372206028
22.6,-0.599107075117371,-0.596169,-0.7290896,-0.663408,-0.543685,-0.4707844,0.0813697269943549
22.8,-0.597925727699531,-0.595078,-0.7286978,-0.662409,-0.541376,-0.46804,0.0818895162788152
23,-0.596773882629108,-0.594345,-0.7281478,-0.661972,-0.539003,-0.4651904,0.0824661050706811
23.2,-0.59563514084507,-0.59295,-0.727997,-0.661044,-0.536741,-0.463149,0.0830384995261568
23.4,-0.594559535211268,-0.591768,-0.7278388,-0.661244,-0.534822,-0.4611882,0.0835900910702177
23.6,-0.59347076056338,-0.590585,-0.7279518,-0.661311,-0.533183,-0.4593208,0.0841394314161441
23.8,-0.592413075117371,-0.589976,-0.7277206,-0.659762,-0.531972,-0.4576784,0.0846650676368749
24,-0.591349267605634,-0.589186,-0.7274802,-0.659225,-0.530599,-0.455928,0.0852030527795315
24.2,-0.590274215962441,-0.587607,-0.7272734,-0.658375,-0.529533,-0.4545694,0.0857180048520241
24.4,-0.589222314553991,-0.58591,-0.7270224,-0.657812,-0.527224,-0.4528102,0.0862323884436023
24.6,-0.58823785915493,-0.584183,-0.7269316,-0.657432,-0.525943,-0.4510588,0.0867207813943687
24.8,-0.587237995305164,-0.582804,-0.7264364,-0.657126,-0.524746,-0.4492278,0.0872104277594476
25,-0.586286511737089,-0.581791,-0.7260086,-0.656423,-0.523524,-0.4475814,0.087699424722442
25.2,-0.585347938967136,-0.581275,-0.7255506,-0.656749,-0.522597,-0.446228,0.0881788801530624
25.4,-0.584392361502347,-0.581155,-0.7253214,-0.656356,-0.521611,-0.4445084,0.0886865884467671
25.6,-0.583484075117371,-0.579481,-0.7249376,-0.655585,-0.51969,-0.4428572,0.0891431964803799
25.8,-0.582563169014085,-0.578345,-0.7244328,-0.654245,-0.518315,-0.4413282,0.0895993964149017
26,-0.58168265258216,-0.577185,-0.7242884,-0.653281,-0.517227,-0.4399624,0.0900570978850255
26.2,-0.580767751173709,-0.575601,-0.7242824,-0.652636,-0.515876,-0.4385796,0.0905227368714991
26.4,-0.579912225352113,-0.574633,-0.7241932,-0.652085,-0.514971,-0.4370396,0.0909495369847037
26.6,-0.57906176056338,-0.574325,-0.7241122,-0.651285,-0.513954,-0.4355572,0.0914070396243665
26.8,-0.578224539906103,-0.57343,-0.724083,-0.650964,-0.513077,-0.4341598,0.0918308372746372
27,-0.577409765258216,-0.572612,-0.7238746,-0.650262,-0.511297,-0.4323184,0.0922585338948934
27.2,-0.576602699530516,-0.571196,-0.7236656,-0.64979,-0.510185,-0.4306814,0.0926715801310454
27.4,-0.57585179342723,-0.569346,-0.72348,-0.649432,-0.508714,-0.4293148,0.0930712468800951
27.6,-0.575117220657277,-0.568649,-0.7233968,-0.648793,-0.507669,-0.4277418,0.093479823583544
27.8,-0.574326845070423,-0.568223,-0.7232826,-0.648297,-0.506429,-0.4262182,0.0938741962107107
28,-0.573622943661972,-0.56737,-0.7229754,-0.647954,-0.504789,-0.424645,0.0942976358888346
28.2,-0.572876666666667,-0.566634,-0.7228764,-0.647432,-0.503837,-0.423597,0.0946948348025874
28.4,-0.572164629107981,-0.56618,-0.722697,-0.646795,-0.502842,-0.4224222,0.0950583254064264
28.6,-0.571457441314554,-0.565945,-0.7225528,-0.646381,-0.501918,-0.4211828,0.0954394739105533
28.8,-0.570715755868545,-0.5653,-0.7223926,-0.645662,-0.50049,-0.4200786,0.0958013659870143
