"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
7.8,-0.456793389671362,-0.469533,-0.5979742,-0.527197,-0.404041,-0.2568158,0.105961048817448
7.9,-0.458753295774648,-0.474481,-0.5944212,-0.528952,-0.406418,-0.2654876,0.105801410624989
8,-0.462259478873239,-0.476275,-0.602148,-0.533178,-0.409302,-0.2769002,0.106088888892784
8.1,-0.465439281690141,-0.476932,-0.6062728,-0.533043,-0.412446,-0.2777342,0.1065608977196
8.2,-0.467780920187793,-0.48397,-0.6113232,-0.536977,-0.415483,-0.2725144,0.107436893516517
8.3,-0.470247126760563,-0.485794,-0.613307,-0.54035,-0.418373,-0.2789484,0.10609317062992
8.4,-0.473546798122066,-0.489206,-0.6180084,-0.543062,-0.42435,-0.2860044,0.106349782459445
8.5,-0.476251248826291,-0.489974,-0.6186556,-0.548346,-0.429647,-0.286889,0.107528516053242
8.6,-0.47824485915493,-0.490786,-0.6205038,-0.552165,-0.430712,-0.2832864,0.107880612205043
8.7,-0.480691624413146,-0.48891,-0.6208352,-0.554487,-0.438654,-0.2790666,0.107910327589885
8.8,-0.483028943661972,-0.493981,-0.6194204,-0.554445,-0.433033,-0.2851954,0.107540021771654
8.9,-0.484963995305164,-0.496947,-0.6299632,-0.557276,-0.43667,-0.2853636,0.10751770013994
9,-0.487343868544601,-0.49835,-0.6334542,-0.560232,-0.441703,-0.2820306,0.108743013297804
9.1,-0.48865485915493,-0.499574,-0.6289444,-0.556498,-0.442404,-0.2820638,0.108509054688906
9.2,-0.489933338028169,-0.503245,-0.6363306,-0.567557,-0.441501,-0.2816782,0.110149521414476
9.3,-0.490845183098592,-0.503939,-0.6378976,-0.563658,-0.435983,-0.278712,0.11053886654258
9.4,-0.491182084507042,-0.503953,-0.6352044,-0.56459,-0.440319,-0.2823798,0.110846365211479
9.5,-0.492132610328638,-0.509046,-0.6380226,-0.565967,-0.439472,-0.2831384,0.111277798534913
9.6,-0.493174070422535,-0.509848,-0.6373654,-0.570774,-0.444613,-0.2824754,0.111629297317859
9.7,-0.49360182629108,-0.510966,-0.6393308,-0.57043,-0.44518,-0.2842296,0.112391237335038
9.8,-0.494960638497653,-0.514096,-0.6424922,-0.568181,-0.445036,-0.2896666,0.11216414254197
9.9,-0.495423990610329,-0.508163,-0.6460842,-0.568101,-0.446512,-0.2910422,0.112315498322343
10,-0.496373737089202,-0.507142,-0.6487774,-0.569242,-0.446702,-0.2941976,0.112763419915854
10.1,-0.497055502347418,-0.511843,-0.6477604,-0.573888,-0.444474,-0.2873836,0.113377531586748
10.2,-0.496891361502347,-0.510708,-0.6454254,-0.572588,-0.446819,-0.2895154,0.11302724793137
10.3,-0.496283093896714,-0.5078,-0.6439734,-0.57306,-0.444824,-0.2894402,0.112763426485436
10.4,-0.496587751173709,-0.50996,-0.6425622,-0.573265,-0.443675,-0.2895882,0.112495727332654
10.5,-0.496045159624413,-0.514163,-0.6424756,-0.57514,-0.442746,-0.2862454,0.112475616191524
10.6,-0.496033985915493,-0.51101,-0.6404222,-0.575449,-0.442871,-0.287081,0.112718652067985
10.7,-0.496237417840376,-0.512394,-0.6417582,-0.571959,-0.445473,-0.2877292,0.113670443628612
10.8,-0.496445920187793,-0.512148,-0.63932,-0.574758,-0.447011,-0.2884832,0.113521333613614
10.9,-0.496148305164319,-0.511939,-0.641988,-0.576174,-0.445835,-0.2888358,0.113561263185343
11,-0.496139985915493,-0.509672,-0.6408798,-0.575476,-0.443829,-0.288154,0.114042513110304
11.1,-0.49573061971831,-0.509723,-0.6420436,-0.572785,-0.442891,-0.2929024,0.114180092923834
11.2,-0.496094910798122,-0.511074,-0.6406042,-0.575726,-0.444458,-0.2968298,0.114034315436753
11.3,-0.496615892018779,-0.510739,-0.643071,-0.571794,-0.440691,-0.3013206,0.113114187647623
11.4,-0.496093338028169,-0.510623,-0.6431338,-0.573134,-0.441806,-0.293237,0.113303404388054
11.5,-0.496916384976526,-0.510593,-0.6419996,-0.577101,-0.443125,-0.293873,0.11326291123762
11.6,-0.497178183098592,-0.510258,-0.6413586,-0.577405,-0.444296,-0.2985904,0.112909108987237
11.7,-0.496849323943662,-0.512871,-0.6401322,-0.574719,-0.443301,-0.3008382,0.112976068794241
11.8,-0.497759215962441,-0.513433,-0.6408164,-0.576786,-0.443739,-0.3031906,0.112967789882489
11.9,-0.497306333333333,-0.511614,-0.640563,-0.578421,-0.444457,-0.30706,0.112810694648897
12,-0.49724203286385,-0.510961,-0.641713,-0.578879,-0.446586,-0.310654,0.112527185409202
12.1,-0.496887840375587,-0.512508,-0.6424324,-0.579882,-0.446928,-0.3078092,0.112593974244674
12.2,-0.497106375586854,-0.51222,-0.6419238,-0.582842,-0.449424,-0.3099018,0.112644435323787
