"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
7.8,-0.602812300469484,-0.602122,-0.6784576,-0.632221,-0.574028,-0.5293536,0.0445545499221772
7.9,-0.606159694835681,-0.606858,-0.6781322,-0.635205,-0.576334,-0.5383958,0.0436201672151015
8,-0.609582028169014,-0.609867,-0.680032,-0.64049,-0.580067,-0.5422846,0.0433790535198985
8.1,-0.612256056338028,-0.612005,-0.6833444,-0.642544,-0.580956,-0.5371856,0.0440701571333818
8.2,-0.614092248826291,-0.614855,-0.6851358,-0.643927,-0.582742,-0.5449368,0.0438089199252616
8.3,-0.615286197183099,-0.616417,-0.6880666,-0.646923,-0.586736,-0.5456982,0.0431728941111507
8.4,-0.617477258215962,-0.615261,-0.6900366,-0.646049,-0.591766,-0.5500968,0.0425428674032505
8.5,-0.618628868544601,-0.620068,-0.6877292,-0.645326,-0.587417,-0.5512396,0.0423646902537238
8.6,-0.619995802816901,-0.621564,-0.6871822,-0.646888,-0.591337,-0.5536286,0.0419342791895797
8.7,-0.621103314553991,-0.62294,-0.6870796,-0.650572,-0.591098,-0.5539386,0.0411478337754825
8.8,-0.6229160657277,-0.622484,-0.690277,-0.650959,-0.589437,-0.5545816,0.0415965858303412
8.9,-0.624619276995305,-0.623241,-0.691927,-0.653501,-0.597391,-0.5569418,0.0417945335684132
9,-0.626699314553991,-0.626104,-0.6931832,-0.656038,-0.598478,-0.5598076,0.0423673246531309
9.1,-0.627902737089202,-0.62647,-0.694463,-0.658481,-0.597051,-0.5640672,0.0418059965070732
9.2,-0.629695502347418,-0.630241,-0.695396,-0.661115,-0.597117,-0.564407,0.0424368370653335
9.3,-0.630564417840376,-0.629681,-0.6979192,-0.660632,-0.599592,-0.5644804,0.0426449416652338
9.4,-0.632315281690141,-0.631549,-0.6989928,-0.663424,-0.600901,-0.5685632,0.042472538689284
9.5,-0.634555544600939,-0.635131,-0.7005444,-0.664571,-0.60447,-0.5669184,0.0418069230647916
9.6,-0.637735117370892,-0.638131,-0.700989,-0.666772,-0.608322,-0.575335,0.0404172797626882
9.7,-0.64040076056338,-0.641957,-0.703722,-0.669102,-0.612116,-0.5758918,0.0397310351675469
9.8,-0.642774079812207,-0.643217,-0.702401,-0.672042,-0.614512,-0.5735524,0.0393926365742622
9.9,-0.644620502347418,-0.643834,-0.702535,-0.672348,-0.619227,-0.5800934,0.0390442039733371
10,-0.646815192488263,-0.646834,-0.7024058,-0.674681,-0.621236,-0.5829202,0.0384988007457858
10.1,-0.648871338028169,-0.649272,-0.7038766,-0.679532,-0.623201,-0.582093,0.0393853825534956
10.2,-0.651157624413146,-0.650736,-0.7064876,-0.680468,-0.626451,-0.5776464,0.0393525230354357
10.3,-0.652802812206573,-0.654442,-0.710487,-0.682883,-0.626676,-0.5761216,0.0397488618958045
10.4,-0.653281990610329,-0.654647,-0.7121252,-0.683328,-0.627822,-0.5755446,0.0403824769306752
10.5,-0.653614976525822,-0.654212,-0.7122594,-0.683749,-0.630164,-0.5770716,0.0399285228286465
10.6,-0.654071769953052,-0.656254,-0.7099198,-0.685286,-0.630549,-0.5781436,0.0401312244513045
10.7,-0.654360774647887,-0.655594,-0.7104946,-0.686239,-0.629013,-0.578203,0.0406437533098181
10.8,-0.655041474178404,-0.656567,-0.7094614,-0.687224,-0.63036,-0.5786546,0.040395477812072
10.9,-0.655797741784038,-0.657512,-0.7118436,-0.688063,-0.632543,-0.5772522,0.0404091637372906
11,-0.65590482629108,-0.658093,-0.7125028,-0.687908,-0.632168,-0.5789252,0.0405936363250154
11.1,-0.655960150234742,-0.658254,-0.7118948,-0.688484,-0.631773,-0.5800622,0.0405527965995363
11.2,-0.655618920187793,-0.657531,-0.7111184,-0.68736,-0.631125,-0.5802684,0.0410979503706466
11.3,-0.655413375586854,-0.655161,-0.7135672,-0.686636,-0.632655,-0.5825172,0.0413908715563938
11.4,-0.654902201877934,-0.653565,-0.7132074,-0.685817,-0.629988,-0.5776522,0.0417834241198678
11.5,-0.654539061032864,-0.653863,-0.7127584,-0.686816,-0.630176,-0.5789576,0.0417609263032864
11.6,-0.653780577464789,-0.652032,-0.7120754,-0.683533,-0.631749,-0.5767566,0.0413066896470076
11.7,-0.652871136150235,-0.65314,-0.7116,-0.682935,-0.629381,-0.5745284,0.0415994272162724
11.8,-0.651793478873239,-0.650876,-0.7105648,-0.68101,-0.628806,-0.5778016,0.0414030627705129
11.9,-0.651169046948357,-0.649096,-0.7103084,-0.682244,-0.627915,-0.5740332,0.041339390466128
12,-0.649998460093897,-0.649667,-0.708937,-0.680637,-0.625247,-0.5702888,0.0415187837108104
12.1,-0.648319399061033,-0.647432,-0.7055562,-0.679116,-0.625388,-0.5714474,0.0412478802407366
12.2,-0.646782779342723,-0.645676,-0.70472,-0.676851,-0.623222,-0.5687756,0.0412625490222585
12.3,-0.645422042253521,-0.645437,-0.7045008,-0.676994,-0.620385,-0.5669724,0.0416408056367597
12.4,-0.644091042253521,-0.644812,-0.704009,-0.676201,-0.61959,-0.5670044,0.0414616163943378
12.5,-0.64272403286385,-0.6438,-0.7039334,-0.673518,-0.619282,-0.5632964,0.0416104922596277
12.6,-0.641025906103286,-0.642864,-0.7052784,-0.672261,-0.616866,-0.562496,0.0419083329696258
12.7,-0.639777384976526,-0.641411,-0.7047136,-0.671108,-0.6139,-0.5614368,0.0419800066018872
12.8,-0.638553807511737,-0.639702,-0.703013,-0.669713,-0.614357,-0.557709,0.0419498550807709
12.9,-0.636981178403756,-0.637865,-0.7017562,-0.66643,-0.613471,-0.5555818,0.0424288443127232
13,-0.635349507042254,-0.63656,-0.7006312,-0.667113,-0.609744,-0.5545042,0.0425425437415988
13.1,-0.633602600938967,-0.632989,-0.6988758,-0.665164,-0.607206,-0.5545678,0.0424757684938908
13.2,-0.632214079812207,-0.630114,-0.6969756,-0.66277,-0.606109,-0.5524942,0.042993290038539
13.3,-0.630391699530516,-0.628961,-0.6950882,-0.659661,-0.60437,-0.551852,0.0431437530981071
13.4,-0.628411990610329,-0.626912,-0.6906924,-0.660331,-0.602924,-0.5508634,0.0436774965076887
13.5,-0.626399478873239,-0.625163,-0.691355,-0.657544,-0.602507,-0.5463016,0.0439962854466123
13.6,-0.624189126760563,-0.623141,-0.6871604,-0.655904,-0.600306,-0.5429724,0.044136054151392
13.7,-0.622301370892019,-0.620224,-0.6861764,-0.655707,-0.597094,-0.5406764,0.0443097639214222
13.8,-0.620170765258216,-0.618606,-0.6828456,-0.653341,-0.594346,-0.5414926,0.0442294438174104
13.9,-0.618279713615023,-0.616753,-0.6807734,-0.649964,-0.592723,-0.5396592,0.0441838076200898
14,-0.61612241314554,-0.615789,-0.6786958,-0.647752,-0.588768,-0.534896,0.0441924872842233
14.1,-0.614509741784038,-0.613354,-0.6788768,-0.643822,-0.587176,-0.5352598,0.0441991065825141
14.2,-0.612562145539906,-0.610797,-0.6759414,-0.642331,-0.585314,-0.5347732,0.0444983481263518
14.3,-0.610772896713615,-0.60896,-0.6762856,-0.640957,-0.584117,-0.5328778,0.0443297068802971
14.4,-0.609038319248826,-0.606844,-0.6762662,-0.637516,-0.579047,-0.5346502,0.04455021522788
14.5,-0.607493234741784,-0.605514,-0.6742538,-0.638929,-0.577007,-0.5329708,0.0447723255136191
14.6,-0.605968037558685,-0.603678,-0.6739694,-0.638415,-0.577341,-0.530169,0.0449243971944154
14.7,-0.604071046948357,-0.601268,-0.6733224,-0.636664,-0.575211,-0.5273914,0.0451002175732907
14.8,-0.602296971830986,-0.599559,-0.6716028,-0.630934,-0.574542,-0.5223534,0.0453735271340471
14.9,-0.601020906103286,-0.599837,-0.6711142,-0.632349,-0.572037,-0.5221324,0.0455236347899763
15,-0.599733896713615,-0.598222,-0.670019,-0.632697,-0.571511,-0.5196468,0.045848868933999
15.1,-0.598448187793427,-0.596871,-0.6680572,-0.630308,-0.570661,-0.5207114,0.0458631200109018
15.2,-0.596825868544601,-0.595282,-0.6670124,-0.628373,-0.566957,-0.5141408,0.0457551704448303
15.3,-0.595734995305164,-0.594743,-0.6659776,-0.625824,-0.565085,-0.5124142,0.0460418869993132
15.4,-0.594181699530516,-0.593175,-0.6664472,-0.625847,-0.56482,-0.5106964,0.0465289633936193
15.5,-0.592778220657277,-0.592159,-0.6665868,-0.624515,-0.563155,-0.5076074,0.0471447000595091
15.6,-0.591258643192488,-0.590978,-0.663994,-0.621511,-0.561241,-0.5057554,0.0474959555129599
15.7,-0.589658572769953,-0.588453,-0.6635616,-0.618668,-0.559153,-0.5031554,0.0476425842166459
15.8,-0.588206262910798,-0.586558,-0.6628752,-0.617316,-0.557855,-0.4985886,0.0477457138799102
15.9,-0.58682120657277,-0.586109,-0.6619834,-0.617104,-0.556353,-0.499923,0.0477689858356701
16,-0.585772873239437,-0.584405,-0.663357,-0.618265,-0.555047,-0.5027706,0.0480221288383576
16.1,-0.584464995305164,-0.583544,-0.6584792,-0.616303,-0.554913,-0.5024114,0.0480064450955519
16.2,-0.582922516431925,-0.58064,-0.657274,-0.614318,-0.553209,-0.5049402,0.0483356013463685
16.3,-0.581483061032864,-0.57876,-0.6575406,-0.61646,-0.54982,-0.5017378,0.048526747996872
16.4,-0.580253117370892,-0.577705,-0.6580398,-0.615498,-0.550499,-0.4994524,0.0489872611730454
16.5,-0.578835154929577,-0.57717,-0.657465,-0.61332,-0.549565,-0.4956108,0.0488737156980267
16.6,-0.577496417840376,-0.574532,-0.6574406,-0.613614,-0.548355,-0.4951576,0.0493937782427448
16.7,-0.576119563380282,-0.57342,-0.6564234,-0.612473,-0.54622,-0.4916988,0.0498004341796635
16.8,-0.575031,-0.573119,-0.657542,-0.608696,-0.543874,-0.4876134,0.0501505801908725
16.9,-0.57387120657277,-0.571605,-0.6565304,-0.605081,-0.5417,-0.4856224,0.0503552758528963
17,-0.572660957746479,-0.570661,-0.6552248,-0.603319,-0.540689,-0.4827366,0.0506480222218406
