"pdb","varea","variable","value"
"13PK_A","vareaC","ddgent",0.656191824152798
"13PK_A","vareaC","hbe",0.409040083367124
"13PK_A","vareaC","hpshh",0.320566712765162
"13PK_A","vareaC","r4s_JC",0.519065042712178
"13PK_A","vareaC","rsa",0.833717614693236
"13PK_A","vareaC","seqent",0.410936050193489
"13PK_A","vareaCA","ddgent",0.72863539142504
"13PK_A","vareaCA","hbe",0.357325341715758
"13PK_A","vareaCA","hpshh",0.393023593608503
"13PK_A","vareaCA","r4s_JC",0.52834424092893
"13PK_A","vareaCA","rsa",0.859955653166831
"13PK_A","vareaCA","seqent",0.434235420438315
"13PK_A","vareaCB","ddgent",0.771939094169319
"13PK_A","vareaCB","hbe",0.33137122534631
"13PK_A","vareaCB","hpshh",0.400728844065522
"13PK_A","vareaCB","r4s_JC",0.568389319308045
"13PK_A","vareaCB","rsa",0.89299561604877
"13PK_A","vareaCB","seqent",0.459110990012021
"13PK_A","vareaN","ddgent",0.620646129669178
"13PK_A","vareaN","hbe",0.412107345802511
"13PK_A","vareaN","hpshh",0.335173094392641
"13PK_A","vareaN","r4s_JC",0.481659521688643
"13PK_A","vareaN","rsa",0.774209173047003
"13PK_A","vareaN","seqent",0.40216406497022
"13PK_A","vareaO","ddgent",0.562095035661039
"13PK_A","vareaO","hbe",0.418019542004476
"13PK_A","vareaO","hpshh",0.279363545783462
"13PK_A","vareaO","r4s_JC",0.422621038127562
"13PK_A","vareaO","rsa",0.741556349197105
"13PK_A","vareaO","seqent",0.326348257838419
"13PK_A","vareaSC","ddgent",0.780598648775705
"13PK_A","vareaSC","hbe",0.287191882479407
"13PK_A","vareaSC","hpshh",0.477442564342937
"13PK_A","vareaSC","r4s_JC",0.576828919255725
"13PK_A","vareaSC","rsa",0.926486749780802
"13PK_A","vareaSC","seqent",0.488577737271648
"1A26_A","vareaAA","ddgent",0.791101398601399
"1A26_A","vareaAA","hbe",0.365322358209443
"1A26_A","vareaAA","hpshh",0.495513663468515
"1A26_A","vareaAA","r4s_JC",0.672878966723955
"1A26_A","vareaAA","rsa",0.943354785867988
"1A26_A","vareaAA","seqent",0.566746864246864
"1A26_A","vareaC","ddgent",0.66497113997114
"1A26_A","vareaC","hbe",0.468466708149113
"1A26_A","vareaC","hpshh",0.394293910887777
"1A26_A","vareaC","r4s_JC",0.590944954910236
"1A26_A","vareaC","rsa",0.832646305675365
"1A26_A","vareaC","seqent",0.490699855699856
"1A26_A","vareaCA","ddgent",0.754616408217923
"1A26_A","vareaCA","hbe",0.381803417620977
"1A26_A","vareaCA","hpshh",0.414248819991684
"1A26_A","vareaCA","r4s_JC",0.636810957127382
"1A26_A","vareaCA","rsa",0.878231708907937
"1A26_A","vareaCA","seqent",0.538198644286177
"1A26_A","vareaCB","ddgent",0.778249250749251
"1A26_A","vareaCB","hbe",0.377914182391357
"1A26_A","vareaCB","hpshh",0.463993404159778
"1A26_A","vareaCB","r4s_JC",0.647585346988536
"1A26_A","vareaCB","rsa",0.909616586437249
"1A26_A","vareaCB","seqent",0.546283993783994
"1A26_A","vareaN","ddgent",0.630243367743368
"1A26_A","vareaN","hbe",0.475866259288781
"1A26_A","vareaN","hpshh",0.306233421524182
"1A26_A","vareaN","r4s_JC",0.561448843858289
"1A26_A","vareaN","rsa",0.772388101667002
"1A26_A","vareaN","seqent",0.464942002442002
"1A26_A","vareaO","ddgent",0.57223914973915
"1A26_A","vareaO","hbe",0.507004770644265
"1A26_A","vareaO","hpshh",0.340962310829883
"1A26_A","vareaO","r4s_JC",0.522655858527004
"1A26_A","vareaO","rsa",0.763577036998316
"1A26_A","vareaO","seqent",0.436478243978244
"1A26_A","vareaSC","ddgent",0.803455433455434
"1A26_A","vareaSC","hbe",0.287165423296302
"1A26_A","vareaSC","hpshh",0.527692727349902
"1A26_A","vareaSC","r4s_JC",0.675944532068229
"1A26_A","vareaSC","rsa",0.94113424089576
"1A26_A","vareaSC","seqent",0.561639471639472
"1A2T_A","vareaAA","ddgent",0.761882317734635
"1A2T_A","vareaAA","hbe",0.38772098419694
"1A2T_A","vareaAA","hpshh",0.437489054694356
"1A2T_A","vareaAA","r4s_JC",0.588346049901669
"1A2T_A","vareaAA","rsa",0.945828624745957
"1A2T_A","vareaAA","seqent",0.489675655996376
"1A2T_A","vareaC","ddgent",0.633726106310553
"1A2T_A","vareaC","hbe",0.448629715972456
"1A2T_A","vareaC","hpshh",0.35985864647062
"1A2T_A","vareaC","r4s_JC",0.494380761607989
"1A2T_A","vareaC","rsa",0.804630789111721
"1A2T_A","vareaC","seqent",0.422140979666844
"1A2T_A","vareaCA","ddgent",0.74650556740109
"1A2T_A","vareaCA","hbe",0.410867649313253
"1A2T_A","vareaCA","hpshh",0.394500912710947
"1A2T_A","vareaCA","r4s_JC",0.524563672094425
"1A2T_A","vareaCA","rsa",0.895120468884028
"1A2T_A","vareaCA","seqent",0.429836855415632
"1A2T_A","vareaCB","ddgent",0.765598074788963
"1A2T_A","vareaCB","hbe",0.356055528114768
"1A2T_A","vareaCB","hpshh",0.42968121891672
"1A2T_A","vareaCB","r4s_JC",0.586937031937128
"1A2T_A","vareaCB","rsa",0.914081755981499
"1A2T_A","vareaCB","seqent",0.488181868059394
"1A2T_A","vareaN","ddgent",0.63819997755583
"1A2T_A","vareaN","hbe",0.490315664971131
"1A2T_A","vareaN","hpshh",0.258749675661696
"1A2T_A","vareaN","r4s_JC",0.418700286970968
"1A2T_A","vareaN","rsa",0.79996969103328
"1A2T_A","vareaN","seqent",0.318760380455562
"1A2T_A","vareaO","ddgent",0.505091085923765
"1A2T_A","vareaO","hbe",0.514894185435732
"1A2T_A","vareaO","hpshh",0.25991334349394
"1A2T_A","vareaO","r4s_JC",0.377113059401622
"1A2T_A","vareaO","rsa",0.686556291749924
"1A2T_A","vareaO","seqent",0.303336209520288
"1A2T_A","vareaSC","ddgent",0.783134453048043
"1A2T_A","vareaSC","hbe",0.287950101775121
"1A2T_A","vareaSC","hpshh",0.46826744322934
"1A2T_A","vareaSC","r4s_JC",0.630090389208655
"1A2T_A","vareaSC","rsa",0.936421590615484
"1A2T_A","vareaSC","seqent",0.531481767808652
"1A4L_A","vareaAA","ddgent",0.785503105898679
"1A4L_A","vareaAA","hbe",0.303837748973967
"1A4L_A","vareaAA","hpshh",0.462138219393155
"1A4L_A","vareaAA","r4s_JC",0.663862305209251
"1A4L_A","vareaAA","rsa",0.936382215780789
"1A4L_A","vareaAA","seqent",0.535726224603173
"1A4L_A","vareaC","ddgent",0.716244109104049
"1A4L_A","vareaC","hbe",0.386903317870927
"1A4L_A","vareaC","hpshh",0.39083433149088
"1A4L_A","vareaC","r4s_JC",0.629852288761603
"1A4L_A","vareaC","rsa",0.866117129948058
"1A4L_A","vareaC","seqent",0.478004740571942
"1A4L_A","vareaCA","ddgent",0.741116638529698
"1A4L_A","vareaCA","hbe",0.358967892674958
"1A4L_A","vareaCA","hpshh",0.394269625277569
"1A4L_A","vareaCA","r4s_JC",0.61432909348379
"1A4L_A","vareaCA","rsa",0.884666122309818
"1A4L_A","vareaCA","seqent",0.475524348122476
"1A4L_A","vareaCB","ddgent",0.80138129792204
"1A4L_A","vareaCB","hbe",0.296117479013842
"1A4L_A","vareaCB","hpshh",0.432070443482028
"1A4L_A","vareaCB","r4s_JC",0.670795379808484
"1A4L_A","vareaCB","rsa",0.921109205399362
"1A4L_A","vareaCB","seqent",0.538941110717766
"1A4L_A","vareaN","ddgent",0.61846588686589
