            pdb_name            std_best             sp_best          sp_default             sp_diff                nres
              1D6O_A               7.400              -0.305              -0.296               0.009                 107
              1DDJ_A               9.400              -0.620              -0.619               0.001                 247
              1DGK_N              10.200              -0.504              -0.457               0.047                 898
              1DGS_A              11.800              -0.372              -0.383              -0.011                 581
              1DIN_A               7.800              -0.553              -0.547               0.005                 232
              1DNP_A               9.800              -0.583              -0.533               0.050                 469
              1DVE_A               8.800              -0.488              -0.484               0.003                 214
              1E0C_A               7.000              -0.518              -0.457               0.061                 270
              1E1A_A              14.000              -0.335              -0.329               0.006                 312
              1E6E_A              17.600              -0.623              -0.645              -0.022                 457
              1EB6_A              10.600              -0.395              -0.372               0.023                 177
              1EH5_A               7.400              -0.526              -0.538              -0.012                 279
              1EUG_A               7.800              -0.618              -0.605               0.013                 225
              1EUU_A               7.400              -0.144              -0.061               0.082                 601
              1EX1_A              11.000              -0.454              -0.430               0.023                 602
              1EXN_A              15.200              -0.300              -0.307              -0.006                 267
              1EXP_A              19.400              -0.516              -0.493               0.023                 312
              1EYP_A               7.600              -0.267              -0.246               0.021                 212
              1FF3_A               8.800              -0.466              -0.457               0.009                 210
              1FGH_A              19.400              -0.630              -0.629               0.001                 753
              1FHL_A              16.800              -0.465              -0.463               0.003                 334
              1FOA_A              16.600              -0.572              -0.563               0.008                 342
              1G24_A              17.800              -0.433              -0.427               0.006                 210
              1G6T_A              14.800              -0.570              -0.577              -0.008                 427
              1G8O_A               7.400              -0.455              -0.409               0.046                 287
              1GA8_A              49.200              -0.550              -0.490               0.060                 271
              1GAL_A               7.400              -0.461              -0.470              -0.008                 581
              1GCU_A               8.600              -0.421              -0.368               0.052                 292
              1GOG_A               7.800              -0.352              -0.270               0.082                 639
              1GP5_A               8.600              -0.447              -0.418               0.029                 346
              1GQ8_A               6.400              -0.500              -0.448               0.052                 318
              1H19_A              14.200              -0.590              -0.595              -0.005                 610
              1H3I_A              11.000              -0.208              -0.195               0.013                 293
              1HKA_A              43.800              -0.458              -0.434               0.023                 158
              1HPL_A               7.400              -0.571              -0.548               0.023                 449
              1HPM_A              29.200              -0.597              -0.547               0.049                 378
              1HQC_A              17.200              -0.335              -0.307               0.028                 314
              1I1E_A               6.600              -0.368              -0.260               0.107                1287
              1I1I_P              50.000              -0.401              -0.386               0.015                 665
              1I9A_A               9.000              -0.501              -0.495               0.006                 175
              1IDJ_A               6.400              -0.566              -0.503               0.064                 359
              1IG8_A              19.400              -0.555              -0.559              -0.003                 469
              1IM5_A               7.400              -0.528              -0.511               0.017                 179
              1INP_A              41.800              -0.431              -0.403               0.027                 400
              1IU4_A               7.800              -0.290              -0.269               0.021                 331
              1J00_A              46.800              -0.425              -0.375               0.050                 176
              1J09_A              21.600              -0.499              -0.479               0.020                 468
              1JH6_A               9.600              -0.421              -0.416               0.004                 181
              1JMS_A               9.000              -0.495              -0.491               0.004                 360
              1JOA_A              12.200              -0.453              -0.443               0.010                 446
              1JS4_A              11.800              -0.550              -0.550               0.000                 605
              1K30_A              50.000              -0.464              -0.417               0.047                 363
              1KL7_A              49.400              -0.662              -0.653               0.009                 503
              1KNP_A               8.400              -0.561              -0.544               0.017                 529
              1L1D_A               6.600              -0.573              -0.546               0.027                 142
              1L1L_A              17.600              -0.468              -0.455               0.013                 717
              1L6P_A              13.800              -0.323              -0.265               0.058                 121
              1L7N_A               6.800              -0.558              -0.506               0.052                 207
              1L7Q_A               6.800              -0.302              -0.224               0.078                 571
              1L8T_A              13.800              -0.555              -0.537               0.018                 263
              1L9X_A              15.000              -0.582              -0.577               0.005                 288
              1LBA_A              21.000              -0.560              -0.553               0.006                 146
              1LDM_A              20.800              -0.481              -0.481               0.000                 329
              1LJL_A              10.200              -0.559              -0.532               0.027                 130
              1LVH_A              12.400              -0.603              -0.594               0.008                 220
              1M53_A               9.000              -0.592              -0.576               0.016                 556
              1MBB_A              19.600              -0.628              -0.604               0.024                 340
              1MJ9_A              27.000              -0.597              -0.529               0.069                 273
              1MLA_A              12.600              -0.514              -0.525              -0.011                 305
              1MRQ_A               9.200              -0.482              -0.462               0.020                 323
              1MUD_A              16.000              -0.448              -0.429               0.019                 225
              1MUG_A              16.000              -0.491              -0.463               0.028                 165
              1NDH_A              21.200              -0.417              -0.405               0.012                 270
              1NDI_A               7.600              -0.550              -0.498               0.052                 596
              1NLU_A              16.600              -0.551              -0.541               0.010                 368
              1O8A_A               8.800              -0.441              -0.429               0.013                 574
              1O98_A              28.800              -0.650              -0.630               0.020                 509
              1OG1_A              12.000              -0.462              -0.462               0.000                 223
              1OGO_X              23.800              -0.093              -0.086               0.007                 572
              1OJ4_A              11.000              -0.625              -0.625               0.000                 277
              1ONR_A              33.400              -0.732              -0.722               0.009                 316
              1OPM_A               6.200              -0.391              -0.364               0.026                 310
              1OXA_A               6.800              -0.314              -0.276               0.038                 403
              1OYG_A              13.200              -0.464              -0.455               0.009                 440
              1P1X_A              28.800              -0.551              -0.537               0.014                 250
              1P3D_A              12.800              -0.556              -0.563              -0.007                 449
              1P5D_X              14.600              -0.571              -0.581              -0.010                 454
              1PA9_A              16.600              -0.539              -0.510               0.029                 279
              1PII_A               8.000              -0.588              -0.523               0.065                 452
              1PKN_A              49.800              -0.473              -0.462               0.011                 514
              1PMI_A              31.400              -0.592              -0.567               0.025                 440
              1PP4_A              10.400              -0.423              -0.411               0.012                 233
              1PS9_A              12.200              -0.579              -0.566               0.013                 671
              1PTD_A              12.000              -0.577              -0.560               0.017                 296
              1PUD_A              11.400              -0.445              -0.447              -0.002                 372
              1PYL_A               8.600              -0.271              -0.243               0.028                  95
              1Q91_A              19.400              -0.450              -0.436               0.014                 194
              1QAM_A              11.800              -0.369              -0.362               0.006                 235
              1QAZ_A               1.000               0.088              -0.019               0.070                 351
              1QBA_A               8.000              -0.443              -0.440               0.003                 858
              1QFM_A               7.400              -0.476              -0.447               0.028                 705
              1QGX_A              19.000              -0.510              -0.515              -0.005                 354
              1QJE_A               8.600              -0.311              -0.279               0.032                 327
              1QK2_A              49.800              -0.506              -0.504               0.003                 363
              1QWN_A               8.400              -0.493              -0.496              -0.003                1014
              1R1J_A               7.600              -0.421              -0.378               0.043                 696
              1R44_A               9.400              -0.589              -0.563               0.026                 202
              1R4Z_A               7.800              -0.479              -0.467               0.012                 179
              1RBN_A               7.000              -0.509              -0.476               0.032                 124
              1RDD_A               9.400              -0.355              -0.360              -0.006                 155
              1RU4_A               5.400              -0.360              -0.319               0.041                 400
              1S3I_A              29.200              -0.476              -0.451               0.025                 307
              1S95_A               7.800              -0.557              -0.553               0.004                 324
              1SCA_A               8.000              -0.611              -0.620              -0.008                 274
              1SLL_A               6.600              -0.202              -0.134               0.068                 679
              1SML_A              10.000              -0.340              -0.335               0.006                 266
              1SNZ_A               7.400              -0.398              -0.359               0.039                 344
              1TAH_B               9.600              -0.497              -0.499              -0.002                 318
              1TLP_E               6.200              -0.502              -0.530              -0.028                 316
              1U3F_A              15.400              -0.493              -0.463               0.030                 164
              1U5U_A               4.400              -0.137              -0.102               0.035                 366
              1UAS_A              16.200              -0.544              -0.548              -0.005                 362
              1UN1_A               7.800              -0.447              -0.450              -0.002                 267
              1VID_A               8.400              -0.435              -0.434               0.001                 213
              1VLB_A               6.000              -0.313              -0.241               0.072                 907
              1VNC_A               6.800              -0.248              -0.245               0.003                 576
              1VQ1_A              13.600              -0.578              -0.579               0.000                 263
              1W0H_A               8.200              -0.540              -0.529               0.011                 194
              1XQW_A               8.000              -0.473              -0.440               0.033                 290
              1Y9M_A              18.000              -0.563              -0.555               0.008                 517
              1YON_A              10.600              -0.463              -0.454               0.009                 292
              1YSC_A               7.600              -0.576              -0.572               0.005                 421
              1ZE1_A              21.600              -0.431              -0.416               0.016                 308
              1ZIO_A               8.800              -0.543              -0.527               0.016                 217
              206L_A              10.200              -0.399              -0.382               0.016                 162
              2A0N_A              48.600              -0.572              -0.482               0.090                 251
              2ABK_A              17.000              -0.486              -0.459               0.027                 211
              2ACY_A               7.400              -0.363              -0.292               0.070                  98
              2AYH_A               7.000              -0.386              -0.388              -0.002                 214
              2CPO_A               9.600              -0.129              -0.116               0.013                 298
              2CPU_A               8.400              -0.512              -0.504               0.008                 495
              2DLN_A              18.600              -0.637              -0.649              -0.012                 306
              2EBN_A              47.200              -0.395              -0.337               0.058                 285
              2ENG_A               5.000              -0.457              -0.449               0.009                 205
              2F61_A               9.600              -0.472              -0.471               0.001                 497
              2F9R_A              49.600              -0.382              -0.237               0.145                 285
              2NLR_A              13.000              -0.289              -0.288               0.001                 222
              2NMT_A               9.800              -0.447              -0.428               0.019                 422
              2PEC_A               9.000              -0.422              -0.421               0.001                 352
              2PIA_A               8.400              -0.571              -0.534               0.037                 321
              2PTH_A              27.800              -0.418              -0.388               0.029                 193
              2SQC_A               7.000              -0.496              -0.474               0.022                 623
              2THI_A               6.800              -0.153              -0.106               0.047                 362
              2TPS_A              49.800              -0.586              -0.526               0.059                 226
              5EAT_A               7.000              -0.288              -0.197               0.091                 532
              7ATJ_A               8.800              -0.584              -0.544               0.041                 305
