                 pdb     free_param_best    avg_contribution         sp_cor_best                nres
              1FGH_A              37.600               0.884              -0.773                 753
              1FHL_A              31.400               0.992              -0.652                 334
              1FOA_A              34.200               0.974              -0.772                 342
              1G24_A              23.200               0.995              -0.636                 210
              1G6T_A              32.000               0.963              -0.765                 427
              1G8O_A              12.200               0.995              -0.659                 287
              1GA8_A              30.800               0.995              -0.723                 271
              1GAL_A              37.000               0.936              -0.627                 581
              1GCU_A              22.000               0.973              -0.572                 292
              1GOG_A              11.600               0.882              -0.675                 639
              1GP5_A              14.800               0.980              -0.658                 346
              1GQ8_A               8.600               0.984              -0.614                 318
              1H19_A              49.400               0.895              -0.794                 610
              1H3I_A              10.000               0.936              -0.383                 293
              1HKA_A              21.800               0.994              -0.526                 158
              1HPL_A              11.800               0.842              -0.730                 449
              1HPM_A              31.200               0.972              -0.580                 378
              1HQC_A              32.000               0.905              -0.391                 314
              1I1E_A              11.600               0.513              -0.473                1287
              1I1I_P              44.400               0.862              -0.599                 665
              1I9A_A              21.600               0.994              -0.655                 175
              1IDJ_A              10.400               0.985              -0.637                 359
              1IG8_A              41.000               0.892              -0.738                 469
              1IM5_A               9.400               0.994              -0.699                 179
              1INP_A              29.000               0.958              -0.638                 400
              1IU4_A               9.200               0.969              -0.353                 331
              1J00_A              32.800               0.994              -0.572                 176
              1J09_A              39.600               0.714              -0.645                 468
              1JH6_A              30.600               0.993              -0.670                 181
              1JMS_A              46.600               0.959              -0.668                 360
              1JOA_A              28.000               0.923              -0.535                 446
              1JS4_A              25.600               0.775              -0.690                 605
              1K30_A              36.200               0.967              -0.579                 363
              1KL7_A              35.200               0.957              -0.781                 503
              1KNP_A              15.800               0.946              -0.639                 529
              1L1D_A              10.800               0.993              -0.684                 142
              1L1L_A              41.600               0.855              -0.704                 717
              1L6P_A              40.600               0.987              -0.529                 121
              1L7N_A               9.800               0.995              -0.711                 207
              1L7Q_A              14.000               0.905              -0.546                 571
              1L8T_A              32.600               0.989              -0.687                 263
              1L9X_A              30.000               0.995              -0.644                 288
              1LBA_A              28.800               0.993              -0.698                 146
              1LDM_A              38.200               0.939              -0.595                 329
              1LJL_A               9.600               0.992              -0.746                 130
              1LVH_A              32.000               0.982              -0.724                 220
              1M53_A              23.200               0.920              -0.707                 556
              1MBB_A              31.400               0.982              -0.762                 340
              1MJ9_A              35.400               0.948              -0.601                 273
              1MLA_A              30.400               0.993              -0.694                 305
              1MRQ_A              16.800               0.992              -0.619                 323
              1MUD_A              32.000               0.992              -0.595                 225
              1MUG_A              14.600               0.994              -0.688                 165
              1NDH_A              32.400               0.994              -0.592                 270
              1NDI_A              17.000               0.878              -0.711                 596
              1NLU_A              23.000               0.996              -0.667                 368
              1O8A_A              11.200               0.928              -0.690                 574
              1O98_A              39.800               0.923              -0.766                 509
              1OG1_A              12.200               0.995              -0.722                 223
              1OGO_X              50.000               0.937              -0.417                 572
              1OJ4_A              37.600               0.986              -0.780                 277
              1ONR_A              35.000               0.985              -0.822                 316
              1OPM_A              38.800               0.980              -0.506                 310
              1OXA_A              13.400               0.977              -0.459                 403
              1OYG_A              36.200               0.974              -0.693                 440
              1P1X_A              28.000               0.996              -0.687                 250
              1P3D_A              35.200               0.959              -0.700                 449
              1P5D_X              37.200               0.962              -0.733                 454
              1PA9_A              27.200               0.990              -0.597                 279
              1PII_A              14.000               0.862              -0.738                 452
              1PKN_A              49.800               0.886              -0.580                 514
              1PMI_A              42.600               0.908              -0.744                 440
              1PP4_A              10.200               0.995              -0.608                 233
              1PS9_A              22.600               0.840              -0.668                 671
              1PTD_A              35.200               0.994              -0.688                 296
              1PUD_A              33.800               0.978              -0.578                 372
              1PYL_A               9.800               0.989              -0.618                  95
              1Q91_A              28.400               0.993              -0.645                 194
              1QAM_A              32.200               0.953              -0.495                 235
              1QAZ_A              12.200               0.989              -0.303                 351
              1QBA_A              19.800               0.797              -0.667                 858
              1QFM_A              10.600               0.874              -0.650                 705
              1QGX_A              35.200               0.984              -0.740                 354
              1QJE_A              19.800               0.988              -0.582                 327
              1QK2_A              45.800               0.994              -0.691                 363
              1QWN_A              28.400               0.752              -0.665                1014
              1R1J_A              12.600               0.854              -0.637                 696
              1R44_A              39.000               0.995              -0.775                 202
              1R4Z_A              10.000               0.994              -0.640                 179
              1RBN_A               9.800               0.992              -0.689                 124
              1RDD_A               7.800               0.994              -0.598                 155
              1RU4_A              12.400               0.956              -0.578                 400
              1S3I_A              37.600               0.921              -0.603                 307
              1S95_A              31.800               0.991              -0.698                 324
              1SCA_A              10.400               0.996              -0.757                 274
              1SLL_A               9.800               0.795              -0.477                 679
              1SML_A              11.200               0.987              -0.569                 266
              1SNZ_A              10.000               0.993              -0.622                 344
