"c.var","c.mean","c.median","c.sd","c.min","c.q1","c.q3","c.max","v.var","v.mean","v.median","v.sd","v.min","v.q1","v.q3","v.max","c.v.d.mean","c.v.d.median","c.v.d.signif"
"r.bfSC.wcnSC",-0.677891241031963,-0.697127030288093,0.106755802228722,-0.8649741342651,-0.748721417045177,-0.632880441827713,-0.191493168792179,"r.bfSC.wcnSC",-0.50496326641764,-0.529231690536475,0.164380194983384,-0.725886938955695,-0.644401019653836,-0.417678792095937,-0.211621730545776,-0.172927974614322,-0.167895339751618,1.6198461442295
"median.bfSC",22.602034973798,18.87666666665,12.6969257946482,4.27125,14.22785714285,27.71125,91.79,"median.bfSC",41.2141111111111,35.2675,23.3799396104703,15.62275,26.72,40.292,92.525,-18.6120761373131,-16.39083333335,1.46587264022273
"r.bfSC.vsphericity",-0.519776289054776,-0.529996450281395,0.0828476718178425,-0.680049933322141,-0.579800584250375,-0.466734232649406,-0.157537747074557,"r.bfSC.vsphericity",-0.400277363552465,-0.425874417142006,0.0925041859217895,-0.522096982411111,-0.45910577943999,-0.358833979507042,-0.214729432364242,-0.119498925502311,-0.104122033139389,1.44239328493206
"r.bfSC.rsa",0.624226554851242,0.636170306114154,0.0910190194654076,0.230597038925468,0.582032424469982,0.693792909097028,0.78404686056074,"r.bfSC.rsa",0.494271162045978,0.489481420022253,0.0983558600699517,0.344882050756337,0.399261335886942,0.590674643750891,0.600983721617153,0.129955392805264,0.146688886091901,1.4277828257055
"r.bfSC.vsphericitym",-0.585875549330174,-0.59785729517206,0.0880342782957761,-0.727213493057325,-0.649035912148753,-0.542069771451465,-0.184402795976158,"r.bfSC.vsphericitym",-0.462071586789569,-0.478652305445922,0.110588495968378,-0.587028034805998,-0.51521050929068,-0.397898723292357,-0.236576396295357,-0.123803962540604,-0.119204989726138,1.40631541414641
"mean.bfSC",25.4495640707281,22.5499605064252,13.0110274603916,4.720386904762,17.0299919962337,30.1837690920193,102.374589171975,"mean.bfSC",43.2722077448353,36.4269147217235,23.753940402891,16.8105366900857,28.6234536767075,43.6773658935679,95.6998374522798,-17.8226436741071,-13.8769542152983,1.36981062628322
"r.bfSC.varea",0.616973936736268,0.635216423830967,0.092198619723979,0.197074895505931,0.569495651279621,0.684019582576245,0.797965045066828,"r.bfSC.varea",0.492055678148171,0.507203612577123,0.103300043418888,0.311382965675491,0.465047807402975,0.55873467835856,0.613892637924095,0.124918258588097,0.128012811253844,1.35488209001471
"r.bfSC.vvolume",0.608071692824541,0.621896064062804,0.0920770722414952,0.192619211160598,0.565515729192194,0.674990760809196,0.785500705525311,"r.bfSC.vvolume",0.488021371209581,0.49523709989494,0.102386276849112,0.316340308666826,0.462572760272986,0.560233209505819,0.611235466900896,0.12005032161496,0.126658964167864,1.30380255032543
"r.bfSC.vedge",0.566508955102791,0.58177271713811,0.0867254925984855,0.196499010920325,0.518701348882422,0.628148473625845,0.736209530515545,"r.bfSC.vedge",0.456283612229299,0.476112793820003,0.0937456389263956,0.288301441451667,0.43225419495655,0.510815327578251,0.58401894235999,0.110225342873492,0.105659923318107,1.27096819598136
"r.bfSC.veccentricity",0.574490007375219,0.59020099037827,0.0889810215436855,0.203987819348839,0.530269603294194,0.640067097581306,0.740490326379013,"r.bfSC.veccentricity",0.469579122808135,0.49236580763205,0.105359168991845,0.245492819389798,0.459573289646744,0.522305647510745,0.597226459235375,0.104910884567085,0.09783518274622,1.17902540055216
"sum.bfSC",9356.32993202532,7385.24007142909,7142.57822537878,1507.31300000012,4481.07192857161,12470.2644285714,45495.7828809532,"sum.bfSC",17767.8002513227,16987.0182380955,13302.2103185162,2050.88547619046,6745.9841666666,21926.0376785711,45361.7229523806,-8411.47031929736,-9601.77816666641,1.17765183017667
"r.hbe.vnfaces",-0.0431709122051217,-0.0410688187428101,0.0588783665119405,-0.203164760260955,-0.0847237749859005,-0.00236635001902519,0.112586500231123,"r.hbe.vnfaces",0.0221232695720023,0.0315266829397777,0.0742564950990364,-0.129410091138195,0.00580061072898168,0.0646235423884926,0.124773176731355,-0.065294181777124,-0.0725955016825878,1.108967276867
"r.varea.vvolume",0.994172056214322,0.994333062620317,0.0015430906963925,0.989769286689091,0.993187688514961,0.995325239432833,0.997365370695633,"r.varea.vvolume",0.995628808922436,0.99576242411072,0.00127855401177876,0.992815494395741,0.995158350819447,0.99638526405325,0.997310166842354,-0.00145675270811385,-0.00142936149040307,0.944048662544272
"r.rsa.vnfaces",0.0265825331806662,0.0293988015788549,0.069877567580531,-0.137604083691236,-0.0258814351333803,0.0762065744805461,0.196764207106208,"r.rsa.vnfaces",0.0853405828101129,0.0896070772046425,0.0339029693422702,0.0203384093130262,0.0648094317466129,0.108902492424165,0.128484803727899,-0.0587580496294467,-0.0602082756257876,0.840871422173224
"median.rsa",0.166223169390539,0.163461538462,0.0419966603215469,0.0796019900498,0.131782945736,0.19391634981,0.277608067271,"median.rsa",0.200441658799444,0.192353908424,0.0440313490685993,0.138364779874,0.174418604651,0.210897435897,0.278846153846,-0.0342184894089055,-0.028892369962,0.814790727331936
"r.vnfaces.vsphericity",0.250127701163369,0.249992467324819,0.0651069908398443,0.0947497267122051,0.200723347723415,0.295100736473288,0.420991878898719,"r.vnfaces.vsphericity",0.201979996298232,0.194473559483336,0.0364667101360118,0.150816759043808,0.178289553667674,0.214895547863494,0.27188455802301,0.0481477048651366,0.055518907841483,0.739516667013139
"r.varea.vedge",0.95784303493532,0.958104425914695,0.0105507721918753,0.929686175181464,0.949316137615243,0.965654321546399,0.981261998426436,"r.varea.vedge",0.965104864696494,0.963853470957296,0.0117227346496085,0.946545989015239,0.958397096947081,0.971245053268553,0.982364808196511,-0.0072618297611744,-0.00574904504260099,0.68827471858092
"r.rsa.vsphericitym",-0.880474566813831,-0.885102473971124,0.0297580778339309,-0.933206098996803,-0.904022943446002,-0.861351171403039,-0.797767960314792,"r.rsa.vsphericitym",-0.860177850436016,-0.846801556873223,0.0327864779261111,-0.913630441224807,-0.889667747735121,-0.838297189703932,-0.821700665789311,-0.0202967163778149,-0.038300917097901,0.682057372491718
"median.hbe",-0.766507177033493,-0.775,0.0657537743591447,-0.975,-0.825,-0.725,-0.6,"median.hbe",-0.722222222222222,-0.75,0.0878959296238708,-0.85,-0.775,-0.65,-0.6,-0.0442849548112706,-0.025,0.673496772510545
