"","contact_orderSC","mean.betas","mean.bfSC","mean.BSS","mean.ddgent","mean.ESS","mean.GSS","mean.hbdif","mean.hbe","mean.helix","mean.hpshh","mean.HSS","mean.ISS","mean.LSS","mean.nhbas","mean.nhbon","mean.nhbpa.dif","mean.nhbps","mean.r4sJC","mean.rsa","mean.seqent","mean.SSS","mean.TSS","mean.varea","mean.veccentricity","mean.vedge","mean.vnfaces","mean.vnfacescc","mean.vsphericity","mean.vsphericitycc","mean.vsphericitym","mean.vvolume","mean.wcnSC","median.bfSC","median.ddgent","median.hbe","median.hpshh","median.r4sJC","median.rsa","median.seqent","median.varea","median.veccentricity","median.vedge","median.vnfaces","median.vnfacescc","median.vsphericity","median.vsphericitycc","median.vsphericitym","median.vvolume","median.wcnSC","natoms","nchain","nres","r.bfSC.ddgent","r.bfSC.hbe","r.bfSC.hpshh","r.bfSC.r4sJC","r.bfSC.rsa","r.bfSC.seqent","r.bfSC.varea","r.bfSC.veccentricity","r.bfSC.vedge","r.bfSC.vnfaces","r.bfSC.vsphericity","r.bfSC.vsphericitym","r.bfSC.vvolume","r.bfSC.wcnSC","r.ddgent.hbe","r.ddgent.hpshh","r.ddgent.r4sJC","r.ddgent.rsa","r.ddgent.seqent","r.ddgent.varea","r.ddgent.veccentricity","r.ddgent.vedge","r.ddgent.vnfaces","r.ddgent.vsphericity","r.ddgent.vsphericitym","r.ddgent.vvolume","r.ddgent.wcnSC","r.hbe.hpshh","r.hbe.r4sJC","r.hbe.rsa","r.hbe.seqent","r.hbe.varea","r.hbe.veccentricity","r.hbe.vedge","r.hbe.vnfaces","r.hbe.vsphericity","r.hbe.vsphericitym","r.hbe.vvolume","r.hbe.wcnSC","r.hpshh.r4sJC","r.hpshh.rsa","r.hpshh.seqent","r.hpshh.varea","r.hpshh.veccentricity","r.hpshh.vedge","r.hpshh.vnfaces","r.hpshh.vsphericity","r.hpshh.vsphericitym","r.hpshh.vvolume","r.hpshh.wcnSC","r.r4sJC.rsa","r.r4sJC.seqent","r.r4sJC.varea","r.r4sJC.veccentricity","r.r4sJC.vedge","r.r4sJC.vnfaces","r.r4sJC.vsphericity","r.r4sJC.vsphericitym","r.r4sJC.vvolume","r.r4sJC.wcnSC","r.rsa.seqent","r.rsa.varea","r.rsa.veccentricity","r.rsa.vedge","r.rsa.vnfaces","r.rsa.vsphericity","r.rsa.vsphericitym","r.rsa.vvolume","r.rsa.wcnSC","r.seqent.varea","r.seqent.veccentricity","r.seqent.vedge","r.seqent.vnfaces","r.seqent.vsphericity","r.seqent.vsphericitym","r.seqent.vvolume","r.seqent.wcnSC","r.varea.veccentricity","r.varea.vedge","r.varea.vnfaces","r.varea.vsphericity","r.varea.vsphericitym","r.varea.vvolume","r.varea.wcnSC","r.veccentricity.vedge","r.veccentricity.vnfaces","r.veccentricity.vsphericity","r.veccentricity.vsphericitym","r.veccentricity.vvolume","r.veccentricity.wcnSC","r.vedge.vnfaces","r.vedge.vsphericity","r.vedge.vsphericitym","r.vedge.vvolume","r.vedge.wcnSC","r.vnfaces.vsphericity","r.vnfaces.vsphericitym","r.vnfaces.vvolume","r.vnfaces.wcnSC","r.vsphericity.vsphericitym","r.vsphericity.vvolume","r.vsphericity.wcnSC","r.vsphericitym.vvolume","r.vsphericitym.wcnSC","r.vvolume.wcnSC","sd.bfSC","sd.ddgent","sd.hbe","sd.hpshh","sd.r4sJC","sd.rsa","sd.seqent","sd.varea","sd.veccentricity","sd.vedge","sd.vnfaces","sd.vnfacescc","sd.vsphericity","sd.vsphericitycc","sd.vsphericitym","sd.vvolume","sd.wcnSC","sum.betas","sum.bfSC","sum.BSS","sum.ddgent","sum.ESS","sum.GSS","sum.hbdif","sum.hbe","sum.helix","sum.hpshh","sum.HSS","sum.ISS","sum.LSS","sum.nhbas","sum.nhbon","sum.nhbpa.dif","sum.nhbps","sum.r4sJC","sum.rsa","sum.seqent","sum.SSS","sum.TSS","sum.varea","sum.veccentricity","sum.vedge","sum.vnfaces","sum.vnfacescc","sum.vsphericity","sum.vsphericitycc","sum.vsphericitym","sum.vvolume","sum.wcnSC"
"contact_orderSC",1,0.19134845385373,0.18247989522789,0.581617798270394,0.744274334080159,0.233707828684612,0.0920584797220509,0.586459990691734,0.415382721260729,0.0995456808563605,0.44897365544263,0.029050448636772,0.450475425095518,0.410332175211871,0.177046465564828,0.260997506858606,0.0814662683594723,0.0117855094110898,0.934345246812935,0.888349514563107,0.0235642540940135,0.682056423244688,0.330032145988246,0.943296695565585,0.954467967659188,0.939305505947549,0.975025976556158,0.971585435810848,0.943974521327835,0.877723479559698,0.968665779134331,0.942352339513589,0.952385784329643,0.161045177560585,0.82876984771244,0.557210659046877,0.148894372828522,0.832617625093353,0.897345250078471,0.0665392191880162,0.919257557554307,0.933460780811984,0.900628849130327,0.967100421036681,0.955213440703099,0.945078524964553,0.829127025359613,0.948938478856166,0.904567273868667,0.954810262904396,0.976602158218874,0.27347090084532,0.976736099836564,0.765604874933706,0.680570888939399,0.879324014243812,0.140510168739379,0.666432607072117,0.625608825534955,0.682946661471356,0.721872260285093,0.831602915868429,0.728417811258673,0.483872888051867,0.799391986232425,0.731892175644814,0.0071117611265445,0.699025067376693,0.55004275308201,0.26557249406481,0.0619392040350251,0.50860473422736,0.671614388847399,0.859358595534197,0.884842679481768,0.891468054247708,0.72021354893875,0.913862010368975,0.786292766611467,0.958759511207802,0.307312129969369,0.355655583336039,0.779097801733935,0.413954010672035,0.833047861804721,0.789660248292583,0.832859802361702,0.938166325724367,0.036935415787252,0.778920565855982,0.832854390579169,0.862157840049356,0.798526101027156,0.637256334491455,0.815518697545904,0.699901776147027,0.693256107196588,0.724494268922298,0.583024861728956,0.393099706681387,0.708196685824377,0.716920479267461,0.876984771243952,0.0345407020164302,0.650478672165038,0.424879046660389,0.64910272645604,0.701540193308872,0.864033022697016,0.0935020727127101,0.769247004578368,0.442605340347004,0.120892457057506,0.351901159203819,0.932962896818954,0.932218776720676,0.925324165773723,0.725192388869046,0.892018703120434,0.961089283588228,0.914856425409401,0.967034126700653,0.613889610459893,0.750016235347599,0.757442553928413,0.887179216590361,0.629896310246669,0.776328322022708,0.634999621175223,0.563223149440963,0.907140576463075,0.911432120011689,0.904061272201838,0.909425701637605,0.938265090755593,0.899320550702991,0.982250706237621,0.915526133497852,0.788989187258499,0.797374744293275,0.941149570845645,0.906396456364798,0.975196447705946,0.939336623697113,0.392344763018043,0.943341342771482,0.902793562143499,0.977439631565845,0.839573118593803,0.468560249374939,0.916655843101601,0.284523113723198,0.96751442240045,0.736098483618534,0.800692166985962,0.943269636652921,0.978695165113485,0.981230585230163,0.511183448604301,0.295820209760691,0.327446666883138,0.0104745050924874,0.7038577891786,0.932417659728762,0.68628843718544,0.964159117230033,0.931559892197292,0.958043802967822,0.954214613103135,0.907271812189499,0.875185353551753,0.901598911149354,0.968780779513156,0.9668487731489,0.946049939929214,0.897736251366475,0.957471506964964,0.910807059129136,0.978765518286413,0.892918411966534,0.92007473671678,0.977741338442056,0.979485285363293,0.898373488759728,0.973901678734942,0.885764035457999,0.483941375492965,0.961231342879718,0.847991146323776,0.980321405764631,0.616966208829864,0.848057440659805,0.961673756101785,0.98212894113063,0.952936433202368,0.950521425247048,0.954842733599593,0.978063339502766,0.984426242815859,0.977564102564103,0.976799688281326,0.975027329501791,0.976181392126939,0.97531550692167,0.974195267937353,0.978147222132026,0.972324144126593
"mean.betas",0.19134845385373,1,0.296529153272505,0.306484127241831,0.0197475944626641,0.992998506348021,0.419146616012382,0.253535246939637,0.112578606141291,0.834272277602797,0.106226526393263,0.820713056466539,0.230031875399119,0.471412258769794,0.641212347523027,0.384430161091931,0.501476063685857,0.0728547694039463,0.177156114081777,0.133942970635668,0.442089868060742,0.223200852896927,0.0568588931822364,0.179465532357048,0.185754023660313,0.186388555162299,0.147890487168664,0.150627496184693,0.268942591810891,0.3557313482915,0.178832353800695,0.16953491140912,0.167858611769545,0.272343897132838,0.0598313147384486,0.105697524650669,0.077231548527454,0.392383998441407,0.147322250002706,0.431881893258001,0.170226266627702,0.18763191219924,0.183872076284487,0.144600123388642,0.127344654782392,0.235093245013042,0.247004578368023,0.23355223993679,0.149390903875919,0.16804937710383,0.196923942808282,0.392806117478975,0.190730157699343,0.430867184033077,0.603461105518936,0.138985399010726,0.19171645506597,0.388691809808315,0.116264030046217,0.366028617506034,0.317413222067084,0.3189975214036,0.109338301349699,0.0631392668117024,0.372336050048165,0.335905282982109,0.290423407861513,0.559433548722278,0.206241679384356,0.0248346784436128,0.500085235574894,0.089727354395991,0.0484706302561938,0.0315899275903497,0.0693776991265383,0.269957301035815,0.253943836520873,0.199529716097888,0.0135876329945557,0.279597038672598,0.26707146800013,0.377677479408168,0.61174519163122,0.356901646264247,0.52235742658917,0.56604268814062,0.524181197302768,0.253307952073254,0.62795483326298,0.575134482795943,0.510920977151454,0.501377298654631,0.161978710047515,0.183370133454557,0.121205028494743,0.132101611628838,0.162805359829421,0.150109318007165,0.606378056304186,0.476549393339178,0.117553387234687,0.129533720816963,0.0878142892706,0.213523232782414,0.288549479927699,0.282865755322488,0.251518005000487,0.19162445476291,0.0691585219339546,0.40954881969023,0.182995367514152,0.276916853373164,0.471478553105822,0.28911095236549,0.10729670638915,0.121042634022794,0.102258336850992,0.310586258401792,0.149919905618513,0.236876427357643,0.0957209035512117,0.293989674318927,0.3351232804061,0.265786169648559,0.253129363249667,0.0248563171737507,0.36007971555671,0.246671753742248,0.327890433050838,0.414679189531448,0.152715091296771,0.217909482525354,0.182720719550606,0.277428266822526,0.195773939020034,0.0552637702806551,0.182184953079845,0.154689038975658,0.222845028195387,0.333662099122209,0.191550042753082,0.155922925393166,0.176156227338161,0.216103300104989,0.0758407204164908,0.207175211871286,0.237745018454178,0.185169551146757,0.339888354926346,0.032097282202812,0.17034667878906,0.0240797263802751,0.20353578811789,0.341691831455445,0.112539370717927,0.188396326482017,0.228516576289898,0.163722656968752,0.413448009005206,0.343040718251778,0.872839345823728,0.485060774317845,0.252704538320832,0.202228842636188,0.260172798216277,0.174888517279822,0.181904893333766,0.182916896667424,0.112557673555085,0.0956640798346159,0.340140002814127,0.391148759078265,0.159186230260523,0.17463686939204,0.18830973796149,0.150041670725504,0.256776904676862,0.0211884815620569,0.203104198460889,0.161356355056228,0.282568107283177,0.248962290699311,0.196693942050633,0.501334004394367,0.192547163684775,0.516923996926108,0.229538127881154,0.117128562305852,0.169965148120488,0.213180937537206,0.304775356907058,0.217932482601119,0.187832148152959,0.200001894123887,0.141072994122804,0.113709668690673,0.17051444404758,0.19113468844368,0.197448885713976,0.190513686398026,0.189256799904753,0.185902847679969,0.192451104544815,0.191048099923153,0.185705317617517,0.1917502787068,0.186504908486757
"mean.bfSC",0.18247989522789,0.296529153272505,1,0.396120834280395,0.433044073556948,0.244732982649825,0.093960721282376,0.34502954833263,0.0962972583909688,0.400977909103701,0.582081858622593,0.465724475327684,0.253930307064541,0.180317888105984,0.224452327607667,0.179092179937782,0.331726033921053,0.565395980127935,0.281247727473379,0.179339708413157,0.473466030241041,0.302785173880573,0.580404206037385,0.0189750625060883,0.0556155361452955,0.0227105453994437,0.125901061791733,0.119657217694364,0.0866683443192519,0.0156562868677685,0.113060254786722,0.028212975289801,0.00716249418233378,0.993781861869663,0.304377590890888,0.0519828771200658,0.415930664242188,0.444169345499021,0.149672316567631,0.466797361214837,0.0933708369862866,0.0290775075494366,0.136371508047321,0.0981643233648299,0.0682101070450585,0.0526065850569861,0.15013231808293,0.06442727105454,0.142300115812146,0.0032876578887554,0.146437423558572,0.567125044647206,0.126810241257265,0.564856154820275,0.436504908486757,0.111435367081209,0.603923812925501,0.749617116385795,0.52348307735602,0.692120985810306,0.675397224837917,0.581715210355987,0.629234719832018,0.533578757671202,0.603976577805198,0.66111011895098,0.753837885264126,0.0251133768440649,0.529275037611889,0.728234733440912,0.713559762314511,0.589237588076761,0.340858416945373,0.180546535918001,0.0960794341440184,0.442687870030631,0.355462112110487,0.0223398382959379,0.23396624130056,0.19910759706032,0.211205636912686,0.557712601876806,0.28176986935957,0.490315615157321,0.194278934095312,0.230989760907448,0.204812968795662,0.340107532118929,0.586998463053761,0.415657369224275,0.159240348085853,0.279103213516468,0.0577613079196026,0.43051271227717,0.0344236838625007,0.414188070266584,0.392454351614335,0.382970202725374,0.696991590089944,0.535379528309034,0.310929906592634,0.40475262742042,0.147628015715816,0.599491563031031,0.198776125380178,0.443321048586984,0.363735374657705,0.391685878494659,0.221041551666288,0.373245229513697,0.362213310820318,0.443610578952495,0.316257806496304,0.413052948880302,0.0584621337576171,0.00894567652693444,0.0968627896656601,0.707564860213657,0.119542217315539,0.296093504778604,0.125529001742594,0.328075786602591,0.202048900866968,0.192842105832819,0.172285449881482,0.197061943262872,0.189332564860214,0.209331807210659,0.195938998387289,0.154219566840926,0.109629184660844,0.0658992759034971,0.387012804277473,0.431582892273057,0.000243530213981881,0.147614486259484,0.187879501250122,0.0884609972832852,0.618852215042591,0.473398382959379,0.0250917297139332,0.11214295764739,0.169196675000812,0.308863958610687,0.513264278988213,0.0228661341472654,0.0717264127458302,0.139498165405721,0.563311090907123,0.579283967053068,0.353562576441428,0.655097628556894,0.117491151735559,0.615026084791809,0.00602196101351863,0.0114594495134808,0.184556666774902,0.168915262309099,0.830390676581052,0.749295115325086,0.04587838642292,0.819683464839649,0.133537086945698,0.0294022145014125,0.121778636447273,0.0885868212271758,0.00131100431860246,0.0799888517279822,0.203196267492336,0.21971160610882,0.365020673009276,0.259543678496823,0.115525321730472,0.0909639467047656,0.00779837862995314,0.0299799222868028,0.368283977876633,0.049291868255566,0.161225119329805,0.0362386487861372,0.076684958491628,0.187645441655573,0.129874663116537,0.257004199543246,0.166279724215562,0.28395487655724,0.255888782419563,0.0888127631479257,0.151958794687794,0.133267850764685,0.26773711725168,0.164945719821195,0.0824173891396348,0.211925403989566,0.0661955709971751,0.0336220519314652,0.0370409455466442,0.13687345087725,0.169001850829626,0.132552142524705,0.127921009622149,0.124625234059595,0.125886179389767,0.12491611737074,0.12212904936628,0.13937640029873,0.0895081772034073
"mean.BSS",0.581617798270394,0.306484127241831,0.396120834280395,1,0.816742161033001,0.224532151400028,0.0155291099782446,0.911369884512561,0.502860127068654,0.677764879696074,0.521065363509433,0.660950471366259,0.0624939117446505,0.776746382223377,0.307854661168296,0.271152043743469,0.15779946098646,0.192173750690002,0.475800022391285,0.745137513394162,0.498122111461073,0.892061997380697,0.749585998636231,0.707744801982877,0.687102910456646,0.704480144169887,0.674800575813662,0.677307584072042,0.612090192767694,0.516884761502744,0.674559751490946,0.716663419597147,0.710856576939312,0.412597006201903,0.748864878613718,0.616195029818922,0.0223141323289065,0.224203385611153,0.733391239406436,0.442007338377115,0.717881070667056,0.693594343604897,0.704382732084294,0.665942840752887,0.697162061239731,0.642542293080495,0.594612841077594,0.641430171769978,0.7311872909699,0.70690056390774,0.64793919321146,0.489551200874544,0.656836163695598,0.109197595003842,0.0898815901981795,0.729912816183395,0.462919819029992,0.0145644597417497,0.198914125834767,0.0443698520418656,0.067800164518189,0.235900953556082,0.21586112283664,0.726550746284811,0.15559415960429,0.117515504756957,0.543364797222162,0.319641523525019,0.841030241040794,0.235183971918264,0.454030966219653,0.0556574774599258,0.58808217250598,0.731679763180396,0.639138281867281,0.41832943684991,0.356963881763375,0.638745927633644,0.630065428450823,0.51213727527573,0.294455087616759,0.271095128313364,0.272247837992878,0.167146962366464,0.398871372752757,0.312944442640517,0.381480609583185,0.534608349298092,0.541853373164053,0.23078546611683,0.417102315160568,0.385769447240532,0.703181316361983,0.898934961197519,0.685539137178964,0.896986719485664,0.911069530581983,0.901942559340196,0.0582267212174346,0.217011126624888,0.866830914266541,0.897086837462524,0.796967507657672,0.325143953415376,0.71882407377342,0.125634531501986,0.375759002500244,0.365026084791809,0.626798064746566,0.18571478823695,0.456202443960992,0.140534521760778,0.137112922254332,0.0333433451310193,0.737966901538029,0.7092357480707,0.748481994999513,0.164649424727517,0.706560974553799,0.546265328874025,0.760684211665638,0.489318494225628,0.433252427184466,0.566750278706801,0.556355597406674,0.657818402225325,0.501193298048511,0.581681386715156,0.454787262828631,0.494490805381477,0.742326092368304,0.660535117056856,0.514714636707039,0.381265491227501,0.70506732257471,0.775791202606315,0.641248877055124,0.741040794016733,0.290332662272299,0.277196913119243,0.677956997975993,0.745666515136756,0.657911755474018,0.564722213202585,0.663066478336635,0.686638850104447,0.646174952105725,0.660430940243097,0.320378878895131,0.663069184227901,0.54050448636772,0.0210761870744986,0.658191815220097,0.108209944691583,0.588137643276943,0.703859142124233,0.615801322639651,0.656443809461961,0.10380204781851,0.815676039874014,0.0794152027794915,0.638915045837798,0.694276228204046,0.675219988959964,0.614978731694646,0.68338366291089,0.691299747810934,0.68113642021409,0.638625055005751,0.62611753309305,0.472845028195387,0.479176813758916,0.68431719539782,0.681118831920858,0.688949681246009,0.754462014698401,0.492928153175093,0.826475251918477,0.63884063382797,0.7446260999448,0.64408870993928,0.575463248584819,0.633066261865333,0.362268781591281,0.641764349341386,0.325614778495741,0.0348282147436644,0.720931963069996,0.705761383684558,0.625776590793476,0.538634715502592,0.618160859824009,0.684904373802643,0.615170849974565,0.691637984219242,0.744841218300484,0.716423948220065,0.653617506034138,0.633312497970582,0.655319511640744,0.657719637194099,0.662598359147536,0.656330162028769,0.659589408059227,0.664349070796939,0.65169767618058,0.672699451245251
"mean.ddgent",0.744274334080159,0.0197475944626641,0.433044073556948,0.816742161033001,1,0.0510155209923045,0.0343323483889123,0.773537195181349,0.355541935902848,0.349936682144365,0.745865398144841,0.324938305679125,0.145874598175147,0.506207314565272,0.00359342360186598,0.100778924888159,0.16581431091773,0.391442348280677,0.646516113080624,0.944323581301209,0.414920013854163,0.819469699429598,0.701054485826542,0.873755290017426,0.833076273663019,0.874853881871611,0.791067311751145,0.798170276325616,0.80904931216244,0.80371735342187,0.800113106254938,0.878182128129363,0.8678266822526,0.458736511132037,0.977131159961468,0.506747139872931,0.324218538602245,0.440758569557641,0.932413600891862,0.333038391185289,0.907320518232295,0.875736002424479,0.923296100269507,0.79225384507149,0.817965223885443,0.83122273814549,0.879784015759111,0.825511954627615,0.928970354255285,0.862513664750896,0.78199175244342,0.574412009827797,0.794028909742291,0.283282462577524,0.346437964736825,0.861682956132091,0.599971858730829,0.0947319002933186,0.189174270221125,0.134474678269528,0.183532486930545,0.351699570304467,0.220287960948577,0.833260274269139,0.313466679654945,0.198217358833653,0.55837641057317,0.656506044961089,0.834678161292767,0.298729143913231,0.44121451223604,0.0122522756545551,0.809913844422076,0.893247177755409,0.84189071446353,0.494879100778214,0.477348984208419,0.831351267980648,0.846114610730483,0.710268045588856,0.431569362816725,0.0769014297929452,0.549321633059497,0.0309716314359624,0.654116742972801,0.595960374928294,0.646915013367103,0.630372547109567,0.39452841727008,0.469154192507928,0.677858232944767,0.62333858276239,0.702392549057809,0.868209565866805,0.702257492023577,0.921309976079921,0.896257481789352,0.920877033477287,0.0925265989111494,0.0420481973352383,0.846653083092509,0.931413774068903,0.89323906008161,0.445271996190105,0.752277007500731,0.011420214090117,0.286315766687231,0.319974348150794,0.621372752757303,0.417468963427174,0.419005909666526,0.0282265047461333,0.39534424348692,0.0344054074531069,0.885136268684179,0.861164777954563,0.907773755019428,0.199422833392863,0.885141680466712,0.679125943003106,0.918529672803628,0.649707493154095,0.371244222922146,0.523308547369333,0.540110779188449,0.661507884967151,0.402985680423418,0.551666287841889,0.396436070612939,0.371623047699451,0.913515656286868,0.883668322672122,0.548643807297248,0.520762303687589,0.863747551168404,0.922270567479517,0.751572122825816,0.904561862086134,0.307044246733989,0.375731943587579,0.847155025922438,0.914944366875562,0.764109870008984,0.638022101719865,0.779483391239406,0.850660508058144,0.884573443300754,0.785111645073654,0.393523178664589,0.855215876005239,0.580412323711184,0.206333679687415,0.798444924289162,0.249807881720081,0.732774296197682,0.85820453290905,0.759030912101828,0.763509162147828,0.0410267233821476,0.794162851359981,0.281727928044939,0.523645430832008,0.737159192994989,0.868576214133411,0.709886514920285,0.814808801723112,0.856586409931703,0.818284519054886,0.697725122619235,0.664864543083201,0.60268451472546,0.67128021127599,0.796249093526426,0.813827916139018,0.859396478011928,0.788027242913271,0.628145598597266,0.871866577913433,0.772582015564287,0.779404920392679,0.795986622073579,0.754255014016517,0.792648905196394,0.655649630375253,0.767781764457577,0.62786689179682,0.175983109821012,0.812140792934377,0.671373564524683,0.790706075267071,0.368707449859835,0.877808715134591,0.81510103797989,0.73978390752346,0.821577588726175,0.841166888549751,0.841233182885779,0.788134125618296,0.7674692340163,0.790746663636069,0.79342143715297,0.795567208927277,0.794871794871795,0.795220854845169,0.796579212260935,0.786436178848589,0.815621922048684
"mean.ESS",0.233707828684612,0.992998506348021,0.244732982649825,0.224532151400028,0.0510155209923045,1,0.433341721596259,0.177471290493663,0.154693097812558,0.785425528460564,0.0506164020305008,0.771530776807265,0.221517788529186,0.416429901180851,0.639921637388923,0.359629306300589,0.509734443831109,0.0982252059183254,0.208897582319171,0.195702232901473,0.41482666060547,0.150670790444957,0.0167481139937873,0.235123009816974,0.236283837170287,0.242117738740786,0.195615644380946,0.198704419261616,0.314612624606293,0.397329014730872,0.226891688584386,0.226075862367547,0.223152146854131,0.218339719236722,0.123289876719594,0.154894686711909,0.0970332608154474,0.411375296295094,0.207462036345532,0.407806225714626,0.228435399551904,0.242177268348649,0.242707623036876,0.194067874576528,0.178173469277311,0.283636934333431,0.295720091783832,0.281431632951262,0.210132751025533,0.22244049745105,0.243062094792783,0.355612289075776,0.238167137491747,0.436720026842441,0.617731976058274,0.20237631371021,0.247547109566949,0.376547769804418,0.11989804201708,0.362011721920966,0.313128443246637,0.329673615395439,0.114943555108182,0.000783355521641718,0.377827656373456,0.336880756783669,0.24284705857683,0.605142816941044,0.127525949497245,0.0648189707395004,0.453340963946705,0.106077702373608,0.00951661958415863,0.0958832570271996,0.125746825989544,0.296696918531026,0.27020218419543,0.255990843263954,0.073929008236733,0.321938825210248,0.256165373250641,0.35143709885162,0.643616531913282,0.337132404671451,0.563164972778734,0.599932623307465,0.563296208505157,0.286901592146421,0.590246885519152,0.597514909460878,0.553798530159864,0.535773235488305,0.106875940297215,0.104359461419402,0.0672096264820295,0.0537931183773311,0.0850096329729086,0.0740954205496206,0.602436925674579,0.446723706854564,0.0411701356192703,0.0521519953242199,0.156075808249721,0.261122566050806,0.24046173328571,0.292099609269301,0.240511792274139,0.180710242339622,0.112023898431665,0.440519098180559,0.165650604496109,0.28476664393718,0.50094165016073,0.308018367589917,0.166093017718176,0.174252632832202,0.161472708380686,0.312918736673486,0.206686798497689,0.272510309445725,0.157288047537098,0.327483196415235,0.317758223203559,0.238857139764696,0.225151800500049,0.0694088168761027,0.337823759890033,0.21720459785044,0.308853135045621,0.392604528579624,0.212335346516436,0.270407831931682,0.21581106384821,0.29910110292128,0.250192118279919,0.11613550021106,0.228888636339037,0.213910175233518,0.234190830275676,0.351799688281326,0.242378857248,0.216249418233378,0.223075028953037,0.253221363552727,0.0187464146940719,0.259474678269528,0.289993072918358,0.233396651188969,0.356775822320356,0.0280167981729822,0.205291911549826,0.0418926085874165,0.251021473953091,0.341099241268089,0.155461570932234,0.242129915251486,0.272490015261227,0.211369343334307,0.394426946347588,0.26993430096005,0.888164161011354,0.421351917394552,0.2092357480707,0.25892267645117,0.222267320409997,0.224453680553301,0.234568302107348,0.232678237057722,0.159083460200225,0.142397527897739,0.371600047623686,0.427843350542802,0.207721801907112,0.224118150036259,0.240598380794666,0.103635635505623,0.285610882012317,0.0854141637172452,0.248457641978115,0.116933738134667,0.331528503858601,0.288997304932299,0.241967561775498,0.531487103722224,0.23772878310658,0.544633676440346,0.22370219491828,0.169269734065006,0.129743427390114,0.258136615038261,0.279349449621716,0.271203363964023,0.238226667099609,0.242431622127696,0.189869684276607,0.169649911787945,0.225772802545703,0.238203667023844,0.242817211633168,0.237795077442608,0.236739779848687,0.233554945828057,0.239881319609053,0.238598727148748,0.233480533818229,0.23852431513892,0.235946953707612
"mean.GSS",0.0920584797220509,0.419146616012382,0.093960721282376,0.0155291099782446,0.0343323483889123,0.433341721596259,1,0.0168387613512139,0.255131722786852,0.309207606801528,0.227269160416058,0.216821714236235,0.181954952322196,0.124981058761135,0.434395666244548,0.0319308806901126,0.377670714680001,0.208934041194489,0.154651885279651,0.0523143488002078,0.00209571278587741,0.114012728512517,0.369166098429501,0.0203929495297161,0.0120019807124071,0.0301043932850602,0.0340671710447987,0.0463884469266487,0.0346827613079196,0.0959590219826607,0.000188059443019342,0.0188411208883982,0.00181294714853178,0.120000865885205,0.0219312487147017,0.249889058458075,0.251944182874955,0.134857561883733,0.0549931811540085,0.0294238616315442,0.0426367286856945,0.0410104880345488,0.068597049496163,0.0209233042179433,0.0308809840785358,0.0312124557586778,0.10332039917308,0.032562695500644,0.0381463021289953,0.00257465554004178,0.0146280481865117,0.225172094684547,0.0202576549663928,0.216518654414391,0.0632853849400916,0.0575516013464515,0.532025576084251,0.224751328592612,0.51097374203115,0.238459373748525,0.290704722321438,0.214095528785271,0.255794666147136,0.309248195170525,0.233007002846598,0.23759078265199,0.24487377182092,0.203481670292561,0.0426245521749954,0.511069297560566,0.291125488413374,0.47598521501012,0.267450292777435,0.168899026961501,0.215997770345596,0.0447486768191707,0.205263499691528,0.120847809851609,0.232609236830427,0.108605004816486,0.129011483802535,0.157068870344514,0.241588736998192,0.145598597265967,0.196275881849964,0.194553582058859,0.185318375166412,0.0118058035955883,0.267749293762379,0.175596107846002,0.19829177084348,0.147426426816465,0.348233323592125,0.0090349709387278,0.352660957459674,0.0166033488110314,0.057217423775043,0.0319065168685262,0.0543126495004925,0.159279583509216,0.0552407702048901,0.0193538872833934,0.0348965267179704,0.583748687642736,0.181739833966512,0.582984273359959,0.489204846792437,0.485098656795575,0.0234330183675899,0.587083698628654,0.426291521901484,0.573002240477969,0.539533071403059,0.610420657856285,0.0941812514205929,0.0892281174573281,0.0299068632226083,0.0846091610654718,0.114729789698131,0.0726545334502278,0.0398415430074358,0.0473652736738427,0.509547737333723,0.383266497819052,0.395624303232999,0.0672048684395666,0.491913443950168,0.379575662131593,0.49476410039939,0.456937093439837,0.0570997175049518,0.0833265686051672,0.0306388068101871,0.030981102055395,0.0366702384431384,0.0229405461570932,0.0563204208202098,0.053722765204403,0.0738261843686073,0.00036935415787252,0.00871973460618459,0.06514297929452,0.029207390330227,0.027544620146984,0.0939796625212413,0.0405342511716509,0.0920977151454146,0.0170132913379009,0.0489482200647249,0.0161514649695317,0.0271576776958795,0.175951932547543,0.0103825047894275,0.0724597092790423,0.0806003831542033,0.029829745321514,0.017549057808661,0.0557440659804527,0.0132913379008778,0.0272916193135695,0.493907685813553,0.102848221147081,0.16147000248942,0.00920003030598219,0.300537931183773,0.0151692264398047,0.0239593142189174,0.0118599214209176,0.0817795029343756,0.146169540323192,0.0280397982487472,0.0667421610330011,0.00573513653927331,0.0137743394919419,0.0261226742864565,0.215314532800814,0.0607229059107489,0.0125864532259636,0.0195392408351463,0.227242101503393,0.19797788745657,0.0294603911636415,0.0417721964260588,0.132832202270784,0.00787820242231386,0.117598034440584,0.182549633672945,0.0170335855223994,0.247300873461701,0.0281426221168729,0.311618555919949,0.0649210962106699,0.0112362134839974,0.0365146496953166,0.00062235499128703,0.0290531545280384,0.0219948371594636,0.0223479559697373,0.0389837754759663,0.0218067777164442,0.020618891450466,0.0180672359861891,0.0191117100150448,0.0158199932893897,0.0123293935556494,0.0223073676007403,0.0146212834583455
