variable,bfSC,ddgent,rsa,varea,vcompactness,vvolume,wcnSC
sd.vsphericitycc,0.109783637,0.075842578,0.018981019,0.012108944,-0.10215311,0.020411168,-0.016153583
mean.vvolume,0.029348283,0.007045586,-0.013165782,0.071816342,-0.174355907,0.081904937,-0.072137073
r.hpshh.vsphericitym,-0.048631632,0.057702823,-0.005796835,-0.103884274,0.114455282,-0.110104369,0.167882118
r.rsa.vsphericity,-0.080749514,-0.031676219,-0.071762448,0.020934329,-0.047410484,0.030422209,0.064176613
sres,-0.273668129,-0.107176765,0.005945226,0.003062852,0.008094492,0.002531299,0.032850899
sum.betas,-0.068601386,-0.134164176,-0.133498354,-0.169462617,0.229447092,-0.177183,0.148215459
r.rsa.varea,0.06801488,0.009365634,0.034277565,0.055779747,-0.091407277,0.062988327,0.001184342
r.bfSC.vnfaces,-0.221625743,-0.139038593,-0.058615069,-0.075993743,0.099834376,-0.081705137,0.088515432
sd.vnfaces,-0.133453389,-0.067725695,-0.048489668,-0.10135128,0.15583364,-0.10789868,0.135611757
sum.ESS,-0.063544586,-0.137099314,-0.129821601,-0.160669719,0.217531455,-0.168487739,0.138448767
mean.veccentricity,0.057328198,0.057270361,0.007287449,0.082972291,-0.188940007,0.093735212,-0.088557495
r.rsa.vedge,0.053516221,-0.020936958,-0.000244492,0.077703875,-0.137295599,0.090840738,-0.045583364
r.vsphericitym.wcnSC,0.070821284,0.08947237,0.016515064,0.066216678,-0.1784689,0.070170619,-0.051601031
r.rsa.veccentricity,0.089795731,0.070271833,0.035446133,0.069133498,-0.139105631,0.072920501,-0.067753299
r.bfSC.vsphericitym,-0.413778327,-0.130441926,-0.099555707,-0.064538093,0.076568169,-0.057354488,0.046670435
mean.LSS,-0.071455143,-0.045688702,-0.007168518,-0.053051763,0.096837755,-0.051667615,0.088433626
r.bfSC.hbe,-0.061075766,-0.031699879,-0.034493138,-0.0873048,0.07566381,-0.089513118,0.081079447
sd.rsa,-0.000391714,-0.024305957,-0.023166307,0.031030811,-0.075419318,0.040802618,-0.052120248
sd.bfSC,-0.143268574,-0.049396656,0.0096259,0.016889689,-0.010866765,0.00888848,0.013712603
sd.vedge,0.094272832,0.096209054,0.034950576,0.110874652,-0.205526053,0.120892266,-0.124104843
sum.bfSC,-0.25359246,-0.180900678,-0.103355855,-0.130448499,0.203046953,-0.138163153,0.12485015
r.vedge.vnfaces,-0.079592776,-0.119074347,-0.061476681,-0.111840791,0.155519481,-0.13177349,0.119310952
mean.BSS,0.023252139,0.044235808,0.014947569,-0.045087306,0.070206822,-0.045888832,0.060684511
sd.vnfacescc,-0.111287397,-0.075904359,-0.036525317,-0.073306956,0.129910879,-0.080380146,0.094312267
r.vvolume.wcnSC,-0.153997318,-0.148232031,-0.096255061,-0.173755192,0.222364478,-0.187328461,0.172499869
r.ddgent.veccentricity,-0.020001052,0.038899259,0.044826226,0.068944214,-0.06621142,0.069590935,-0.028476786
sd.vsphericity,0.089869341,0.074808087,0.019912982,-0.002521163,-0.104909564,0.003039066,-0.040555497
median.vnfacescc,-0.060571613,-0.074817143,-0.010777254,-0.111403504,0.194783277,-0.116746674,0.119289864
r.bfSC.hpshh,0.0201417,0.038731006,0.050328619,0.089643251,-0.092021137,0.092725695,-0.059427415
sd.varea,0.095794994,0.101435407,0.042085546,0.126352595,-0.216971187,0.136601556,-0.134436616
r.varea.wcnSC,-0.152057153,-0.138030391,-0.085640675,-0.156663074,0.206482991,-0.167215679,0.154354856
