"","mean.betas","mean.bfSC","mean.BSS","mean.ddgent","mean.ESS","mean.GSS","mean.hbdif","mean.hbe","mean.helix","mean.hpshh","mean.HSS","mean.ISS","mean.LSS","mean.mvsphericity","mean.rsa","mean.seqent","mean.SSS","mean.TSS","mean.varea","mean.vccnfaces","mean.vccsphericity","mean.veccentricity","mean.vedge","mean.vnfaces","mean.vsphericity","mean.vvolume","mean.wcnSC","mean.zr4s_JC","median.bfSC","median.ddgent","median.hbe","median.hpshh","median.mvsphericity","median.rsa","median.seqent","median.varea","median.vccnfaces","median.vccsphericity","median.veccentricity","median.vedge","median.vnfaces","median.vsphericity","median.vvolume","median.wcnSC","median.zr4s_JC","r.bfSC.ddgent","r.bfSC.hbe","r.bfSC.hpshh","r.bfSC.mvsphericity","r.bfSC.rsa","r.bfSC.seqent","r.bfSC.varea","r.bfSC.veccentricity","r.bfSC.vedge","r.bfSC.vnfaces","r.bfSC.vsphericity","r.bfSC.vvolume","r.bfSC.wcnSC","r.bfSC.zr4s_JC","r.ddgent.hbe","r.ddgent.hpshh","r.ddgent.mvsphericity","r.ddgent.rsa","r.ddgent.seqent","r.ddgent.varea","r.ddgent.veccentricity","r.ddgent.vedge","r.ddgent.vnfaces","r.ddgent.vsphericity","r.ddgent.vvolume","r.ddgent.wcnSC","r.ddgent.zr4s_JC","r.hbe.hpshh","r.hbe.mvsphericity","r.hbe.rsa","r.hbe.seqent","r.hbe.varea","r.hbe.veccentricity","r.hbe.vedge","r.hbe.vnfaces","r.hbe.vsphericity","r.hbe.vvolume","r.hbe.wcnSC","r.hbe.zr4s_JC","r.hpshh.mvsphericity","r.hpshh.rsa","r.hpshh.seqent","r.hpshh.varea","r.hpshh.veccentricity","r.hpshh.vedge","r.hpshh.vnfaces","r.hpshh.vsphericity","r.hpshh.vvolume","r.hpshh.wcnSC","r.hpshh.zr4s_JC","r.mvsphericity.rsa","r.mvsphericity.seqent","r.mvsphericity.varea","r.mvsphericity.veccentricity","r.mvsphericity.vedge","r.mvsphericity.vnfaces","r.mvsphericity.vsphericity","r.mvsphericity.vvolume","r.mvsphericity.wcnSC","r.mvsphericity.zr4s_JC","r.rsa.seqent","r.rsa.varea","r.rsa.veccentricity","r.rsa.vedge","r.rsa.vnfaces","r.rsa.vsphericity","r.rsa.vvolume","r.rsa.wcnSC","r.rsa.zr4s_JC","r.seqent.varea","r.seqent.veccentricity","r.seqent.vedge","r.seqent.vnfaces","r.seqent.vsphericity","r.seqent.vvolume","r.seqent.wcnSC","r.seqent.zr4s_JC","r.varea.veccentricity","r.varea.vedge","r.varea.vnfaces","r.varea.vsphericity","r.varea.vvolume","r.varea.wcnSC","r.varea.zr4s_JC","r.veccentricity.vedge","r.veccentricity.vnfaces","r.veccentricity.vsphericity","r.veccentricity.vvolume","r.veccentricity.wcnSC","r.veccentricity.zr4s_JC","r.vedge.vnfaces","r.vedge.vsphericity","r.vedge.vvolume","r.vedge.wcnSC","r.vedge.zr4s_JC","r.vnfaces.vsphericity","r.vnfaces.vvolume","r.vnfaces.wcnSC","r.vnfaces.zr4s_JC","r.vsphericity.vvolume","r.vsphericity.wcnSC","r.vsphericity.zr4s_JC","r.vvolume.wcnSC","r.vvolume.zr4s_JC","r.wcnSC.zr4s_JC","sd.bfSC","sd.ddgent","sd.hbe","sd.hpshh","sd.mvsphericity","sd.rsa","sd.seqent","sd.varea","sd.vccnfaces","sd.vccsphericity","sd.veccentricity","sd.vedge","sd.vnfaces","sd.vsphericity","sd.vvolume","sd.wcnSC","sd.zr4s_JC","sum.betas","sum.bfSC","sum.BSS","sum.ddgent","sum.ESS","sum.GSS","sum.hbdif","sum.hbe","sum.helix","sum.hpshh","sum.HSS","sum.ISS","sum.LSS","sum.mvsphericity","sum.rsa","sum.seqent","sum.SSS","sum.TSS","sum.varea","sum.vccnfaces","sum.vccsphericity","sum.veccentricity","sum.vedge","sum.vnfaces","sum.vsphericity","sum.vvolume","sum.wcnSC","sum.zr4s_JC","natoms","contact_orderSC","nres","nchain","sum.nhbon","mean.nhbon","sum.nhbps","mean.nhbps","sum.nhbas","mean.nhbas","sum.nhbpa.dif","mean.nhbpa.dif"
"mean.betas",1,-0.29847333614746,0.305480241581972,-0.0197543591908303,0.993131095020078,-0.418219848253618,-0.255606606704116,-0.116012382158435,-0.835745635397387,-0.106215702828198,-0.822011884274442,-0.229532638460456,0.471851966100594,-0.178168057494778,0.134041735666894,0.442195397820134,0.224789211070342,0.0629904427920469,0.179756415668193,-0.149212315052332,-0.360386834215454,0.185344081133444,0.18713808704311,-0.146482070764468,-0.271425247047873,0.169476734746891,-0.16738372785228,0.035748882466907,-0.273755019428299,0.0610246127869598,-0.101847041378489,0.0794639088222879,-0.233651004968016,0.147460250457296,0.433853135045621,0.171121916636902,-0.126798064746566,-0.250940297215097,0.188336796874154,0.184452489961143,-0.143377060536199,-0.235804894416123,0.149652022383133,-0.167378316069747,0.604378402658268,0.43051677111407,0.608007002846598,0.139728166163371,-0.375704884674914,0.387480923466571,-0.112700371248282,0.36564167505493,0.319342522540074,0.320400526025262,-0.107760766741349,-0.062805089240294,0.336375545364133,-0.287070807448391,-0.189258152850386,0.561665909017112,-0.210541340606769,-0.201525310906907,-0.497235932071306,-0.0869389334458984,-0.0437515558874782,0.0348099381974435,0.0725584743102683,-0.268137589159117,0.252800597460792,0.017281174573281,-0.280698336418049,-0.0182092952776786,0.273629195484409,-0.579999675293048,0.616411501120239,0.357800002164713,0.527198266064877,0.572097119849336,0.529739097964087,-0.249748352112219,-0.630181781775281,0.51546416858785,-0.507707731272527,0.378857248000346,0.119727570867292,-0.186688909092877,-0.117560191725997,-0.132599495621868,-0.16433283544934,-0.150099847387733,-0.608646946131117,0.480518935827083,-0.129896310246669,-0.0877263478044398,-0.160388998928467,-0.236397484603479,0.247860992953859,-0.197895357772943,-0.193295342619952,-0.208363098137264,0.0288637421393859,-0.202402019677241,-0.189152623090994,0.228455693736403,0.183117132621143,-0.292505492959271,0.109557478542282,0.120218690132156,0.101154333214274,-0.309337489582319,0.147718663073243,0.097472968146248,-0.295668679849769,-0.21406576398134,-0.336589873472524,-0.269187474970506,-0.255644489181847,-0.0248617289562836,0.361720838609821,-0.329972616380383,0.416021311599615,-0.292063079737204,0.151717970365079,0.222030630023036,-0.180169064086329,0.273664372070873,0.0546779448214653,-0.180067593163836,-0.282654695803704,0.154870333690511,-0.220078254375426,0.328113669080322,0.155475100388566,-0.175757108376357,-0.254322661298178,-0.213355467523893,0.0717670011148272,0.242899741316795,-0.184510666623372,-0.188956445974175,0.338145760950742,-0.168755614724378,-0.0268816767867,-0.0689204035025057,0.336662932536719,-0.112479841110065,0.412959595631609,-0.162180298946867,-0.277407972638028,0.474478033574699,-0.416551666287842,0.346693671461506,0.875511413449362,-0.488522962193287,0.158090344297605,0.201467134244678,-0.265262579688498,0.175240283144462,-0.0957357859531773,0.394298416512431,0.184536372590404,0.183838252643656,-0.109955958222384,0.344878018421708,0.174962929289649,-0.188009384030912,-0.0712122934052018,0.152090030414218,-0.255442900282495,-0.0216606595880551,-0.201839194293817,0.163721304023119,-0.284211936227555,-0.249867411327943,0.195460055633124,-0.50564990096438,-0.190943923109394,-0.521335952636079,-0.229047008450176,-0.115526674676105,-0.184506607786473,-0.197899416609843,-0.142803411587709,-0.113085960753753,-0.16962691171218,-0.190441980279464,-0.185219610135186,-0.189915684428137,-0.195553408881818,-0.189317682458248,-0.188505915078308,-0.190984511478391,-0.190958805511359,-0.185962377287831,4.05883689969802e-05,-0.195860527540561,0.191727278631036,-0.18964915413839,-0.393222824734011,-0.212719583076274,-0.38717122987199,-0.218357307529954,-0.0675512225216742,0.170705209381866,0.63719139310106,-0.302820350467037,-0.494021333246745
"mean.bfSC",-0.29847333614746,1,-0.38960234221948,0.432883073026594,-0.249346527259149,-0.106930058122544,0.342461657520754,0.105060287257417,0.397871545929798,0.577153077680727,0.463994057862779,0.245054983710535,-0.176920641620937,0.11456608327651,0.18095647844487,-0.483649652022383,-0.301407875225942,-0.571834648396489,0.017316351159745,0.121474223679796,0.0177601173274453,-0.0582821919883971,0.021200658072756,0.127412302064054,0.0896962366464266,0.0264527930209652,-0.00509925209165395,-0.12602959162689,0.993764273576431,0.305768419001851,0.054542650258142,0.411505179075884,0.0650875085235575,0.152324090008767,-0.477841456418915,0.0938944269463476,0.0696753471658495,-0.151896559188666,0.0286702709138336,0.137530982455001,0.100270859715773,0.0532627636891039,0.142055232652531,0.00521560541611196,-0.42463686939204,-0.561567143985886,-0.438369267569352,0.110086480284876,0.605715112943902,-0.748177582232036,-0.530230217228951,-0.692288751068827,-0.67594652076501,-0.581644857183059,0.633215085884989,0.530342511716509,-0.661378225888594,0.753530766501504,-0.608147709192454,0.0252703185375199,0.533747875875356,-0.0195974174973753,0.709076100485978,-0.592315539392365,0.338493467978483,0.17795564503036,0.0928810706670563,0.442907047223214,-0.355493229860051,0.231695998527995,0.203599376562652,-0.731790704722322,-0.216012652747562,0.422170449502657,-0.286448355359288,-0.49793675790932,-0.198638124925588,-0.234232771590306,-0.209230336288167,0.340184650020024,0.591851479040166,-0.161521414423483,0.281892987412194,-0.56796792977671,-0.310690435215551,0.43296966154712,0.0355642174170859,0.413748362935784,0.391495113160373,0.382706378326893,0.702269431005185,-0.541781667045491,0.404758039202953,-0.144788182831661,0.0594646664718425,0.301050697578769,0.205773560195257,0.00168171142210821,0.0261619097098202,0.0240377850656449,-0.577341137123746,0.118495037395417,0.0131208667510905,-0.186713262114275,0.363240196555942,-0.409923585630635,0.0542855905878278,0.00779837862995314,0.0951188427444232,0.711487049604399,0.119528687859207,0.122371226634629,0.331566386336331,-0.604690933099544,-0.201732311588791,-0.185026138909634,-0.166634195971469,0.199867952506197,0.188163619833101,-0.194633405851219,0.15595404314273,0.200173718219307,0.11002965656828,0.0668686840671357,0.385864153434858,-0.432593542661082,0.147705133616911,0.189902154971805,-0.446496411988181,0.0881173490924441,0.620675985756188,-0.475406154279097,0.111818250695414,0.171216622831228,-0.363593315366215,0.308031897046249,-0.508625028411858,0.0725909450054659,0.141629054778063,-0.39497624227468,-0.563320561526556,0.353145869186393,-0.64932460953989,0.223666266194759,-0.615441439101211,0.0101673864337435,0.374159820761763,0.170467090950417,-0.447526003615071,0.313293502613891,0.83610687188146,-0.745470338019937,-0.0577071900942733,0.819235639835049,-0.117171856566116,0.0283861523308547,0.125483001591064,-0.0918284789644013,0.224628210539988,-0.264709224924506,-0.00360695305819831,-0.0837689818272343,0.20457356661282,-0.37128751718241,-0.0936400731672998,0.00852355748936585,-0.0903375328765789,0.031934928726824,0.373559112900607,-0.0440938511326861,0.16325724367092,0.0385264798519336,0.0753969542487905,0.190598921972919,-0.131706551503934,0.259900856143997,0.168242848329383,0.286932709895986,0.24622062965436,0.0919610676364581,0.123168111612603,0.213934528254917,0.0675282224459092,0.0357529413038067,0.0393152471561083,0.138333279215508,0.125990356203526,0.12638541632843,0.17038050242989,0.133783323050947,0.129292896494247,0.12750700825838,0.140673875161001,0.0905540041778961,-0.182023952549491,0.148058252427184,-0.183314662683595,0.128115833793335,0.559158900758732,0.134895444361464,0.176359905307313,-0.169942148044723,-0.572549003690836,0.156435691788161,0.23216682360836,-0.277187442499811,-0.3418406554751
"mean.BSS",0.305480241581972,-0.38960234221948,1,-0.815857334588867,0.223299617928153,-0.0258317909753114,-0.911827180136593,0.504152190148391,-0.67777976209804,-0.51764917578552,-0.661724356268468,-0.0722432379777251,0.77548814278447,0.676633817146692,-0.745882986438073,0.482806766892879,0.892114762260393,0.748019287592947,-0.70859986362308,0.678614529553744,0.512775865614616,-0.689268976415452,-0.705722148261194,0.676282051282051,0.611271660659588,-0.717913541362254,0.711311166672078,-0.625266530289747,-0.406143455531383,-0.748368347566321,0.617418092671364,-0.0196934766373348,0.642642411057354,-0.735215010120033,0.423922514097694,-0.718899838728881,0.699382245023866,0.589118528861036,-0.695311231613469,-0.705382558907253,0.667155080040264,0.643669296792978,-0.732143823532595,0.707536448355359,-0.00468119189098505,-0.109109653537682,-0.0875978179692827,-0.724295385914213,0.153890801052051,0.0141626348886796,-0.203794200733838,-0.0442886753038716,-0.0665365132967497,-0.234575066835514,0.216268359472243,-0.728620753103657,-0.116547511576997,-0.538410985110521,0.4551972053555,-0.320032524813023,-0.834257395200831,0.633680499182821,-0.449412009827797,-0.0568223636501391,-0.580608500828003,-0.725552272407486,-0.633175850461625,0.418687967442716,-0.357679590003355,-0.623552348172441,0.506303373705231,0.232377883127144,0.297251626240651,0.227634455737031,-0.270049301338875,0.164524953729259,-0.39771325129071,-0.309039841543007,-0.378497364461907,0.535455293264495,-0.53669594441017,-0.416461018930415,0.384200030305982,0.267780411511944,0.863605491876914,-0.895372655345218,-0.682735832878726,-0.894861241895856,-0.908367698152418,-0.900287906830752,-0.055775183730017,0.212513935340022,-0.89524818434696,0.79489479494756,-0.703616964855884,0.545192442986871,0.584021982660649,0.706386444567112,0.678548235217716,0.688554621121105,0.661137177863645,0.660526999383057,0.70582497212932,-0.615913617127209,0.462559935491552,-0.039255717548246,-0.73556948187594,-0.710553517117468,-0.750140706345856,0.165696604647639,-0.707207682566484,-0.760117327445314,0.487308017014644,0.318057224188503,-0.432588130878549,-0.567616163912069,-0.556255479429815,0.659831585327575,0.503862659782879,-0.4556409715232,0.496441752984598,-0.719875312530441,-0.745121278046563,-0.661254431321281,0.517388057278306,-0.382664437012263,-0.778126386769274,0.641599289974132,-0.132660378175363,-0.743375978179693,0.290501780476453,-0.276496087281229,-0.74807881720081,0.658452933727311,-0.383263791927785,0.5672062213852,0.66115611910251,-0.645989598553972,0.661260295916269,-0.370348572912946,-0.322508415321839,0.541902079206849,0.0155818748579407,0.627665302897468,-0.109882185494258,0.586116342500893,-0.181198655713219,0.656484397830958,-0.145045242501975,-0.129398426253639,-0.102607396824366,0.816455336558756,0.0806247361756015,-0.639667283609875,-0.686481908410993,-0.675782814343388,-0.615505027545973,-0.684223842149127,0.624162526653029,-0.478099869034863,-0.693467166715373,-0.681815598921973,0.63890173248133,-0.469832018270178,-0.682067246809754,0.690075332012859,0.570315290450369,0.755708077626609,0.491365500968709,0.827077312725266,0.63983640181403,0.745363455314912,0.644168533731641,0.574471539435659,-0.633911852886104,0.358582004740722,0.64319711876698,0.321150057906073,-0.0448264863550339,0.721134904914981,0.666180959184336,0.61577561667262,0.690743687155675,0.745343161130413,0.718090777240207,0.654529391390936,0.663989187258499,0.660991059735256,0.634045794503794,0.656566927514585,0.658837170287149,0.65752751891418,0.652751620828869,0.674120044160146,-0.614861025424554,0.649083785217175,-0.579737203840201,0.657918520202184,-0.487190310744553,0.626270415949606,-0.268026738273609,0.614659436525203,0.178379117013562,0.705941325453778,0.314300094165016,-0.538310008550617,-0.165421956684093
"mean.ddgent",-0.0197543591908303,0.432883073026594,-0.815857334588867,1,0.0516189347447262,-0.0280830925090106,0.7750863179314,-0.358400710025868,0.352807632778085,0.75161135824918,0.327847138790575,-0.128818012576983,-0.506399432845191,-0.796882272082779,0.943954227143337,-0.406667045491444,-0.820408643699062,-0.698837007933673,0.871656871340282,-0.793662261475685,-0.799676104815404,0.829830557088894,0.872805522182897,-0.786595826433311,-0.80524888787869,0.876007944496758,-0.865256085549458,0.698343182777543,0.4596713965646,0.976966100594214,-0.504583779805392,0.328266551936877,-0.823055005357665,0.932095658668052,-0.322949475598273,0.906377515125932,-0.816010217445422,-0.87737712547759,0.874176056109361,0.922691333571452,-0.789051422757628,-0.828729259343443,0.928053057115953,-0.859882185494258,0.276670617267916,0.282081046855213,0.344666958902924,0.856346938554621,-0.308202368196036,0.0922005390135403,0.18404525332554,0.131703845612668,0.179680650712732,0.347431026831618,-0.213412291240489,0.836911874533234,0.194410912051412,0.556357815005625,-0.601955277029148,0.656933575781191,0.833015391109524,-0.824943717461658,0.44439934625667,0.00365836499226115,0.805675065753158,0.887061510320269,0.836235401716618,-0.489283317639164,0.474793269907242,0.841244006450845,-0.703542552846056,-0.301513404985334,-0.429016354406815,-0.463849292680023,0.544630970549079,0.0315926334816162,0.651202498078817,0.591955655853925,0.642312292322845,-0.62620547455921,0.39489235964542,0.675997932699073,-0.619654511803098,-0.0776712558582546,-0.84637708218333,0.86765485815718,0.699864130388867,0.92065244450217,0.895804245002219,0.920173501748006,-0.0881863493197389,0.0397698368888745,0.930539771189835,-0.889675401283675,0.704242025738438,-0.671452035371411,-0.547193449578422,-0.860890129991017,-0.843600837743936,-0.84821438235326,-0.855226699570305,-0.795605091405007,-0.855498641642584,0.754333484863244,-0.416620666515137,-0.0419859618361096,0.881178902706974,0.856820469526253,0.905400688378738,-0.192866458854217,0.883721087551818,0.915532898226018,-0.643692296868743,-0.446819765994523,0.360302951586194,0.516646643071295,0.532746696106764,-0.657877931833187,-0.394148239547142,0.386999274821141,-0.361804721239082,0.749757822731651,0.912449535127881,0.881943615295241,-0.545688974034268,0.517574763775693,0.920138325161542,-0.746988343020424,0.00674713987293135,0.902801679817298,-0.300291695078525,0.372158814170211,0.913568421166564,-0.760795153207564,0.28194169345499,-0.634664090658181,-0.775961673756102,0.882282906343692,-0.780663159831585,0.316977573573184,0.389759283912935,-0.577013724280504,-0.205287852712927,-0.618214977649338,0.245850515742875,-0.728279810804083,0.425908638287279,-0.759037676829994,0.0202481843469602,0.39905672630451,0.043476907923932,-0.799078102845515,0.280787630829843,0.530117922741393,0.792885670682209,0.866462913054302,0.701856782587049,0.810368434154842,-0.662187063675033,0.666099782446342,0.853661341472654,0.813680445064996,-0.693802931901866,0.594795488738081,0.809733902652856,-0.857598413265361,-0.616707796213917,-0.785035880118193,-0.620874868764274,-0.868650626143239,-0.768542119903454,-0.775926497169638,-0.793537790477428,-0.749388468573779,0.788866069205875,-0.65000243530214,-0.762848924678811,-0.622314402918033,-0.15894816559114,-0.807815425744932,-0.793222554144884,-0.735051303698412,-0.818241224794623,-0.838230996525636,-0.838615233085474,-0.784290407074282,-0.792086079812969,-0.791597666439372,-0.763743221742378,-0.786955709971751,-0.78969677782468,-0.791289194834995,-0.782660107586237,-0.812922795510385,0.649925317401046,-0.777966739184553,0.739748730936996,-0.790413839010293,0.569067874576528,-0.786973298264983,-0.102074370770147,-0.875289530365512,-0.382416847961382,-0.667075256247903,-0.00272212661406414,0.361412367005444,-0.161422649392257
"mean.ESS",0.993131095020078,-0.249346527259149,0.223299617928153,0.0516189347447262,1,-0.429707709625396,-0.17952100312801,-0.158632875496531,-0.787302064053858,-0.0509776385145739,-0.773262547217803,-0.220480079228496,0.417724670151855,-0.227971339199706,0.197172884804797,0.418123789113658,0.151985853600459,-0.0101430334123454,0.237002251301534,-0.198857302118172,-0.403249504821898,0.237711194813348,0.244525981967941,-0.195726585922871,-0.318843285601411,0.22750457295624,-0.224081620504162,0.08413968893074,-0.222436438614151,0.125290883311145,-0.15210761870745,0.0989544436146378,-0.283402874738882,0.209249277527032,0.413498067993636,0.230928878353952,-0.179656297691334,-0.300379636544685,0.24466804125943,0.244868277213148,-0.194534640819993,-0.286242707623037,0.211896992131268,-0.223263088396056,0.614666201253369,0.438438267796647,0.624113820610233,0.203253022480545,-0.383367968741544,0.377550302518644,-0.112841077594138,0.363797610156833,0.317364516024288,0.333138509162148,-0.115568615990735,-0.000575001894123887,0.339486644900038,-0.241841819631329,-0.241545442737929,0.60838447467827,-0.132833555216417,-0.258280027275384,-0.451894665064779,-0.101507452024548,0.014071987531253,0.0991086794168263,0.129157601930924,-0.296360035068351,0.27115195202996,0.0778403740624087,-0.323746360576247,-0.0558617722505439,0.262156216514596,-0.603827753785542,0.64959655161217,0.339945178642941,0.569391228582871,0.607158705934561,0.570029818921757,-0.284785585176045,-0.594380134428678,0.559628372893464,-0.543807026658441,0.355187464146941,0.0436000259765562,-0.108100356095291,-0.0626156980305538,-0.054054236884545,-0.0864897554956652,-0.0735637129157602,-0.607008528969272,0.453013551103463,-0.0521262893571885,-0.156445162407594,-0.104014460282928,-0.273427606585057,0.217036832591919,-0.253985777835503,-0.245767986059248,-0.262438982151941,-0.0310785141409878,-0.251683064367742,-0.2446220411079,0.27406078514141,0.163100301977465,-0.309098018205236,0.169394205063264,0.174799222868028,0.161819062462794,-0.313800857226353,0.206083384745267,0.160223939561213,-0.330726207098094,-0.258768440648981,-0.317938164972779,-0.241339795001678,-0.226805100063859,-0.0711852344925372,0.337927936703792,-0.309544490264203,0.392366410148175,-0.244065980452642,0.21295228972519,0.276293915361738,-0.215043943674167,0.297339567706811,0.11671726683335,-0.228045751209533,-0.288684774491022,0.21568118106742,-0.23369024039138,0.348395677068113,0.217402127912892,-0.224365739087141,-0.240733675357989,-0.252080830383912,0.0151868147330368,0.296979684168371,-0.234316654219567,-0.175563637150805,0.357206059031724,-0.205320323408124,-0.0428924354103755,-0.113541903432152,0.338504291543549,-0.156841575478131,0.441487807253953,-0.211039224599799,-0.282306988775963,0.50138947516533,-0.400107965061532,0.274210962106699,0.890450639131517,-0.425719225898627,0.208302215583769,0.25950038423656,-0.226499334350748,0.226400569319522,-0.143207942332045,0.432381130196664,0.238880139840461,0.23507565671981,-0.157540425183612,0.377608479180873,0.226058274074315,-0.242037914948426,-0.115505027545973,0.104248519877477,-0.285808412074769,-0.0869416393371649,-0.248820231407821,0.117887564806096,-0.334653808271368,-0.291558431016008,0.242431622127696,-0.537203299022632,-0.237669253498717,-0.55031875399119,-0.222709132487597,-0.168813791386607,-0.233998711995757,-0.241784914115011,-0.192800164518189,-0.170216796008269,-0.226423569395287,-0.239179140825405,-0.234603478693812,-0.239175081988505,-0.242543916615255,-0.238307843837603,-0.237697665357015,-0.240108614475436,-0.23942402398502,-0.237145663538656,0.0448961478931931,-0.243668214436471,0.235316481042526,-0.238775963026702,-0.355616347912675,-0.259425972226732,-0.364328088074105,-0.272388544338734,-0.0902468855191523,0.129053425117165,0.633363909904644,-0.275910261822039,-0.499937764500871
"mean.GSS",-0.418219848253618,-0.106930058122544,-0.0258317909753114,-0.0280830925090106,-0.429707709625396,1,-0.00553354763992164,0.237705783030815,0.31483721358141,0.232703943024754,0.222663733480534,-0.172048684395666,-0.133028379387603,-0.0097182084835103,-0.0441912632182788,0.000510060503728718,-0.122478109339654,0.352992986329837,-0.00977097336320637,-0.0570645409184877,0.0874462880583607,0.000132588672056802,-0.0195094760312152,-0.0439788507538613,0.0235006656492516,-0.00841261594744077,-0.00927173642454352,0.0737964195646762,-0.132825437542618,-0.0157821108116591,0.236929192237339,0.258355792230845,0.0225941920749857,-0.0475411566061629,0.0300692166985962,-0.0338899351668453,-0.0432915543721791,0.0959941985691247,-0.0304061001612711,-0.0612870842398069,-0.0314438094619606,0.0202441255100605,-0.0290139191046747,-0.0140571051292875,0.00081447327120607,0.212538288361421,-0.0705141734584537,0.064555800889697,-0.232648472253791,0.222735439599095,0.528432152482385,0.239033022697016,0.291803314175623,0.214090117002738,-0.266005346841143,-0.294296792977671,0.238188865186039,-0.235593914583791,0.541934549902047,-0.206635386563626,0.0470365078849672,-0.127002359537184,0.286158824993776,0.489816378218658,0.26460234221948,0.171894448593478,0.220910315939864,-0.0495015748287171,-0.196512647335779,0.231851587275817,-0.11401814029505,0.517064703271964,-0.125564178329058,0.175091459124807,-0.242282798108041,0.145558008896971,-0.195415408427228,-0.198918184671667,-0.183842311480555,0.00631284432466366,0.273842960894459,-0.197682945308526,0.147053013821693,0.156289573659772,-0.0643663885010445,0.0173420571267764,0.351082069371654,0.0242961976815924,0.065421686094966,0.0398861902133325,0.0486762779924452,-0.158593640073167,0.0261767921117858,-0.0422281391044582,0.346262081804505,-0.0830140381638904,-0.389852637161628,0.0260996742106915,-0.00230406641339524,0.0292858611769545,0.0105029169507853,0.000188059443019342,0.0176058815252568,0.0262457923390806,-0.435578140727993,0.621980225346625,0.102886103624812,0.101661687826736,0.0409523113723198,-0.0925969520840775,-0.106490350791744,0.0494122804169237,-0.0534359407301577,0.590796181446245,0.521850071976708,0.390204403026269,0.404053154528038,-0.0799198515006873,-0.50170741738914,0.507006905434512,-0.471788377655832,0.200156129926075,-0.0467537422476215,-0.0751040669221297,-0.0370463573291771,0.0381747139872931,-0.0108546828154257,-0.0652336266519466,0.596366258618264,-0.0436365555086534,-0.08311009730385,0.00924332456624563,-0.0550094165016073,-0.0376849476680629,0.501719593899839,0.018624649587081,0.0832697448885714,-0.0850678096351376,-0.0287676829994264,0.496236105248347,-0.0444388522691604,-0.0351671158446169,0.184798844043251,-0.0345785844941607,0.0799509692502517,0.071591118182507,-0.591084358866123,-0.0647492721152493,0.5873705231029,-0.547430215064238,-0.0305386888333279,0.0198057711248931,-0.48982584883809,0.109657596519141,0.0153234622419933,0.0187653559329372,0.315207920684915,0.0284416231018173,-0.157412518535355,-0.0595729021225011,-0.0126635711270578,0.0260915565368921,-0.0881775849979976,-0.0227321925295754,0.026294498381877,0.0163855245640809,0.153556623480642,-0.223497147990605,-0.0726585922871275,-0.0249401998030111,-0.0297850981156173,-0.235670952798433,0.189930566830103,-0.0393463649056726,0.0523535842235716,0.127615243909039,-0.0181808834193807,0.11276260674741,-0.172548656169393,-0.0285309175136106,-0.022334426513405,-0.0462490935264257,-0.0129179249061056,-0.0392638352220454,0.0109182712601877,-0.0331728739812319,-0.028911095236549,-0.0270196772412897,-0.0485978071457177,-0.0334894632594084,-0.0319633405851219,-0.0301273933608252,-0.0330456970917081,-0.0258169085733459,0.104243108094944,-0.0251512593217954,0.0981020878657012,-0.0314018681473304,0.233876946888766,-0.0388403632388436,-0.030579287545355,0.0662862183546016,0.231617527681268,-0.256634845385373,-0.450005952960786,0.329492320680586,0.397743016094641
