"","zr4s_JC","seqent","ddgent","rsa","hbe","hpshh","wcnSC","bfSC","vnfaces","varea","vvolume","veccentricity","vsphericity","mvsphericity"
"zr4s_JC",1,0.802684238014985,0.542700497208698,0.544185995345132,0.140013129111857,0.161930169410472,-0.499951051655453,0.289326851091072,-0.0643544536630732,0.567411741130171,0.562267360666294,0.538324157745923,-0.497184799646434,-0.535771993990206
"seqent",0.802684238014985,1,0.440295510245102,0.416732332832743,0.105087045978321,0.133298405168384,-0.359653838408978,0.18625320919697,-0.056061356577121,0.433363631586552,0.42759800287413,0.405796953371699,-0.390311097155014,-0.410591583453995
"ddgent",0.542700497208698,0.440295510245102,1,0.80600779242653,0.311648964218235,0.404755708543427,-0.613993026496181,0.37243798394584,0.0374244560898731,0.785387899305156,0.7781523684807,0.721951847537188,-0.668021951553684,-0.723354813050729
"rsa",0.544185995345132,0.416732332832743,0.80600779242653,1,0.440589350474687,0.463999395179215,-0.742264622358696,0.424995335547113,0.0273257772185951,0.926967829181605,0.914970077065253,0.870422388593193,-0.79746932124954,-0.872054917853516
"hbe",0.140013129111857,0.105087045978321,0.311648964218235,0.440589350474687,1,0.202285440345425,-0.259494729194815,0.174665023915896,-0.0303349211977689,0.346314433392417,0.331133019113334,0.335905021153372,-0.325554305671143,-0.372770294062722
"hpshh",0.161930169410472,0.133298405168384,0.404755708543427,0.463999395179215,0.202285440345425,1,-0.31357807312442,0.238590710832867,0.0227106088843276,0.434074282682976,0.415000443353991,0.427928545075555,-0.451829436047306,-0.484746955834109
"wcnSC",-0.499951051655453,-0.359653838408978,-0.613993026496181,-0.742264622358696,-0.259494729194815,-0.31357807312442,1,-0.376802743182523,0.127848178176107,-0.784138777497219,-0.77179715873118,-0.733731026893428,0.68891834551034,0.760782494221218
"bfSC",0.289326851091072,0.18625320919697,0.37243798394584,0.424995335547113,0.174665023915896,0.238590710832867,-0.376802743182523,1,-0.00774667742710855,0.416990524784914,0.413946694419386,0.37777619384411,-0.335982824689379,-0.375814192434423
"vnfaces",-0.0643544536630732,-0.056061356577121,0.0374244560898731,0.0273257772185951,-0.0303349211977689,0.0227106088843276,0.127848178176107,-0.00774667742710855,1,0.0658014858578012,0.109438445541792,0.0153434979940123,0.242993760746172,0.133551851052362
"varea",0.567411741130171,0.433363631586552,0.785387899305156,0.926967829181605,0.346314433392417,0.434074282682976,-0.784138777497219,0.416990524784914,0.0658014858578012,1,0.994431482282865,0.908295214319801,-0.806150112670761,-0.881294145211033
"vvolume",0.562267360666294,0.42759800287413,0.7781523684807,0.914970077065253,0.331133019113334,0.415000443353991,-0.77179715873118,0.413946694419386,0.109438445541792,0.994431482282865,1,0.903635998667946,-0.760466391754264,-0.841914901696098
"veccentricity",0.538324157745923,0.405796953371699,0.721951847537188,0.870422388593193,0.335905021153372,0.427928545075555,-0.733731026893428,0.37777619384411,0.0153434979940123,0.908295214319801,0.903635998667946,1,-0.787502684550765,-0.85308850380273
"vsphericity",-0.497184799646434,-0.390311097155014,-0.668021951553684,-0.79746932124954,-0.325554305671143,-0.451829436047306,0.68891834551034,-0.335982824689379,0.242993760746172,-0.806150112670761,-0.760466391754264,-0.787502684550765,1,0.918091250074505
"mvsphericity",-0.535771993990206,-0.410591583453995,-0.723354813050729,-0.872054917853516,-0.372770294062722,-0.484746955834109,0.760782494221218,-0.375814192434423,0.133551851052362,-0.881294145211033,-0.841914901696098,-0.85308850380273,0.918091250074505,1
