variable,mean,median,sd,min,q1,q3,max
r.bfN.VSCmodified_volume,0.461620917,0.476459356,0.101147404,0.089841347,0.403825213,0.525812081,0.723908893
r.bfN.VSCnfaces,-0.111487323,-0.110927206,0.054777928,-0.246868008,-0.14128208,-0.08003417,0.049156893
r.bfN.VSCvolume,0.461464885,0.474563066,0.10069281,0.093932436,0.402801067,0.52549877,0.723607025
r.bfN.wcnAA,-0.616904564,-0.640812823,0.132019544,-0.8759058,-0.713191559,-0.557074846,-0.135595378
r.bfN.wcnC,-0.635968895,-0.667725706,0.130033427,-0.902021075,-0.725095478,-0.574512924,-0.178300636
r.bfN.wcnCA,-0.644583091,-0.667610151,0.133885765,-0.905577011,-0.736589534,-0.584031389,-0.177559471
r.bfN.wcnCB,-0.607042796,-0.631772089,0.130922641,-0.877497355,-0.702212269,-0.550082308,-0.153056805
r.bfN.wcnN,-0.642125787,-0.667201627,0.136680069,-0.920798184,-0.7355899,-0.574025992,-0.180366467
r.bfN.wcnO,-0.600387531,-0.634773725,0.127097771,-0.877047194,-0.685094535,-0.520849342,-0.172736782
r.bfN.wcnSC,-0.582180868,-0.600687799,0.127329571,-0.845909436,-0.673774721,-0.525021083,-0.131034588
r.bfO.bfSC,0.760778091,0.787651287,0.133656938,0.040038644,0.690528013,0.852918988,0.985203467
r.bfO.ddgent,0.366823189,0.373435988,0.079325549,0.108711832,0.325946546,0.405030307,0.582214227
r.bfO.hbe_mean,0.329822953,0.333873042,0.114389623,0.008543485,0.255347683,0.405201232,0.69409256
r.bfO.hpshh,0.168369577,0.165964914,0.068400847,-0.048545514,0.128070238,0.209793396,0.372845801
r.bfO.hpskd,-0.15094484,-0.150800898,0.075720558,-0.372458723,-0.194812921,-0.101647722,0.091796477
r.bfO.hpsww,-0.154690267,-0.151622063,0.06704602,-0.386302757,-0.196473181,-0.112301575,0.104406075
r.bfO.resvol,-0.058749528,-0.056912003,0.0801059,-0.28821903,-0.111362239,-0.00173144,0.168132585
r.bfO.rsa,0.488671708,0.491614918,0.096891313,0.146716183,0.435667437,0.55828868,0.706769578
r.bfO.seqent,0.268982451,0.283617746,0.127634109,-0.084674763,0.184318481,0.359787589,0.540222036
r.bfO.sizeAA,-0.012241486,-0.004821423,0.087924592,-0.256808975,-0.066335944,0.043348236,0.259129214
r.bfO.sizeSC,-0.012241486,-0.004821423,0.087924592,-0.256808975,-0.066335944,0.043348236,0.259129214
r.bfO.VAAarea,0.484957512,0.495700536,0.097802481,0.150308937,0.430690543,0.54402907,0.717295998
r.bfO.VAAeccentricity,0.447047646,0.461361579,0.094063268,0.116753199,0.399777022,0.502990456,0.651741039
r.bfO.VAAedge_length_total,0.440303583,0.448287989,0.089591087,0.127615029,0.388208068,0.494466128,0.638811707
r.bfO.VAAfree_volume,0.46925782,0.472283293,0.092570465,0.148765946,0.414920575,0.527566772,0.699270914
r.bfO.VAAmodified_volume,0.46901714,0.475579026,0.096093079,0.139069753,0.413608049,0.529727698,0.702635843
r.bfO.VAAnfaces,-0.09071411,-0.086342198,0.063074158,-0.270516575,-0.125333543,-0.055715535,0.083265421
r.bfO.VAAvolume,0.468864524,0.475181802,0.095557596,0.139870842,0.41484623,0.528568827,0.703383796
r.bfO.VCAarea,0.485472367,0.490398041,0.099000102,0.153952551,0.428201872,0.54868564,0.707280788
r.bfO.VCAeccentricity,0.435055976,0.442472275,0.092875919,0.106692105,0.379273016,0.495077113,0.625367966
r.bfO.VCAedge_length_total,0.445078295,0.450236253,0.091710297,0.151456388,0.389521722,0.504901885,0.656291884
r.bfO.VCAfree_volume,0.464999661,0.470794754,0.093219541,0.152910186,0.413780665,0.523677637,0.685722485
r.bfO.VCAmodified_volume,0.471659002,0.4807168,0.097506412,0.146501778,0.416599699,0.530274474,0.691514734
r.bfO.VCAnfaces,-0.118284671,-0.116309647,0.062275365,-0.30742513,-0.166054905,-0.07681916,0.024559567
r.bfO.VCAvolume,0.47183908,0.479789125,0.097348299,0.148700784,0.414520209,0.53109888,0.694131582
r.bfO.VSCarea,0.469262014,0.480478919,0.09610118,0.126813586,0.415227818,0.532674211,0.719271447
r.bfO.VSCeccentricity,0.440959556,0.450864619,0.090424721,0.135461728,0.390136314,0.500338232,0.645472953
r.bfO.VSCedge_length_total,0.414348464,0.418491382,0.085830877,0.100910461,0.36661887,0.473841471,0.630584027
r.bfO.VSCfree_volume,0.4507082,0.45818045,0.088596192,0.122041541,0.402340285,0.510465454,0.683430086
r.bfO.VSCmodified_volume,0.459520138,0.470637591,0.094859964,0.120560227,0.408215551,0.521011382,0.704540693
r.bfO.VSCnfaces,-0.102599793,-0.100087483,0.057194802,-0.235904674,-0.140080657,-0.070571516,0.058247191
r.bfO.VSCvolume,0.459348028,0.470618968,0.09447582,0.121071214,0.406821338,0.519399632,0.703725175
r.bfO.wcnAA,-0.611300638,-0.632345536,0.129220139,-0.850133214,-0.701765248,-0.554077858,-0.138767614
r.bfO.wcnC,-0.650949896,-0.671040788,0.131417381,-0.897171832,-0.740807746,-0.590751965,-0.124971201
r.bfO.wcnCA,-0.630431875,-0.649891796,0.130852727,-0.874161853,-0.723024077,-0.579667007,-0.137726979
r.bfO.wcnCB,-0.60080749,-0.615957122,0.127321553,-0.848916661,-0.688076177,-0.550385506,-0.141815636
r.bfO.wcnN,-0.597549792,-0.625126848,0.133480649,-0.867374565,-0.688862432,-0.533020256,-0.096678461
r.bfO.wcnO,-0.635895954,-0.661277429,0.130081032,-0.890958038,-0.724900258,-0.570386075,-0.133229655
r.bfO.wcnSC,-0.569745356,-0.587882486,0.123159157,-0.812223776,-0.65860938,-0.511997417,-0.145820185
r.bfSC.ddgent,0.529498249,0.540282575,0.082052051,0.222791474,0.480465218,0.58559437,0.726420718
r.bfSC.hbe_mean,0.273239006,0.274970714,0.090000866,0.054370245,0.210006618,0.33634862,0.513554313
r.bfSC.hpshh,0.363061418,0.365013466,0.086770151,0.136048264,0.306164086,0.421407072,0.559938651
r.bfSC.hpskd,-0.359368159,-0.35652777,0.092428017,-0.594786078,-0.422970458,-0.298333927,-0.13676089
r.bfSC.hpsww,-0.336342153,-0.342063677,0.08542072,-0.643478407,-0.39087757,-0.280387061,-0.078201309
r.bfSC.resvol,0.061599869,0.056883798,0.091320499,-0.189676618,0.00389502,0.124175904,0.329753691
r.bfSC.rsa,0.624584747,0.636170306,0.090775847,0.230597039,0.582032424,0.693792909,0.784046861
r.bfSC.seqent,0.374258895,0.390842613,0.134725957,-0.040257295,0.280838561,0.480892525,0.673335312
r.bfSC.sizeAA,0.156267045,0.156085319,0.099628637,-0.097133499,0.097378522,0.221357129,0.494185825
r.bfSC.sizeSC,0.156267045,0.156085319,0.099628637,-0.097133499,0.097378522,0.221357129,0.494185825
r.bfSC.VAAarea,0.613156162,0.625633437,0.091600681,0.185176579,0.573553687,0.679700952,0.79407112
r.bfSC.VAAeccentricity,0.57786045,0.593657421,0.089873413,0.195283914,0.530570651,0.642821877,0.725796662
r.bfSC.VAAedge_length_total,0.572908883,0.580484179,0.087114816,0.177621475,0.523572201,0.634008597,0.738567766
r.bfSC.VAAfree_volume,0.588181768,0.598603288,0.084531591,0.196180394,0.542697335,0.640715078,0.769751149
r.bfSC.VAAmodified_volume,0.59997115,0.612763791,0.090527888,0.186145952,0.561381899,0.665058048,0.781509661
r.bfSC.VAAnfaces,-0.035626912,-0.033210857,0.070753137,-0.303584654,-0.085406692,0.014863998,0.174644622
r.bfSC.VAAvolume,0.600897543,0.611626899,0.090291851,0.186690832,0.560911284,0.666612463,0.782260179
r.bfSC.VCAarea,0.57362862,0.584206836,0.088321785,0.165491617,0.53037367,0.629177228,0.765432563
r.bfSC.VCAeccentricity,0.539469358,0.547412023,0.084587108,0.16306769,0.492614957,0.590864201,0.703876079
r.bfSC.VCAedge_length_total,0.536272665,0.544672343,0.084073619,0.160186288,0.495598747,0.589843756,0.728361747
r.bfSC.VCAfree_volume,0.5365731,0.547020338,0.080996015,0.168307712,0.494427087,0.588968576,0.696923818
r.bfSC.VCAmodified_volume,0.560635079,0.570548788,0.087118068,0.162719059,0.516475496,0.620247684,0.749615115
r.bfSC.VCAnfaces,-0.111054056,-0.107482498,0.064663828,-0.289165933,-0.153031689,-0.068117942,0.050742659
r.bfSC.VCAvolume,0.561472576,0.570282755,0.087028795,0.16324448,0.516334463,0.621775163,0.750204326
r.bfSC.VSCarea,0.617236922,0.633932033,0.091755071,0.197074896,0.569495651,0.684019583,0.797965045
r.bfSC.VSCeccentricity,0.574957417,0.59020099,0.088523762,0.203987819,0.530269603,0.640067098,0.740490326
r.bfSC.VSCedge_length_total,0.56693312,0.581772717,0.086305314,0.196499011,0.521025273,0.628148474,0.736209531
r.bfSC.VSCfree_volume,0.58704526,0.602496188,0.085299445,0.197405716,0.539661782,0.645488864,0.756215264
r.bfSC.VSCmodified_volume,0.60753188,0.622760956,0.091883095,0.18655956,0.565470586,0.673575034,0.785703992
r.bfSC.VSCnfaces,-0.046459128,-0.045564164,0.060147467,-0.212624709,-0.084424935,-0.007600834,0.094675803
r.bfSC.VSCvolume,0.608331572,0.621896064,0.091598425,0.192619211,0.565515729,0.674990761,0.785500706
r.bfSC.wcnAA,-0.684560323,-0.699695414,0.107250685,-0.871034357,-0.758957167,-0.639045231,-0.176541279
r.bfSC.wcnC,-0.613649325,-0.634929932,0.111944002,-0.813886183,-0.693299709,-0.556688852,-0.073885069
