variable,mean,median,sd,min,q1,q3,max
r.bfCA.seqent,0.297581775,0.314331315,0.132825682,-0.082517516,0.220604858,0.393669263,0.598876639
r.bfCA.sizeAA,0.003135302,0.009703307,0.096571732,-0.303122653,-0.06047258,0.059594155,0.275856581
r.bfCA.sizeSC,0.003135302,0.009703307,0.096571732,-0.303122653,-0.06047258,0.059594155,0.275856581
r.bfCA.VAAarea,0.514137358,0.522950426,0.105308921,0.143743873,0.456172891,0.583833286,0.768674811
r.bfCA.VAAeccentricity,0.477401015,0.487771119,0.101853148,0.109381534,0.430186499,0.536232152,0.705467947
r.bfCA.VAAedge_length_total,0.467884829,0.475507938,0.096214851,0.126145705,0.420043358,0.528505438,0.69277965
r.bfCA.VAAfree_volume,0.498358682,0.510125868,0.101295477,0.114341262,0.438913991,0.562039751,0.751308672
r.bfCA.VAAmodified_volume,0.497569018,0.507373626,0.10274053,0.137260163,0.447884834,0.566526102,0.751718826
r.bfCA.VAAnfaces,-0.095353075,-0.091187501,0.063888701,-0.287974459,-0.135617746,-0.058663302,0.099731818
r.bfCA.VAAvolume,0.497494243,0.507914019,0.10227763,0.138826106,0.446986139,0.565534991,0.75270701
r.bfCA.VCAarea,0.51480561,0.526112762,0.10756211,0.13474157,0.46273217,0.587296904,0.750022373
r.bfCA.VCAeccentricity,0.465776686,0.481040766,0.100267996,0.126542924,0.40505591,0.526657376,0.687202947
r.bfCA.VCAedge_length_total,0.473763916,0.482602826,0.099051517,0.122921598,0.417270746,0.53921774,0.693276427
r.bfCA.VCAfree_volume,0.492955524,0.506618652,0.102886949,0.120376687,0.43716131,0.557460801,0.70738601
r.bfCA.VCAmodified_volume,0.500253632,0.513713823,0.105814632,0.129765897,0.440701507,0.574888197,0.735352946
r.bfCA.VCAnfaces,-0.126537127,-0.124067296,0.061316555,-0.316016417,-0.164558765,-0.087959505,0.024850215
r.bfCA.VCAvolume,0.500627057,0.513761206,0.105527104,0.131298333,0.444794392,0.574101511,0.738031632
r.bfCA.VSCarea,0.507344346,0.523626982,0.104597471,0.133696344,0.452389767,0.577200286,0.769473119
r.bfCA.VSCeccentricity,0.476789985,0.490153548,0.098697518,0.135605163,0.427495275,0.539932299,0.701129625
r.bfCA.VSCedge_length_total,0.451272649,0.458345596,0.093635771,0.112157203,0.403955949,0.513824458,0.681357455
r.bfCA.VSCfree_volume,0.488592557,0.499021914,0.098737062,0.10653256,0.433268389,0.555961319,0.733307236
r.bfCA.VSCmodified_volume,0.496929527,0.512410614,0.103418795,0.127180631,0.442396919,0.564322039,0.753940166
r.bfCA.VSCnfaces,-0.100768477,-0.100222275,0.055534949,-0.260042143,-0.13428255,-0.072864424,0.06011582
r.bfCA.VSCvolume,0.496995446,0.513001119,0.103027852,0.12714518,0.441327576,0.563679504,0.753358951
r.bfCA.wcnAA,-0.642574579,-0.664528096,0.133069121,-0.884742467,-0.736532705,-0.572762812,-0.218847437
r.bfCA.wcnC,-0.655090899,-0.681033149,0.134132359,-0.908683747,-0.74945109,-0.572783109,-0.229157167
r.bfCA.wcnCA,-0.657472821,-0.682447701,0.136040724,-0.908091625,-0.751600465,-0.590510677,-0.226751571
r.bfCA.wcnCB,-0.632480465,-0.653506235,0.132234434,-0.887406219,-0.724564583,-0.55977427,-0.212080082
