"","contact_orderSC","mean.betas","mean.bfSC","mean.BSS","mean.ddgent","mean.ESS","mean.GSS","mean.hbdif","mean.hbe","mean.helix","mean.hpshh","mean.HSS","mean.ISS","mean.LSS","mean.nhbas","mean.nhbon","mean.nhbpa.dif","mean.nhbps","mean.r4sJC","mean.rsa","mean.seqent","mean.SSS","mean.TSS","mean.varea","mean.veccentricity","mean.vedge","mean.vnfaces","mean.vnfacescc","mean.vsphericity","mean.vsphericitycc","mean.vsphericitym","mean.vvolume","mean.wcnSC","median.bfSC","median.ddgent","median.hbe","median.hpshh","median.r4sJC","median.rsa","median.seqent","median.varea","median.veccentricity","median.vedge","median.vnfaces","median.vnfacescc","median.vsphericity","median.vsphericitycc","median.vsphericitym","median.vvolume","median.wcnSC","natoms","nchain","nres","nseq","r.bfSC.ddgent","r.bfSC.hbe","r.bfSC.hpshh","r.bfSC.r4sJC","r.bfSC.rsa","r.bfSC.seqent","r.bfSC.varea","r.bfSC.veccentricity","r.bfSC.vedge","r.bfSC.vnfaces","r.bfSC.vsphericity","r.bfSC.vsphericitym","r.bfSC.vvolume","r.bfSC.wcnSC","r.ddgent.hbe","r.ddgent.hpshh","r.ddgent.r4sJC","r.ddgent.rsa","r.ddgent.seqent","r.ddgent.varea","r.ddgent.veccentricity","r.ddgent.vedge","r.ddgent.vnfaces","r.ddgent.vsphericity","r.ddgent.vsphericitym","r.ddgent.vvolume","r.ddgent.wcnSC","r.hbe.hpshh","r.hbe.r4sJC","r.hbe.rsa","r.hbe.seqent","r.hbe.varea","r.hbe.veccentricity","r.hbe.vedge","r.hbe.vnfaces","r.hbe.vsphericity","r.hbe.vsphericitym","r.hbe.vvolume","r.hbe.wcnSC","r.hpshh.r4sJC","r.hpshh.rsa","r.hpshh.seqent","r.hpshh.varea","r.hpshh.veccentricity","r.hpshh.vedge","r.hpshh.vnfaces","r.hpshh.vsphericity","r.hpshh.vsphericitym","r.hpshh.vvolume","r.hpshh.wcnSC","r.r4sJC.rsa","r.r4sJC.seqent","r.r4sJC.varea","r.r4sJC.veccentricity","r.r4sJC.vedge","r.r4sJC.vnfaces","r.r4sJC.vsphericity","r.r4sJC.vsphericitym","r.r4sJC.vvolume","r.r4sJC.wcnSC","r.rsa.seqent","r.rsa.varea","r.rsa.veccentricity","r.rsa.vedge","r.rsa.vnfaces","r.rsa.vsphericity","r.rsa.vsphericitym","r.rsa.vvolume","r.rsa.wcnSC","r.seqent.varea","r.seqent.veccentricity","r.seqent.vedge","r.seqent.vnfaces","r.seqent.vsphericity","r.seqent.vsphericitym","r.seqent.vvolume","r.seqent.wcnSC","r.varea.veccentricity","r.varea.vedge","r.varea.vnfaces","r.varea.vsphericity","r.varea.vsphericitym","r.varea.vvolume","r.varea.wcnSC","r.veccentricity.vedge","r.veccentricity.vnfaces","r.veccentricity.vsphericity","r.veccentricity.vsphericitym","r.veccentricity.vvolume","r.veccentricity.wcnSC","r.vedge.vnfaces","r.vedge.vsphericity","r.vedge.vsphericitym","r.vedge.vvolume","r.vedge.wcnSC","r.vnfaces.vsphericity","r.vnfaces.vsphericitym","r.vnfaces.vvolume","r.vnfaces.wcnSC","r.vsphericity.vsphericitym","r.vsphericity.vvolume","r.vsphericity.wcnSC","r.vsphericitym.vvolume","r.vsphericitym.wcnSC","r.vvolume.wcnSC","sd.bfSC","sd.ddgent","sd.hbe","sd.hpshh","sd.r4sJC","sd.rsa","sd.seqent","sd.varea","sd.veccentricity","sd.vedge","sd.vnfaces","sd.vnfacescc","sd.vsphericity","sd.vsphericitycc","sd.vsphericitym","sd.vvolume","sd.wcnSC","sres","sum.betas","sum.bfSC","sum.BSS","sum.ddgent","sum.ESS","sum.GSS","sum.hbdif","sum.hbe","sum.helix","sum.hpshh","sum.HSS","sum.ISS","sum.LSS","sum.nhbas","sum.nhbon","sum.nhbpa.dif","sum.nhbps","sum.r4sJC","sum.rsa","sum.seqent","sum.SSS","sum.TSS","sum.varea","sum.veccentricity","sum.vedge","sum.vnfaces","sum.vnfacescc","sum.vsphericity","sum.vsphericitycc","sum.vsphericitym","sum.vvolume","sum.wcnSC"
"median.vedge",2.929256837092e-11,0.53899661349134,0.0402274683619872,0.00493894126751515,0,0.43669935671993,0.858214425584247,0.0334622495942831,0.424770037952193,0.900828863115581,2.02208536090875e-05,0.815383678640656,0.522625555779613,0.602837885132716,0.117655016224367,0.0943334928097772,0.0113113491959917,0.000812530042045179,0.000548813295804917,0,0.384921111694566,0.0206748938056385,0.041567633075454,0,0,0,0,0,0,0,0,0,0,0.0416209614002714,0,0.954222517277247,0.0951329649335038,0.0183894011385872,0,0.619462343020272,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0.000326916614227457,1,1,1,1,1,1,1,1,1,1,1,1,0.569371850484546,1,1,1,1,0.0214571758241511,1,1,1,0.000157339218085362,1,4.01470160129591e-05,1,1,1,1,1,1,0.329953789616846,0.202519911532956,1,1,0.1224799264882,0.00687263465642296,1,0.0453459627056978,1,4.2410199503351e-06,0.0100389850804876,2.0442134118781e-07,1,1,1,1.46238867015924e-07,1.29439792218022e-10,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,4.16480183673684e-09,0,1.68681424383976e-09,1,1,1,1,1,1,1,1,0,0,1,0.443798217366655,0,0,0,0,1,1,0,0,0,0.00187641544822092,1,0,0,0,1,0.0062424619476209,1,1,0,1,0.000445887348420548,0,0,0,1,0.0158448339173036,1,1,1,0,1,0,0,0,1,1,1,0.000156057349001593,0,0,0,1,1.37674538436272e-09,4.31569037173674e-07,0,0,7.06010929718559e-08,1.10087250426716e-08,0,0,0,0,1.76268999396711e-10,1,0,1,0,1,7.93853871527972e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"median.vnfaces",2.95319324550292e-14,0.655454531995428,0.608939730452388,0.0526716032904126,1.00155301945293e-05,0.558010356734769,0.695330026188178,0.0224500326109338,0.442219372556453,0.78507531799661,0.0948438114685568,0.905032296487494,0.658297608536229,0.280134256992976,0.401102977461054,0.826493350448562,0.288953940663695,0.293295999202443,0.000398430895065083,1.77635683940025e-15,0.992502289913051,0.100544762030934,0.033745195316139,0,0,0,0,0,0,1.12135562568838e-06,0,0,0,0.592189742259895,4.04896116634745e-11,0.294772941903973,0.487164235485074,0.00853348164588064,2.22044604925031e-16,0.671170256324982,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0.592136901911511,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.736140106997853,1,1,1,0.00400676420648383,1,1,1,1,1,1,1,0.00582499195487696,1,1,1,1,0.0952907822928872,1,0.299823794854913,1,1,0.101274830042072,1,1,1,0.657103329871998,5.1909038942588e-05,1,1,1,1,1,1,1,1,1,1,1,8.89022485184299e-06,0.00689536139555647,8.25246537772273e-11,1,1.58282276174759e-11,8.65058691346121e-10,2.3660980263962e-07,1.19074750060122e-09,1,1,1,1,1,1,1,1,2.34732233650448e-10,2.83786700805422e-08,0.00645199461957624,4.72635264259225e-11,0,0.00118304369794675,0,1.0991474397315e-10,1,0.000322293763309389,0,2.54572185554025e-09,0,1.06313676528913e-06,1,0,7.45122713530222e-07,0,0.00343504950534301,1,0.000831252265165006,1,0,0.000170903257556088,1.06480800710074e-06,0,0,0,1,1,1,1,1,0.0359173165175752,1,0,1.97530880541308e-11,0,0.000415113519549593,1,1,0.00238989689420022,0,0,0,1,2.64574475128398e-06,2.97247751745999e-07,2.21298290892236e-05,0,2.79328119359157e-05,0.000297463759828087,0,0,3.20887856553043e-06,0,5.75280931984778e-05,1,0,1,0,1,0.0329501661017444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"median.vnfacescc",2.64214872203183e-10,0.78051051780994,0.907053034955875,0.0305121865885833,1.61610146243163e-06,0.942716495495671,0.767250943485089,0.077338078070047,0.610160569786056,0.425999390660743,0.294095173001368,0.529206624283194,0.279037001608929,0.30278631628452,0.826279883270314,0.316346878020174,0.993119324309081,0.665368606555541,0.00196219460107283,0,0.806528694773256,0.0943587592229949,0.340037840715353,0,0,0,0,0,0,4.61734650514245e-10,0,0,0,0.775482981147618,4.65560923146313e-11,0.363361934555009,0.485279173694792,0.0258301690206357,0,0.98206143866185,0,0,0,0,0,0,0.0106492693043823,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0587828620233422,1,5.28162249198161e-05,1,1,1,1,1,1,1,1,1,1,1,0.630233062397023,1,1,1,1,1,1,1,1,1,1,0.000464097451912782,1,1,1,1,1,1,1,1,1,1,1,2.49343791947076e-06,3.37307067477255e-06,1.87998949741086e-10,1,6.80516312634438e-07,7.07793823551128e-11,1.34336733736973e-07,5.51003687121465e-11,1,1,1,1,1,1,1,1,0,2.8632147541785e-07,1,5.24347339179165e-05,0,0.0182007015936383,0,0,1,1,0,0,0,0.0902434677411965,1,0,3.26178313225789e-06,0,1,1,1,1,0,1,0.125509905272613,0,0,0,1,1,1,1,1,1.14846858956241e-06,1,0,0,0,0.000963309323287476,1,0.353943078070497,1.80440707016061e-05,0,0,0,1,1.33827109394247e-08,4.91095781818274e-08,6.15856842856033e-07,0,1.94044696755213e-07,4.66581494507068e-06,0,0,4.37693042698584e-07,0,9.04643019339346e-06,1,0,0.328791046639964,0,1,0.0842315211228746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"median.vsphericity",2.22044604925031e-16,0.316835806849616,0.664273093728206,0.180322069048164,4.09938749612593e-12,0.29008171109806,0.904386320681318,0.252984918643745,0.622880130396749,0.355588123018249,0.101592020956839,0.261225062217217,0.816962183131889,0.59071187355265,0.915670374757773,0.227368555482668,0.671174007061456,0.419593186583275,5.7986052351966e-05,0,0.324168521219161,0.115301874927251,0.650160404623091,0,0,0,0,0,0,0,0,0,0,0.723736154111601,0,0.300362360167521,0.672041145806778,0.00399135802161554,0,0.504182702326762,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0.0687292396366153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.130136821763867,0.977547444182424,0.185150142560444,0.495482224529381,2.18824691700092e-07,1,3.94062560360453e-11,1,1,0.606246089230969,1,0.0274730994793915,0.163356172794731,0.00277660021408277,0.000115911933361579,1,1,0.00492038746718215,2.08764656228766e-07,1,1,1,1,1,1,1,1,1,1,1.10230564676073e-06,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0.00838224796017606,0.000285515962672456,0,1.91893834156076e-10,0,0,1,1,0,0,0,1.18784981850695e-11,1,0,0,0,1,0.220086283482873,0.000479531661532473,1,0,1,0.000162413993379573,0,0,0,1,1,1,1,1,0,1,0,0,0,0.00467279808164767,1,6.1107944127059e-07,0,0,0,0,1,0,0,2.36930475239205e-11,0,1.06019193424345e-10,0,0,0,0,0,0,1,0,0.000818471096186713,0,1,1.97820968050877e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"median.vsphericitycc",0.000791132316084298,0.0623281265460918,0.272525700065152,0.703460683130518,3.69095420893473e-10,0.0809004847096411,0.553019971605635,0.472220026913282,0.281275044446108,0.0111732140573544,3.7052260294379e-05,0.0135467030629497,0.0440395750419751,0.306946751644067,0.0294893187810981,0.00747603557903576,0.00166926128260703,0.000259659995302863,0.0950955598925853,0,0.0814657636729197,0.950837707664595,0.659413425951056,0,2.22044604925031e-16,0,1.45697898190633e-09,9.31033028450656e-12,0,0,4.66484628702801e-11,0,0,0.34807110936115,0,0.508795852526023,0.0407164127158484,0.326275335669786,0,0.194624699520944,0,0,0,7.40641309602275e-05,6.69092064864429e-07,0,0,0,0,0,8.7042737462184e-09,1,1.26432198044313e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.586000605300773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.85891999793242e-06,1.31132538161438e-08,0,1,3.55344284574954e-06,0.00499073371143055,4.66243932351063e-09,0.324035660133131,1,1,1,1,1,1,1,1,0,0,1,1,0,0.0876359584272346,1,0,1,1,0,0,0.445420537691002,1,1,0,0,0.00367446820874995,1,6.17510229616869e-07,1,0.136946418326989,3.97637478499746e-12,1,0.000482435403382775,0,0.000109673583371439,1,1,1,1,1,1,0.0124068368690229,1,1.32648980688543e-09,2.64620632073331e-08,3.16409298761755e-09,1,1,1,0.0160642978138927,0.00204939372650825,9.42819156080077e-11,0,1,1,0.138338893398517,0.505669932377825,1.3177361868344e-08,1,0.00808583710573796,5.51003687121465e-11,1.72371450446462e-10,7.00651252572015e-08,4.91964239124343e-07,9.72445080016371e-07,1,6.02042774278111e-06,1,7.86259946039536e-11,1,5.65348294023771e-06,2.50309994953568e-10,1.78019962822074e-05,1.11336539987406e-09,0.000298154019530816,2.90090255372633e-07,5.34123412165854e-09,2.44171449281794e-07,3.00157898536213e-09,1.80320824938462e-09,8.28345037007239e-09,4.33441282865488e-10,2.02745020771999e-09,1.35162172565373e-08,6.17828699311929e-09,7.93853871527972e-12
"median.vsphericitym",0,0.343528192480171,0.683791586802901,0.198720109263197,3.09841041712389e-12,0.326060936358091,0.929051829887771,0.294684533538144,0.617876375508027,0.367511471871713,0.135200815062007,0.279418226627783,0.704387785525562,0.657169993114417,0.98233704794781,0.200931543630878,0.798892045824674,0.49999084895694,2.80896674564879e-05,0,0.442196862485896,0.119110575282956,0.644048339788882,0,0,0,0,0,0,0,0,0,0,0.738589128680504,0,0.259418616130003,0.714894439801792,0.00184826862085474,0,0.654242194858372,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0.0310572472877979,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.250550453494492,1,0.0366129267524768,0.0656824405990788,8.81687395537512e-07,1,1.97530880541308e-11,1,1,0.665699863398665,1,0.0226933422255691,0.153272898725596,0.00310852680979101,5.15177185356208e-06,1,0.930643763529333,0.00421846319558528,5.65641320449117e-08,1,1,1,1,1,1,1,1,1,1,3.11968848087929e-07,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0.000802005218641932,2.92601886719979e-06,0,8.64446292325738e-11,0,0,1,1,0,0,0,0,1,0,0,0,0.0827074785550845,1,4.64368574584206e-05,1,0,1,1.61202912165592e-05,0,0,0,1,1,1,1,1,0,1,0,0,0,0.000697755192486937,1,1.74591333390595e-06,0,0,0,0,1,0,0,1.18784981850695e-11,0,1.58282276174759e-11,0,0,0,0,0,0,1,0,0.000203199924939668,0,1,3.39244374814029e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"median.vvolume",5.02398123103376e-12,0.975444993037835,0.0385644427114507,0.00778696189859618,0,0.843333359013537,0.736222005616566,0.00881647256540652,0.488444343022079,0.500650036788597,2.25887024303262e-05,0.607219593690716,0.587585469124776,0.529564736962401,0.357214031847794,0.152293915209048,0.0616342324535155,0.00635914489137268,0.00162877429517172,0,0.361061268552671,0.00121796482957848,0.0481355780306223,0,0,0,0,0,0,0,0,0,0,0.0382628625739188,0,0.934354839949998,0.114039429378912,0.0436750173750478,0,0.608900703374962,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2.05449467358676e-05,1,1,1,1,1,1,1,1,1,1,1,1,0.0569088174546968,1,1,1,1,3.2767222850616e-05,0.0378914297704704,1,1,8.8134579900867e-07,1,1.99584682114562e-07,1,1,1,1,0.330512259895102,1,0.074772259888114,0.213259894835508,1,1,0.0275415780710127,0.0030516234344069,0.680697209533861,0.00540864588301826,1,2.32755841267362e-07,0.00037527809690463,5.05540009854144e-09,1,1,0.918908719603371,4.81595652246369e-09,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,3.98387989264393e-10,0,6.29469809609873e-11,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0.000191165253897285,1,0,0,0,1,0.000296306503784649,1,1,0,1,0.00194014476644888,0,0,0,1,0.00147488405858454,1,1,1,0,1,0,0,0,0.448156655350618,1,1,0.000108477889926739,0,0,0,1,0,3.00590992097227e-08,0,0,7.07793823551128e-11,1.58223567581217e-09,0,0,2.36930475239205e-11,0,3.96014820935875e-09,1,0,0.348395845329282,0,1,5.11761744093064e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"median.wcnSC",0,0.847329081586578,0.490929914410149,0.0341719915352068,0,0.737002064952589,0.858370195682554,0.00719477447629302,0.573112892990813,0.530414786895345,0.00958386653247056,0.663990592715496,0.904511920699868,0.257753170555494,0.870862774948368,0.395534304291609,0.57921304990105,0.362511333710361,0.000553531232581284,0,0.405147004677989,0.000767770920636401,0.12213793574091,0,0,0,0,0,0,0,0,0,0,0.41080105832602,0,0.215426309133707,0.536080186970191,0.0299174905534578,0,0.601219614880399,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0.00024486503175325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000160940895890249,0.0594350188110058,0.0151102209618919,1,1.58282276174759e-11,1,0,1,1,1,1,0.0141354522865804,0.50403150340345,0.00625229434965391,9.66123864110102e-06,1,1,0.00225109685065439,5.10693407562712e-07,1,0.222839017135286,1,0.000242045642618649,0.00466380949923462,5.50888871719835e-06,1,1,0.778992908639029,1.29381799052197e-05,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0.0159120085174258,1,1,1,1,0,0,2.18738850112921e-05,5.38511339827075e-05,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.1245328168233,1,5.8122762047752e-07,1,0,1,0.231763932481276,0,0,0,1,1,1,1,1,0,1,0,0,0,1.37237998742989e-10,0.667799560745181,0.00141272665949987,5.55379076061513e-09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8.35486045711598e-05,0,1,1.91600202370523e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"natoms",0,0.61556629867522,0.222158606521571,0.18576755038431,2.86825918571765e-09,0.555051829293544,0.863498658902609,0.052032797916949,0.134636455479438,0.953722645588864,0.81371224367428,0.90079859508467,0.923260074543395,0.274164155037766,0.504291574103888,0.694649049630859,0.477578104050737,0.46281237538979,2.68510985934611e-05,0,0.786079357818991,0.00665836727445246,0.632191526231872,0,0,0,0,0,0,0,0,0,0,0.272164726924531,0,0.0458259553734002,0.537601123894518,0.00127957663975842,0,0.956585525319887,0,0,0,0,0,0,5.00044450291171e-13,0,0,0,0,1,0,1,1,1,0.0253594296966408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0351864103645028,0.246086512682997,6.88603851939362e-07,1,1.53576040773373e-09,1,0,1,1,0.0256233382615179,1,0.00151334578485596,0.0660617398847438,0.00045712973702039,5.78307801646361e-08,1,0.0308204421939609,0.000403672702531388,2.26933583036271e-10,1,1,1,1,1,1,1,1,1,1,6.29469809609873e-11,1,1,1,1,1,0.18503807612279,1,1,1,1,1,0,0,0,0.00143802686167849,0,0,0,0,1,1,1,0.000565740089596645,1,1,1,1,0,0,0,1.87998949741086e-10,0,0,0,0,0.000980637538221973,1,0,0,0,0,1,0,0,0,1.89013817930572e-07,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0.00102052246495887,6.55201054211574e-06,2.36930475239205e-11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8.58252331426002e-08,0,1,0.000338489471984449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nchain",0.487428104029366,0.266587269792168,0.18368785804186,0.776632092385281,0.0032054219779325,0.271013607522316,0.221638920071294,0.367174347311693,0.282172361438297,0.876504087875662,0.214793881179466,0.929198440549112,0.97452574826221,0.0170089940537494,0.85919626423822,0.283482140316526,0.938504303207073,0.992957224576642,0.419457571609404,0.036993810766055,0.0883714445482076,0.19146976582468,0.681930325553512,0.528215991789762,0.890879351214007,0.66691122924613,0.744675858692949,0.854580581150085,0.999438851498289,0.571296459449752,0.822818424237997,0.466785114026178,0.371410005631462,0.164788632456909,0.0108486259832419,0.382886671605424,0.521605383949042,0.75310461002325,0.0534424557634772,0.062594485636293,0.212084073852754,0.27489201156782,0.150509673377395,0.586733156258338,0.930480909119543,0.442735093362199,0.0808436586800627,0.461316153668119,0.15941623651971,0.362411428114112,0.547080593904721,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nres",0,0.696262852751467,0.359240445381262,0.149134331583728,1.76262116013959e-10,0.627227043726519,0.919950505425424,0.0369978305171643,0.178197260318975,0.849847322954233,0.351561488107686,0.979324043269934,0.896438196395406,0.250829226130035,0.576864141162028,0.630574632433613,0.603565637096326,0.644102578700787,5.83745943814051e-05,0,0.772596409462199,0.00398133481483409,0.539685204565326,0,0,0,0,0,0,0,0,0,0,0.431302340423562,0,0.0608870666067003,0.766832821305656,0.00232667056012836,0,0.945821462780818,0,0,0,0,0,0,7.21644966006352e-14,0,0,0,0,0.54166852721627,0,1,1,1,0.00843640075510521,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00733516052781535,0.0977514067024066,1.02992216088893e-06,1,7.86259946039536e-11,1,0,1,1,0.0542264684136096,1,0.00189622222213526,0.0875167001155202,0.000665285499010793,5.56686501340664e-08,1,0.0597430722519912,0.000496679311337012,4.91846563477338e-10,1,1,1,1,1,0.244342351967623,1,1,1,0.5469052002952,0,1,1,1,1,1,0.164023414115163,1,1,1,1,1,0,0,0,0.00385975395637006,0,0,0,0,1,1,1,0.000432144629935127,1,1,1,1,0,0,7.93853871527972e-12,3.28252092174353e-10,0,0,0,0,0.00246071747225418,1,0,0,0,0,1,0,0,0,9.4578311227167e-07,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0.00162217414001398,2.6197590194954e-05,1.17745813099646e-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.79926276988596e-07,0,1,5.95421808502472e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nseq",0.537739120006078,0.135836892340162,0.431518202595518,0.782013703557396,0.850484361413003,0.15062861301826,0.843649116745038,0.601304025356637,0.999584445469289,0.107845573600697,0.106158605068674,0.168543583189495,0.248373185988612,0.648996473475687,0.0311807221189004,0.963420100062466,0.0295117795721396,0.0303547792280952,0.417110180421296,0.899593485159942,0.00866815658312947,0.309407602499401,0.687894577644735,0.919104942267443,0.755011667522994,0.897037847584662,0.592571921877181,0.492741943742432,0.964653729302738,0.687232451927354,0.723816241747228,0.874298991822724,0.719178978600288,0.271368840634447,0.532227145326519,0.678862692335173,0.96503404387944,0.305075399250561,0.875922228107747,0.00895065954079688,0.814593853457454,0.678620231727194,0.880012952480567,0.566479932927661,0.766508689130444,0.589136313969775,0.876480574470145,0.558384312188151,0.997114870370365,0.69020367374101,0.638762640517608,0.356907127212266,0.666826380634828,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0152690940577167,1,0.000259001487652899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"r.bfSC.ddgent",0.000368292346331511,0.102587485136967,1.40387398481767e-05,0.192486247071735,0.013542294310174,0.142195472276612,0.0805100205635525,0.248004404761405,0.682806367511419,0.0476596088976438,0.0408671207287803,0.016789833360775,0.421274794076236,0.076891723254578,0.538443352095092,0.147586353483771,0.483854678687741,0.943977647566906,0.0132684681342952,0.85174107307522,0.00649841601120849,0.381627433614206,0.159965008596826,0.270771844465891,0.163096748778706,0.337724143104023,0.033092762756711,0.0301037815809138,0.145949629207863,0.119089716133604,0.0658166153681075,0.293851108842964,0.151544110948151,5.37831932700961e-06,0.290012791819045,0.623158032836167,0.00460716976116204,0.00193347227428275,0.835744111028598,0.00498116940893678,0.621223626237199,0.561709441308679,0.78905981911691,0.177860396753015,0.609220569785368,0.218267294386045,0.700480868873498,0.160722514202555,0.64931095680842,0.114209596697722,0.0062767141426141,0.28435599543799,0.00605447826203687,0.948625257973598,0,0.0158441750697569,0.197313150242733,1.19056669634077e-06,0,0.00145893683276199,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0074316024367338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00261921085347105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89987533867628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.33155486636838e-08,1,0.00714707151616478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"r.bfSC.hbe",0.0341811301261927,0.0252709784800342,0.215826745732192,0.78388780148634,0.483068351757885,0.0169396043474648,0.373117606119782,0.238509524285126,0.17346266469626,0.0237941589565804,0.41873650700741,0.0329933599231591,0.889287384838865,0.0200004053620344,0.434682350518007,0.275720998049869,0.75645199837546,0.604619314258761,0.333254358839479,0.233488292260043,0.165572576381688,0.251477364704949,0.744156950637374,0.309207430827745,0.502131690207994,0.376819264517616,0.162163350599787,0.0648073861209451,0.221422709456739,0.130082495587061,0.196178937001705,0.316854935510321,0.111500528152899,0.241983299222849,0.693882272021717,0.114921125819265,0.355337640390934,0.0540632278607998,0.356650796161017,0.175066354720153,0.214750683131189,0.236526792881041,0.341702502662815,0.89733365280334,0.479034959207584,0.176194239937816,0.133824944151792,0.107698394908213,0.26204522741124,0.119184522168175,0.02791592775846,0.15235899741319,0.033002952897446,0.0427269247261857,1.00057941709863e-06,0,1,1,0.000322658091440609,1,1,1,1,1,1,0.141044449454133,1,1,2.73729927613431e-10,1,1,1,1,1,1,1,1,1,1,1,1,1,9.81992265280951e-11,0,0.00130727771053873,0,0,0,1,7.93853871527972e-12,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.71204183364335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.257535842296579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
