"","mean.betas","mean.bfSC","mean.BSS","mean.ddgent","mean.ESS","mean.GSS","mean.hbdif","mean.hbe","mean.helix","mean.hpshh","mean.HSS","mean.ISS","mean.LSS","mean.mvsphericity","mean.rsa","mean.seqent","mean.SSS","mean.TSS","mean.varea","mean.vccnfaces","mean.vccsphericity","mean.veccentricity","mean.vedge","mean.vnfaces","mean.vsphericity","mean.vvolume","mean.wcnSC","median.bfSC","median.ddgent","median.hbe","median.hpshh","median.mvsphericity","median.rsa","median.seqent","median.varea","median.vccnfaces","median.vccsphericity","median.veccentricity","median.vedge","median.vnfaces","median.vsphericity","median.vvolume","median.wcnSC","r.bfSC.ddgent","r.bfSC.hbe","r.bfSC.hpshh","r.bfSC.mvsphericity","r.bfSC.rsa","r.bfSC.seqent","r.bfSC.varea","r.bfSC.veccentricity","r.bfSC.vedge","r.bfSC.vnfaces","r.bfSC.vsphericity","r.bfSC.vvolume","r.bfSC.wcnSC","r.ddgent.hbe","r.ddgent.hpshh","r.ddgent.mvsphericity","r.ddgent.rsa","r.ddgent.seqent","r.ddgent.varea","r.ddgent.veccentricity","r.ddgent.vedge","r.ddgent.vnfaces","r.ddgent.vsphericity","r.ddgent.vvolume","r.ddgent.wcnSC","r.hbe.hpshh","r.hbe.mvsphericity","r.hbe.rsa","r.hbe.seqent","r.hbe.varea","r.hbe.veccentricity","r.hbe.vedge","r.hbe.vnfaces","r.hbe.vsphericity","r.hbe.vvolume","r.hbe.wcnSC","r.hpshh.mvsphericity","r.hpshh.rsa","r.hpshh.seqent","r.hpshh.varea","r.hpshh.veccentricity","r.hpshh.vedge","r.hpshh.vnfaces","r.hpshh.vsphericity","r.hpshh.vvolume","r.hpshh.wcnSC","r.mvsphericity.rsa","r.mvsphericity.seqent","r.mvsphericity.varea","r.mvsphericity.veccentricity","r.mvsphericity.vedge","r.mvsphericity.vnfaces","r.mvsphericity.vsphericity","r.mvsphericity.vvolume","r.mvsphericity.wcnSC","r.rsa.seqent","r.rsa.varea","r.rsa.veccentricity","r.rsa.vedge","r.rsa.vnfaces","r.rsa.vsphericity","r.rsa.vvolume","r.rsa.wcnSC","r.seqent.varea","r.seqent.veccentricity","r.seqent.vedge","r.seqent.vnfaces","r.seqent.vsphericity","r.seqent.vvolume","r.seqent.wcnSC","r.varea.veccentricity","r.varea.vedge","r.varea.vnfaces","r.varea.vsphericity","r.varea.vvolume","r.varea.wcnSC","r.veccentricity.vedge","r.veccentricity.vnfaces","r.veccentricity.vsphericity","r.veccentricity.vvolume","r.veccentricity.wcnSC","r.vedge.vnfaces","r.vedge.vsphericity","r.vedge.vvolume","r.vedge.wcnSC","r.vnfaces.vsphericity","r.vnfaces.vvolume","r.vnfaces.wcnSC","r.vsphericity.vvolume","r.vsphericity.wcnSC","r.vvolume.wcnSC","sd.bfSC","sd.ddgent","sd.hbe","sd.hpshh","sd.mvsphericity","sd.rsa","sd.seqent","sd.varea","sd.vccnfaces","sd.vccsphericity","sd.veccentricity","sd.vedge","sd.vnfaces","sd.vsphericity","sd.vvolume","sd.wcnSC","sum.betas","sum.bfSC","sum.BSS","sum.ddgent","sum.ESS","sum.GSS","sum.hbdif","sum.hbe","sum.helix","sum.hpshh","sum.HSS","sum.ISS","sum.LSS","sum.mvsphericity","sum.rsa","sum.seqent","sum.SSS","sum.TSS","sum.varea","sum.vccnfaces","sum.vccsphericity","sum.veccentricity","sum.vedge","sum.vnfaces","sum.vsphericity","sum.vvolume","sum.wcnSC","natoms","contact_order","contact_orderSC","contact_orderAA","nres","nchain","sum.nhbon","mean.nhbon","sum.nhbps","mean.nhbps","sum.nhbas","mean.nhbas","sum.nhbpa.dif","mean.nhbpa.dif"
"mean.betas",1,-0.0646321174324144,0.186544496357756,-0.10469330106314,0.990959207119907,-0.238588027202622,-0.155073342479285,-0.111976475285307,-0.840305235446218,-0.0362184356879652,-0.805165421135465,0.0137328084994953,0.172487070455291,-0.0197682609450421,-0.00844922717947523,0.0826357764047882,0.178346029271981,-0.00315046187422815,0.03050240552755,0.0432308990470114,-0.184331365179385,0.0423069842412613,0.040507611786373,0.0296070656103834,-0.103807274667997,0.0194665028314894,-0.0125179945006908,-0.0457865160691404,-0.0510325125740923,-0.0302671870573766,0.0412819932078775,-0.0642254269707333,-0.00551334764749921,0.0730118036474494,0.0147998073963824,0.0139396243943241,-0.136936093406098,0.0630090809944993,0.0439250534674306,-0.0264645453249047,-0.0685922269966922,0.000981645221248555,-0.0109495973919787,0.115216339146455,0.155913325880634,0.110207527002361,-0.088437479723793,0.0800273693368153,0.00143862870185509,0.0831064197176955,0.0634226013723307,0.0815498197368795,0.0516360288011977,-0.0253954909514783,0.0792456543883321,-0.0644073511009204,0.327041221338418,0.032422232867272,-0.154845375355303,-0.0580921622677015,-0.0686170630554208,0.06102219629621,-0.00503178549841764,0.0722543038562267,-0.0622379213709758,-0.0132599717552082,0.0452755141607991,-0.0719128080487082,0.280482924744286,-0.234382232532229,0.390273826861475,0.213005836784509,0.241082380275741,0.291602028237087,0.277203323189172,-0.00200426993939933,-0.227695123719549,0.250783344815138,-0.234483439471548,-0.00598486925212829,-0.0309246185259365,0.0414749762738526,-0.0638857938676194,-0.111400899624272,-0.109093008866915,-0.267345270578316,0.0237587946812625,-0.0804228835720685,-0.0264696504914909,-0.0799336132151148,0.129335638533673,-0.0419679720396156,0.00153238482355562,-0.049198369636984,0.0972592477841975,-0.0463707843507311,-0.0299355224870693,-0.00117536647933176,-0.116253244598375,-0.155122297410127,-0.112491823503926,-0.0839676100541103,-0.0877445536852646,0.00778486260848475,-0.151242284135249,-0.0607266471973395,-0.117578248331547,-0.126783733499308,-0.107070111883469,0.0528604464965185,0.148149573922068,-0.122803134186579,0.136690837326153,-0.0265652693175961,0.0707902181941747,-0.0651362894246053,0.0781708739468513,-0.0996813844117057,0.0240537228786648,-0.00813505103655823,-0.0633654784372549,0.142552147186107,-0.0221425881594978,0.051339858800859,-0.0792735949544018,0.0642639228617626,0.0931855132512362,-0.00509946375845312,0.127676589810602,-0.0474281795511019,0.0156299526593864,0.117387631580804,-0.121149673576722,0.0292866804527842,-0.156768307202366,0.214099865171504,0.746258370140754,-0.159375472467403,0.00436680002595894,0.0165321224927034,-0.0477957532202854,0.0241766613693714,0.0309035078760171,0.216861634902126,0.0496590785263999,0.032557589387343,0.0380761616368415,0.120346847978319,0.0212981621627248,-0.0153387498707934,0.698803355283344,-0.0820757232804579,0.164185079949499,-0.0368498812371161,0.718332567876362,-0.17116262992448,-0.0700561285238854,0.00482813281463402,-0.576210941647088,-0.0338155357619474,-0.592326962969707,0.011713725307386,0.0406414759671848,-0.0242673129837309,-0.0266757897789384,-0.00257798289603036,0.0687501249056255,-0.0272099089403649,-0.0236346143876194,-0.0194323653163067,-0.0266770315818749,-0.0161763459514159,-0.0237066389579324,-0.0202699682098191,-0.0276183182076894,-0.0222344815767936,-0.018862986604384,-0.0311792171667058,0.0822880971289521,-0.0174044944587765,0.00161620702351665,-0.0234377546708522,-0.0618156278076217,-0.0258961576944952,-0.0678417045521,0.0619100881169376,0.0295041243991909,0.666334324599339,0.772251954743915,-0.496309202411156,-0.526056413259586
"mean.bfSC",-0.0646321174324144,1,-0.159367226094492,0.388420453952777,-0.0501510056355192,-0.0269926079670917,0.114736275451526,0.0483371042690635,0.111957157825343,0.148431899766766,0.132411210149301,0.0198563517791863,-0.00178199108633152,0.0809592167712677,0.206554970805258,-0.00882920517284628,-0.101368656931448,-0.162737805484309,0.0472716390034795,0.0571712943947907,0.0271333520431352,-0.0324370841518872,0.043408396064981,0.0602335579337425,0.096782245225896,0.0627568975837036,-0.0612605273680524,0.98228570860891,0.298280602323161,0.0517523214849392,0.0478861313291243,0.027798957383873,0.150030253675186,-0.0151425215017845,0.120873184797375,-0.00561990112744226,-0.0691434801721633,0.0636000804687054,0.139938555686083,-0.0391934626468872,0.0298317856353426,0.144543153826858,-0.0477894700241654,-0.294370170946327,-0.0895301273342754,0.063765240002881,0.307628880317702,-0.338794360236538,-0.285893637259991,-0.320161136098907,-0.321205490747341,-0.323879088319371,0.188918912877725,0.32195553855668,-0.320830466842671,0.269048606575088,0.0703095313194632,0.285947034703371,-0.0671205863287643,0.295902553391234,-0.145303136044268,0.217577196559714,0.224819380043264,0.153454317866288,0.125131320456685,-0.115821538293418,0.202591141985044,-0.00159074709232294,-0.0786743029150037,0.126632657876371,-0.109873311461078,-0.0476876423414406,-0.0748098181754963,-0.106591231394716,-0.0899573068813161,0.0991925809840528,0.145638422316654,-0.0674595980041774,0.101104954537665,-0.209106871878423,0.262195106807305,0.0843244975052218,0.296648875797547,0.281353612771675,0.299026924729474,0.190491032954915,-0.222957920331014,0.302510176559267,-0.163448332385425,0.189528637173065,0.0747477281250543,-0.00174100501439247,-0.0329934110038471,0.0127768905799459,-0.191053568811919,0.0659632277885263,-0.00645115624091933,-0.130165581746519,-0.0863908543839301,0.0947047121381081,0.0306501325001676,0.102485837259494,0.286770348772231,0.0981171813103981,0.146874014320449,0.17747820018329,-0.0588700604260371,-0.0440479235845331,-0.0433748674377423,0.0954771123656061,0.0864218994091511,-0.0586291510303223,0.0669914390238451,0.0961464431093704,0.0289575577251199,0.194588976284084,-0.127501918582559,0.156433398486493,0.0895996681907704,0.0742063028852005,0.23573481091096,-0.119097409354735,0.092428490888906,0.0977148377835342,0.185728726086017,-0.0205667083083938,0.0143291418409948,0.0712930377184638,-0.24742760921019,0.178358637098557,-0.184557707734682,-0.122442821272548,-0.0972963508435554,0.0618243050260654,0.627357869665533,-0.360513459881135,0.00977297393956403,0.326208707011954,-0.0729123462339901,0.155895698649666,0.105990199706438,-0.0456659902990505,0.0884857726858417,-0.153196023256449,-0.00513608897255868,-0.0473734666862043,0.0885031578999655,-0.254825017819845,-0.0394830630760404,-0.017315673267253,0.0103976374689907,0.691891784492886,-0.063185605392427,0.0940838116336886,0.0166456470227908,0.0544618686126684,0.106340623878521,-0.0623074043052146,0.15920798061856,0.094250212968873,0.166611714889947,0.021646030021423,0.0562681399895163,0.0665617758747867,0.141046242185967,0.0578033533594443,0.00245448163547092,-0.0172412993106307,0.0725820271656389,0.0650083231764421,0.0645674434545911,0.0872675658961705,0.068042002677323,0.0627197019675075,0.0625631766263247,0.0758752834410803,0.0280187561624375,0.0827617680158689,-0.0819874534596161,-0.0699096930981023,-0.0664450672078469,0.062527902049932,0.0710706651008125,0.0674088235636508,0.048954385755882,-0.0832712728270734,-0.131706649201493,0.0862243785169168,0.0745121939286391,-0.0790169808902771,-0.0868102845886496
"mean.BSS",0.186544496357756,-0.159367226094492,1,-0.299144937645471,0.0846090172204375,0.0481031416099408,-0.397152388289735,0.229211668948973,-0.351204972659883,0.00611997818304407,-0.363750829754516,-0.0910320295184064,0.337750962818856,0.122104474788064,-0.187993993613672,0.0273664344180986,0.176691207302365,0.285012087486462,-0.145893029136066,0.118344321075953,-0.0433861439680626,-0.117452609537204,-0.143028240441051,0.120973342911736,0.0475901530504261,-0.154419688810062,0.153947607411924,-0.171804707456219,-0.194121113233712,0.230432667166304,0.101973075993676,0.0884152554335914,-0.179289544259751,0.0258197466794631,-0.163007843297763,0.150696472353175,0.0209989259808485,-0.13868322809898,-0.189812749315971,0.140232255232338,0.0914576958126423,-0.181380505921603,0.149025537676604,0.0876009150218038,0.0159172181937893,-0.0870493251776639,-0.078548133052778,0.0985463707015213,0.0243805195748773,0.0683337823804396,0.060275477146175,0.0482771557166634,-0.0162023305118752,-0.111587619325077,0.0629408735664502,-0.0887829819963513,-0.0521494655008618,-0.183177521033198,0.0546825548977115,-0.178724426897343,0.0472845424611054,-0.0424426023315215,-0.0912079895994168,0.0103187055077162,0.0203504352181435,-0.0393399094582345,-0.0495753795615423,0.0126958838112336,0.00109510461173271,0.0124443141188049,-0.033864386399571,0.0720731639814781,-0.0912390475861364,-0.0539682212031609,-0.0583896361925616,-0.014776768921446,0.00277596285299686,-0.0885090505534846,0.0179614548796727,0.147769552693663,-0.228470625385843,-0.122015648946046,-0.230970172157036,-0.217779845197226,-0.228538331796892,-0.12180259115715,0.0855597841345924,-0.233715698183048,0.166273901181195,-0.00504257472379246,0.0659087747773741,0.152381042561788,0.0882065457628358,0.11176775564805,0.10429271940438,0.0960505508887351,0.136721605657771,-0.102490113855175,0.0156762082168453,-0.155986253660198,-0.0637160809149711,-0.142412671144269,-0.0731993265799304,-0.136119080715411,-0.166783252163396,-0.0317698357752019,-0.0427078375381068,-0.0591809936941767,-0.0494225742668819,0.09081665896675,0.0494492841354607,-0.0442116652550692,0.057997063240426,-0.166897545554524,-0.0489983221682923,0.0300262404007642,0.0834360390027069,-0.0661851908591784,0.104977237431679,-0.163599187364904,-0.0576001421701496,0.022258637922195,-0.178659826284967,0.143341304947184,0.0403666864991841,0.0976071771831209,-0.0544701182685495,0.115221403771269,0.0471068907770693,0.0366844515937097,-0.00666628626949257,0.106048737973505,-0.00902979905885329,0.106918361601654,-0.043199796047745,0.32954387388687,0.0685710653989772,-0.223919388011955,-0.124011435172647,-0.0910558054644909,-0.0368558916804018,-0.109284359029952,0.0308095228258322,0.0595599011321557,-0.0945839927558361,-0.107347582978118,0.0129611190178189,0.017511735231973,-0.111670233569751,0.129188180399068,0.222395792272782,-0.0370465877188601,0.835654813697756,0.0899780933253211,0.150471300666702,0.0937276810260151,0.0144089580007083,-0.0735391466151501,-0.140988205720891,0.104561060409637,-0.164931709354089,-0.0899029250941243,0.217413423021196,0.115664911821624,0.0668349239413522,0.129601251622438,0.170887898344894,0.203984313175057,0.0997216049189906,0.112480295702492,0.109437164324612,0.0860883910685598,0.100721672091361,0.105420843665863,0.103957293147808,0.0988675102842019,0.121462195622703,0.0960198929101243,0.075779026482481,0.0266968325124639,0.0380771035392643,0.104198911218243,0.0229224447646149,0.0698548809920108,-0.250131319477861,0.0986564858499206,0.0462739686606739,0.217417902852635,0.176162457158322,-0.135609547801163,-0.0970122285351775
"mean.ddgent",-0.10469330106314,0.388420453952777,-0.299144937645471,1,-0.0792655364545052,-0.0151106944121997,0.268612280302033,0.0672013033943389,0.19950110598014,0.395065453799264,0.21325149008993,-0.0207871496807519,-0.0636518523398172,-0.422728932224985,0.779421370401921,-0.0654429131658227,-0.309860501680297,-0.243549448639734,0.607353697214144,-0.386074190803424,-0.292230547808097,0.477590458994489,0.599946354196418,-0.395342252776046,-0.387311525651883,0.624005006941668,-0.603116672171984,0.396895745838104,0.874184447187445,0.0277453465568764,0.131328121862722,-0.457015058079033,0.747792444658311,-0.0548888463916988,0.675440404727785,-0.320806435958914,-0.411188875449842,0.5809778437864,0.709078310455219,-0.293830933870499,-0.455459081414958,0.741894143914803,-0.592273265762801,-0.174230890545175,-0.0522251832277389,0.31836052463609,0.164657846568035,-0.260861412523812,-0.147663799762071,-0.215694626230314,-0.205074744002722,-0.166955178434387,0.0876450734028576,0.327862785955727,-0.209642088113232,0.253830335211764,0.183553090718531,0.516417851137862,-0.356178332559277,0.362828176961611,-0.271590573240182,0.258655973932113,0.41145834626876,0.250478714288908,0.0155535576357102,-0.0907657193380704,0.240331958245683,-0.216551468926413,-0.162767825432581,0.0757958081765146,-0.00319763759776078,-0.0773853134678287,0.103584831152317,0.0508120136796799,0.117161441581955,-0.0488487262847052,0.206266872971208,0.140910885876004,-0.0790058637843637,-0.359148720572421,0.483429407338051,0.252022272942895,0.567460839805186,0.491090077761579,0.576888593064293,0.27364575390981,-0.174684147913402,0.593662841091692,-0.488962872633438,-0.0939608733338135,-0.0349417967867157,-0.548633894710176,-0.472568615714743,-0.503771349663845,-0.386585072061713,-0.404296879850785,-0.543100429414789,0.33072637908211,-0.120383915199893,0.542408746252865,0.408605929351457,0.63033570848473,0.319439649712771,0.452219222582896,0.639219552901965,-0.115463899602872,-0.0332194187874558,0.0175478900559059,0.00326842025526462,-0.121898912430676,-0.00105056365347791,-0.0303632764671258,0.017601287499286,0.617779858484357,0.477201775278722,0.00861437359831711,-0.0921962741002531,0.47812443342829,-0.307987760809257,0.598571680479633,0.199554938518432,-0.070365412364861,0.611913590518601,-0.301847054820547,-0.101631478165413,-0.286930541102372,0.480011970961725,-0.394866642989661,-0.163131673128171,-0.0177192585951257,-0.223565161024337,-0.205649697869815,-0.111434255329189,-0.333594939412529,0.253126234039753,-0.790621173700642,-0.0207169662304634,0.494670190070062,0.412778380741157,0.474638697996478,0.17897581219995,0.424683527012897,-0.0357551764475053,0.00804066153223343,0.398986938736989,0.399914564090592,-0.151924419023398,-0.0498098802655467,0.429209891690116,-0.525858022407057,-0.396726530201568,-0.0542791220963588,-0.464912488359879,-0.355933697760536,-0.366828927514339,-0.280075842296615,-0.352666618893317,0.436696360216977,-0.114426059773296,-0.349411758862113,-0.0817554063102423,-0.0232002173896712,-0.406260131145187,-0.420347157890031,-0.273057140231621,-0.404870591916869,-0.490308170690137,-0.476951112320476,-0.404580010480801,-0.421849378136795,-0.421667192362427,-0.362542562729578,-0.411633440211007,-0.418840622453517,-0.419989519199485,-0.399406667477977,-0.478008945934468,-0.393490473049183,0.210310242346866,0.259903443732594,0.255647169453437,-0.419611994726647,0.196604345052883,-0.426509641940576,-0.00750918701907104,-0.421946975434025,-0.253788999874982,-0.133188221445513,0.069837252610255,-0.0761438280617782,-0.150245273895715
"mean.ESS",0.990959207119907,-0.0501510056355192,0.0846090172204375,-0.0792655364545052,1,-0.248051676315277,-0.11408072474415,-0.133788999458915,-0.808727785822854,-0.0456109163757698,-0.772403875692759,0.0241388438615329,0.138502853110971,-0.0274542140049538,0.00921556550256749,0.0845867462885575,0.158716794309031,-0.0324315195263425,0.0389000928942092,0.0319558308447735,-0.174327056360386,0.0479293850070199,0.0479604305719794,0.0192333484036876,-0.101084359508017,0.0290027667851319,-0.0237324716776132,-0.0297056383758142,-0.036580368280438,-0.0502819413671423,0.0301410992811101,-0.0669466562785896,0.0104276847146657,0.0759784320365971,0.0254946179447124,-0.000798039834310804,-0.128870140146738,0.0707093787516767,0.0550847668188774,-0.0365344434290784,-0.0728167517011252,0.0125200554368529,-0.021366799627702,0.104401267668286,0.166548279604143,0.1104414927868,-0.0824011385154111,0.0715389162473937,-0.00176214626709922,0.0777927348528282,0.0600408808090063,0.0772078364089919,0.0602085268597874,-0.0182336812119928,0.0738424971673859,-0.0588574238727515,0.353015393686278,0.0497412041780543,-0.162245364300761,-0.0295094304052704,-0.0841806702988876,0.0716072164903045,0.00421102043110179,0.078352796844697,-0.0518907990958476,-0.0101792198389093,0.0569090042158955,-0.075161312766864,0.296645340478079,-0.248134782495017,0.413115881980006,0.212340487919353,0.26750969867492,0.312298514330641,0.302659487322026,0.0104710481495282,-0.24262605744861,0.277909962936341,-0.2468457706379,-0.0162678760387595,-0.0105530084410212,0.0535908542330279,-0.0509010664849399,-0.0970260832565158,-0.0959928868546648,-0.250687969757284,0.0178251215771262,-0.0673999215269978,-0.0364412841494196,-0.0732476641427626,0.124978268123419,-0.0515778598010562,-0.000560061991868743,-0.0551841126267477,0.0801820015321086,-0.0520286414042677,-0.0378743474279485,0.00160940208749865,-0.120947311969082,-0.146754869208586,-0.112341481362319,-0.0716506802812477,-0.07079878997876,0.0168018597560623,-0.140840068172509,-0.0562595309969435,-0.115737866168884,-0.123375075148913,-0.105969689610038,0.0462616172573975,0.146433237155606,-0.121210578359939,0.130834703497373,-0.0111143122554884,0.0722455133058711,-0.0610715935656605,0.065475096499511,-0.0963964791991378,0.0156817357723248,0.006622639917153,-0.0475282763077437,0.141720520394759,-0.0055211432723912,0.0385995718254016,-0.0765198666894902,0.0506117218195177,0.0949609322754122,-0.0143691292858386,0.118669809323656,-0.0439096052560685,0.00577323325986205,0.102627944997802,-0.116279300821777,0.021366799627702,-0.160879359442544,0.183870463028925,0.749236279215343,-0.13702518915029,0.0131670450106082,0.0311523617029252,-0.0410943934255442,0.0315360848858242,0.0214313744028177,0.215713278096549,0.052485632120471,0.0391509410590817,0.0385921208898114,0.122379133425013,0.0290772761410346,-0.021540654791475,0.688238699114722,-0.0775865923014974,0.0795859778891946,-0.0429260817581526,0.717269339075945,-0.18040092578792,-0.0680600021494499,0.0091305063237163,-0.568166294980502,-0.0419636692444092,-0.581593832020071,0.0219721278669692,0.0225691232439289,-0.0324587590764195,-0.0287618532010465,-0.00959059592727783,0.0541523214671765,-0.0452176662937217,-0.030679227292943,-0.0274821720771171,-0.0342693364248555,-0.0231314295399979,-0.0307599457618376,-0.0276703169078543,-0.0347213598506653,-0.0291666873681179,-0.0273610773100754,-0.0380221597291393,0.0693812710221473,-0.0266339984472576,-0.00782969391350782,-0.0307069096450222,-0.0615656528118221,-0.0297087307507223,-0.0409547773842701,0.0553533587100965,0.0250383970609186,0.654855854312814,0.764894920830833,-0.488345739273543,-0.522660869786898
"mean.GSS",-0.238588027202622,-0.0269926079670917,0.0481031416099408,-0.0151106944121997,-0.248051676315277,1,-0.0267914467177335,0.191893276463144,0.17312490713134,0.131502386408836,-0.00345760146216538,0.0385358034882142,0.0788912077146336,0.00383852370382225,-0.0397500178698306,0.0266529650576787,-0.106340670184959,0.0622019967818322,0.0266691089619653,-0.0393349454653935,0.0427006268378932,0.000326603602104578,0.0183196058488469,-0.0205896871592924,0.00945225595976805,0.0263480936344214,-0.0229870569458433,-0.0155316777624409,-0.0189461135190437,0.21504717923122,0.108873909467995,0.00821724728184789,-0.0399258118452758,0.0176198296899651,0.00681521128650162,0.0254825309875436,0.0569879821314794,-0.00563732719297997,0.00198694206603546,0.00722295622154233,-0.00516294477471401,0.0199737351188214,-0.0189082374359099,0.131585859242594,-0.0485875636279189,0.04255595261871,-0.165492404680093,0.147211295833776,0.18356302185129,0.150952956111879,0.183322726045179,0.143188979988845,-0.0514717342206485,-0.237796605543728,0.135796934583798,-0.120421107589661,-0.0304480244038065,0.0766804407640777,-0.149177747559755,0.122742104290549,0.207287731039149,0.153838989462795,0.121489709869551,0.105256393190041,0.0178210075741511,-0.126987951117909,0.123161845801999,-0.11800821481822,-0.0503845043588897,0.054026817533691,-0.119120281455804,0.0207517471215534,-0.0954210299631659,-0.0595691440591386,-0.0912323077202049,0.0276520243652572,0.0601621220819711,-0.097753203213175,0.0662092560760709,-0.0325268625403961,0.00773665566962556,0.111499116793767,0.024840501341817,0.00438555369137764,0.00114249168797039,0.00841035321389071,-0.102863990758656,0.0126574418800415,-0.0463466655290683,-0.0596144711750201,-0.0979593484525262,0.0425838939915137,-0.00634455438460947,0.0410222817114889,-0.0572692586177026,0.00821911004003479,0.0375867346954345,0.0191634353075163,0.152544372522894,0.116540982286332,0.142913912696578,0.0508148015000655,-0.000157092607095928,-0.128769989783384,0.0670282487589149,-0.0414991478073374,0.130540851899738,0.0752697118971926,0.112489483229806,0.037265098448495,-0.106603788278572,0.126654517402452,-0.0933266688416854,-0.0552214664508948,-0.0705314759890936,0.0478449440307382,0.0250534766945202,-0.0647134612519836,-0.00842835987636415,-0.047483568942478,0.0241618364423868,-0.0523056289689878,-0.0602180048275783,0.00234334979913057,0.0546762992215263,0.00749077158895367,-0.0542081259972167,0.0135720561498134,-0.0946243903785648,0.042366572203041,-0.0194999736199511,0.0189554273099783,0.0755013148317648,-0.00307479284718987,-0.00528340313746741,-0.0353880591154871,-0.216408416041647,0.102308267899561,-0.00418623856537845,0.0138309795377937,0.0408571171522497,0.00435947507676092,-0.0805947166341676,-0.0062383771679557,0.00837247713075691,-0.00448490079467941,0.0106829182019188,-0.0282245120480337,0.00771616532956957,-0.0320766959785599,-0.193678267729405,-0.00897352710573263,0.0128870941834022,-0.0125649248900917,-0.203551171721151,0.720111498121661,-0.0139783477343516,0.0443041786856189,0.128658022797139,0.0185120908614941,0.0317985656198748,0.0381340420057661,0.00987757435816426,-0.0090349981259006,-0.0238991875380327,0.0363833929066918,-0.0607754230132604,0.00831318857969755,-0.0148915098655401,-0.0156167534160961,-0.0155863186692569,-0.0173789129644583,-0.0153801734299057,-0.0169141705498575,-0.0189641201815172,-0.0137719921952083,-0.0196819030028725,0.000557586136589712,-0.00621416324071474,-0.0052734700642876,-0.0105879208214096,-0.0176951696899243,0.070885859484002,-0.0227435016360367,-0.0945016537048876,0.00936033281391547,0.0439260211246765,-0.201688211850564,-0.243440275334898,0.138425350300233,0.183308263475398
"mean.hbdif",-0.155073342479285,0.114736275451526,-0.397152388289735,0.268612280302033,-0.11408072474415,-0.0267914467177335,1,-0.682181324170623,0.610167323632191,0.0147880010865776,0.62293398404212,0.0968673735122681,-0.788911227610152,-0.183773003601882,0.172524142178886,-0.0784228869035389,-0.655513375509654,-0.533946288215143,0.193319975685558,-0.168581473863953,0.0652088741638919,0.183043445056205,0.187447495068531,-0.182966453345853,-0.051884961966726,0.205528749884397,-0.192665546147564,0.130902051021935,0.125988862279861,-0.662110095533433,-0.125890254612544,-0.0692049922915288,0.157853152428167,-0.0697613194889127,0.167953690728057,-0.135246376547144,0.0528591554630377,0.147068447493234,0.14254704721271,-0.163323629567048,-0.0756257283943711,0.178893343507864,-0.186929663726323,-0.0771593535925164,-0.0769023006240823,0.216317523747948,0.0848417603037114,-0.10418158122348,-0.00469773613326611,-0.0388311416566828,-0.0637795603152561,-0.0208554399921062,-0.00959105604686248,0.139546854112533,-0.0165234144830132,0.0582665813135022,-0.117401802972027,0.440305036189293,-0.0815360839656849,0.13898307610447,-0.0955932801138668,0.020014119286241,0.113631692768327,-0.0116598978121338,-0.0219817542064525,-0.0140031777707574,0.0102864650435923,0.0437828262539333,0.0200383344209486,0.0896053119313109,-0.0671653328680845,-0.15732324659144,-0.0100256866698186,-0.0610271066701638,-0.0276605137458197,-0.105835040293384,0.109859098961068,-0.00744149716589932,0.0462353847691859,-0.454366578643705,0.518734132101732,0.229609149098838,0.469298003244918,0.477554743279306,0.478613379296649,0.132582829730995,-0.342672096651982,0.466476008700153,-0.352384228372382,-0.0583516447354237,-0.0118294037550867,-0.194638769175785,-0.119292446181886,-0.1674327548814,-0.122779425579774,-0.151697884528607,-0.196606404095997,0.111160507226376,-0.0868764525200361,0.188524137211682,0.102432503416527,0.197841996866972,0.0273357825803824,0.124129264114498,0.215629565561898,0.00598486367810626,-0.0206604771126658,0.00117350268198162,-0.00741976563475151,-0.19508519691565,-0.0425540633927473,-0.015146877210022,-0.0295790974957261,0.183879798554951,0.0924757367454913,-0.156476337777565,-0.0527902354642547,0.191872655711114,-0.173347456758943,0.203762286852525,-0.0277406099606216,-0.0258350651294038,0.190452655375828,-0.166990052546875,-0.172060950114993,-0.138208812694718,0.084706403909705,-0.193570819645093,-0.0351044945152788,-0.17248812992727,0.0494026002087564,-0.118389656287917,-0.0331977078822811,-0.190027959167111,0.00237680860668023,-0.401452783902353,-0.237624979587929,0.363498354302261,0.21402081135607,0.0735500567193105,-0.0951623748962503,0.186028115634134,-0.187782160648207,0.0137815161530498,0.144051490069028,0.182122649036428,-0.217452530574754,0.0487407198600832,0.181635862738717,-0.152615576043935,-0.208845169588978,-0.0224971019451006,-0.401921445162228,-0.133322322690911,-0.178589038456773,-0.105696518065708,0.078525156478978,0.0582672383925611,0.285863838707523,-0.143672740526167,0.318032683309404,0.0950688760014845,-0.407560981443455,-0.160735717882535,-0.127063020819452,-0.169292973947652,-0.427062679683382,-0.336910710726385,-0.143904957459003,-0.158084569237322,-0.153310985040664,-0.125073033467203,-0.145062316717847,-0.149482028472686,-0.14492633942295,-0.142464467394349,-0.161968206149061,-0.138791036542231,-0.0101734642399788,0.0640099344173262,0.0523121580193281,-0.147568461348987,-0.0626304063896925,-0.0539192067314122,0.699143372226457,-0.118618477362769,-0.0466196663259764,-0.158636124943503,-0.128938178008268,0.0794110253273237,0.0728976610758041
