pdb,r.wcnCA.r4sJC,r.wcnSC.r4sJC,r.rsa.r4sJC,r.vareaSC.r4sJC,r.ddgent.r4sJC,r.vareaCA.r4sJC,r.bfSC.r4sJC,r.hbe.r4sJC,r.distance.r4sJC,r.bfSC.distance,r.bfSC.wcnSC,r.distance.wcnSC,r.distance.vareaSC,r.wcnSC.vareaSC
1OG1_A,-0.624756184,-0.714715318,0.651616587,0.63687976,0.645995032,0.606118221,0.492553222,-0.15804447,0.625541603,0.488379775,-0.657211997,-0.919693673,0.786848773,-0.924457209
1OGO_X,-0.401776105,-0.415298744,0.360864113,0.34769972,0.353461789,0.298805789,0.18556845,-0.150960785,0.394612707,0.670279902,-0.747483681,-0.924756402,0.685873525,-0.867585491
1OJ4_A,-0.695505434,-0.777282151,0.628274322,0.704021731,0.622802094,0.679854389,0.502843644,-0.211029936,0.692576512,0.595043466,-0.733401275,-0.875146904,0.677006444,-0.913110667
1ONR_A,-0.753601429,-0.81622435,0.695245976,0.731761728,0.632065713,0.674873329,0.684114466,-0.223667409,0.806984732,0.728590237,-0.737324274,-0.931657713,0.760265965,-0.922271598
1OPM_A,-0.446394539,-0.502500452,0.480746898,0.50876913,0.489669441,0.490224527,0.305485275,-0.261480501,0.450885418,0.525582494,-0.615708661,-0.854160564,0.611135957,-0.891393049
1OXA_A,-0.417382174,-0.442398771,0.427581861,0.428768484,0.486403979,0.447881589,0.413431816,-0.208909294,0.358440295,0.742469748,-0.791494886,-0.914348549,0.697348154,-0.886684106
1OYG_A,-0.678527811,-0.687808127,0.599210342,0.581008966,0.547878311,0.571377314,0.315997038,-0.244382383,0.669363362,0.378670633,-0.513636643,-0.932324646,0.742611848,-0.889413059
1P1X_A,-0.603895726,-0.68170799,0.550972491,0.580812316,0.590813335,0.5508741,0.549039131,-0.075650159,0.673292999,0.75368291,-0.797152823,-0.918190563,0.75456953,-0.918551705
1P3D_A,-0.617952969,-0.698163744,0.519346761,0.596492475,0.485251429,0.5593447,0.531043814,-0.079760219,0.642885932,0.480433503,-0.541435281,-0.902644959,0.622288924,-0.855732713
1P5D_X,-0.671006251,-0.727403751,0.594298632,0.623467549,0.543720547,0.589930468,0.311755225,-0.065951466,0.700147143,0.336080818,-0.54554254,-0.885005494,0.613227454,-0.872695977
1PA9_A,-0.563165266,-0.593617705,0.488978153,0.504376694,0.446139577,0.477630278,0.469781627,-0.03351431,0.595191838,0.706215608,-0.763947039,-0.943821333,0.803674149,-0.927353601
1PII_A,-0.587661971,-0.691722735,0.658058202,0.670282391,0.638314437,0.635581673,0.468404431,-0.280957892,0.321347266,0.367334994,-0.632880442,-0.711198309,0.437149174,-0.882098076
1PKN_A,-0.514346352,-0.574908799,0.426339012,0.500308768,0.419060851,0.450857403,0.291314937,-0.079945946,0.543047357,0.350055271,-0.461161432,-0.845994054,0.599086791,-0.884169745
1PMI_A,-0.668366915,-0.731390897,0.573135879,0.606671194,0.579561266,0.562361771,0.459301335,-0.117772881,0.721324427,0.477937122,-0.729963785,-0.817100908,0.556874875,-0.877058672
1PP4_A,-0.51699105,-0.59699678,0.556032015,0.54289525,0.553651231,0.521236593,0.496024141,-0.057310294,0.537153669,0.676218266,-0.778660951,-0.931808102,0.764122469,-0.914692456
1PS9_A,-0.613190194,-0.658585756,0.527900065,0.60168018,0.542164244,0.56217223,0.456054655,-0.078276435,0.486386205,0.642874423,-0.719500617,-0.82873062,0.490823413,-0.82856381
1PTD_A,-0.635166158,-0.683735029,0.578061706,0.605898046,0.571576615,0.554928265,0.480097046,-0.236010534,0.689490168,0.699948338,-0.713393059,-0.943629023,0.805123013,-0.921126057
1PUD_A,-0.492919296,-0.574835696,0.4709877,0.515619871,0.484345378,0.454305851,0.196296179,0.03008564,0.540515778,0.322457715,-0.435185555,-0.904506666,0.697326162,-0.89311292
