pdb,r.wcnCA.r4sJC,r.wcnSC.r4sJC,r.rsa.r4sJC,r.vareaSC.r4sJC,r.ddgent.r4sJC,r.vareaCA.r4sJC,r.bfSC.r4sJC,r.hbe.r4sJC,r.distance.r4sJC,r.bfSC.distance,r.bfSC.wcnSC,r.distance.wcnSC,r.distance.vareaSC,r.wcnSC.vareaSC
1CA2_A,-0.615932083,-0.740733323,0.675390811,0.727749496,0.70195673,0.623716156,0.628933638,-0.179560739,0.691371964,0.826122634,-0.813786062,-0.96083629,0.817041228,-0.918726396
1CB8_A,-0.659611785,-0.702414328,0.648704463,0.67226905,0.615946785,0.617613286,0.543054702,-0.186120128,0.51551742,0.676597072,-0.789935148,-0.798485074,0.486002436,-0.850020557
1CBX_A,-0.562834791,-0.614956581,0.584265795,0.594134658,0.54708874,0.574661282,0.509547325,-0.122503789,0.547001192,0.582283072,-0.632667837,-0.936181486,0.795649304,-0.92031281
1CDG_A,-0.472184524,-0.524855472,0.522845564,0.457624673,0.509015456,0.440255449,0.267303306,-0.070935515,0.419843877,0.540987649,-0.661085071,-0.88290318,0.529026077,-0.806301993
1CEL_A,-0.603421767,-0.696384838,0.647206991,0.682791588,0.719768913,0.609807795,0.481668494,-0.238188837,0.550858779,0.562200299,-0.63522162,-0.908431128,0.656792741,-0.865933295
1CHD_A,-0.40447484,-0.497296375,0.457696039,0.494100723,0.489553066,0.410390737,0.438809397,-0.086222328,0.388182889,0.692847737,-0.733073303,-0.965970046,0.884553859,-0.938296312
1CHK_B,-0.464122612,-0.597603382,0.548622999,0.569078343,0.566100818,0.524099922,0.237643967,-0.231473556,0.411246499,0.287242977,-0.42101562,-0.771256145,0.571408225,-0.919270584
1CM0_A,-0.427520401,-0.537692045,0.423933814,0.482794634,0.458932085,0.45000127,0.377453928,-0.190929072,0.568698681,0.77320513,-0.783868996,-0.938207155,0.840846448,-0.947826651
1CNS_A,-0.558103622,-0.642845688,0.647653381,0.653595362,0.703411339,0.647459262,0.508637234,-0.296930782,0.525070241,0.597795096,-0.687066214,-0.928177061,0.737488049,-0.895267462
1COY_A,-0.600928907,-0.638700338,0.489362928,0.553599401,0.513406172,0.540826817,0.526472453,-0.133607978,0.57304634,0.590392381,-0.707280368,-0.89609635,0.675674548,-0.881862442
1CQQ_A,-0.337375156,-0.422242628,0.355829597,0.377253238,0.472098461,0.327727664,0.305202418,-0.152871476,0.447295035,0.628556055,-0.672345517,-0.96026009,0.898258177,-0.966793214
1CVR_A,-0.453154087,-0.500296686,0.446720448,0.446533377,0.488110474,0.404558084,0.490555557,-0.055076372,0.396287716,0.724982184,-0.861160019,-0.880120204,0.643963934,-0.880031344
1CWY_A,-0.613713214,-0.691852654,0.570628757,0.611227596,0.58251174,0.57052606,0.40510032,0.017335918,0.633491729,0.515941,-0.701344699,-0.887256226,0.6259193,-0.866771051
1CZ1_A,-0.684987518,-0.747783141,0.678947862,0.686074595,0.699907315,0.606014359,0.638056857,-0.125791575,0.709533558,0.764425001,-0.840300413,-0.951793418,0.779441998,-0.902620715
1CZF_A,-0.396118448,-0.54682995,0.514310337,0.567027874,0.555720765,0.498134274,0.443372361,0.059236582,0.33219743,0.555493287,-0.685494272,-0.824977722,0.539747786,-0.872062485
1D1Q_A,-0.623292328,-0.679737157,0.588928171,0.628658073,0.565581458,0.604910845,0.600448349,-0.213201886,0.615682645,0.727952591,-0.774438739,-0.958983162,0.871736924,-0.94778481
