pdb	pdb_asa	nres	nchain	sum.nssb	mean.nssb	sum.nhbon	mean.nhbon	sum.nhbps	mean.nhbps	sum.nhbas	mean.nhbas
1D6O_A	6057.4	107	1	0	0.0	80	0.747663551402	0	0.0	36	0.336448598131	
1DDJ_A	11521.0	247	1	0	0.0	156	0.631578947368	2	0.0080971659919	71	0.287449392713	
1DGK_N	38147.0	898	1	0	0.0	656	0.730512249443	57	0.0634743875278	81	0.0902004454343	
1DGS_A	30065.6	581	1	0	0.0	389	0.669535283993	5	0.00860585197935	93	0.160068846816	
1DIN_A	10347.7	232	1	0	0.0	168	0.724137931034	30	0.129310344828	10	0.0431034482759	
1DNP_A	20680.2	469	1	0	0.0	317	0.675906183369	23	0.0490405117271	0	0.0	
1DVE_A	10629.1	214	1	0	0.0	165	0.771028037383	0	0.0	0	0.0	
1E0C_A	11178.3	270	2	0	0.0	180	0.666666666667	30	0.111111111111	7	0.0259259259259	
1E1A_A	13493.7	312	1	0	0.0	204	0.653846153846	5	0.0160256410256	131	0.419871794872	
1E6E_A	21036.1	457	1	0	0.0	319	0.698030634573	48	0.105032822757	30	0.0656455142232	
1EB6_A	8074.3	177	1	0	0.0	124	0.700564971751	10	0.0564971751412	7	0.0395480225989	
1EH5_A	12841.4	279	1	0	0.0	191	0.68458781362	31	0.111111111111	3	0.010752688172	
1EUG_A	10882.2	225	1	0	0.0	139	0.617777777778	16	0.0711111111111	5	0.0222222222222	
1EUU_A	25118.4	601	1	0	0.0	364	0.605657237937	7	0.0116472545757	219	0.364392678869	
1EX1_A	20596.2	602	1	0	0.0	406	0.674418604651	58	0.0963455149502	13	0.0215946843854	
1EXN_A	14146.1	267	5	0	0.0	197	0.737827715356	15	0.0561797752809	8	0.0299625468165	
1EXP_A	12285.2	312	1	0	0.0	224	0.717948717949	50	0.160256410256	9	0.0288461538462	
1EYP_A	10293.7	212	1	0	0.0	163	0.768867924528	0	0.0	53	0.25	
1FF3_A	9941.2	210	2	0	0.0	114	0.542857142857	3	0.0142857142857	28	0.133333333333	
1FGH_A	26166.7	753	1	0	0.0	516	0.685258964143	81	0.107569721116	59	0.0783532536521	
1FHL_A	12737.7	334	1	0	0.0	226	0.676646706587	43	0.12874251497	8	0.0239520958084	
1FOA_A	15444.7	342	1	0	0.0	239	0.698830409357	29	0.0847953216374	30	0.0877192982456	
1G24_A	10815.8	210	1	0	0.0	152	0.72380952381	9	0.0428571428571	38	0.180952380952	
1G6T_A	15796.6	427	1	0	0.0	328	0.768149882904	33	0.0772833723653	58	0.135831381733	
1G8O_A	13173.5	287	1	0	0.0	193	0.672473867596	35	0.121951219512	19	0.0662020905923	
1GA8_A	12619.2	271	7	0	0.0	173	0.638376383764	20	0.0738007380074	15	0.0553505535055	
