Protein,chain,EC.class,Domains,Year,Resolution,Sites,Number.of.Sequences
1QAZ,A,3.05.01.0045,1,08-abr-99,1.78,351,300
1QBA,A,3.02.01.0052,4,6-Jun-96,1.85,858,300
1QFM,A,3.04.21.0026,2,12-abr-99,1.4,705,300
1QGX,A,3.01.03.0007,N,10-May-99,1.6,354,300
1QJE,A,1.21.03.0001,1,23-Jun-99,1.35,327,300
1QK2,A,3.02.01.0091,1,9-Jul-99,2,363,295
1QWN,A,3.02.01.0114,3,2-Sep-03,1.2,1014,300
1R1J,A,3.04.24.0011,1,24-Sep-03,2.35,696,300
1R44,A,3.04.13.0000,1,3-Oct-03,2.25,202,300
1R4Z,A,3.01.01.0003,1,9-Oct-03,1.8,179,300
1RBN,A,3.01.27.0005,1,29-Mar-94,2.1,124,292
1RDD,A,3.01.26.0004,1,23-Jun-93,2.8,155,300
1RU4,A,4.02.02.0002,1,11-dic-03,1.6,400,300
1S3I,A,1.05.01.0006,2,13-ene-04,2.3,307,300
1S95,A,3.01.03.0016,1,3-Feb-04,1.6,324,300
1SCA,A,3.04.21.0062,1,19-Jul-93,2,274,300
1SLL,A,4.02.02.0015,2,14-Oct-97,2,679,184
1SML,A,3.05.02.0006,1,22-Sep-98,1.7,266,300
1SNZ,A,5.01.03.0003,1,12-Mar-04,2.2,344,300
1TAH,B,3.01.01.0003,1,21-dic-93,3,318,300
1TLP,E,3.04.24.0027,1,29-Jun-87,2.3,316,300
1U3F,A,6.03.03.0002,1,21-Jul-04,2.5,164,300
1U5U,A,4.02.01.0092,N,28-Jul-04,2,366,300
1UAS,A,3.02.01.0022,2,18-Mar-03,1.5,362,300
1UN1,A,2.04.01.0207,1,3-Sep-03,2.1,267,300
1VID,A,2.01.01.0006,1,05-ene-96,2,213,300
1VLB,A,1.02.99.0007,4,20-Jul-04,1.28,907,300
1VNC,A,1.11.01.0010,1,1-Sep-95,2.1,576,126
1VQ1,A,2.01.01.0000,1,02-dic-04,2.8,263,300
1W0H,A,3.01.00.0000,1,4-Jun-04,1.59,194,300
1XQW,A,3.04.11.0005,na,13-Oct-04,2,290,300
1Y9M,A,3.02.01.0080,2,16-dic-04,1.89,517,300
1YON,A,1.01.01.0169,2,28-ene-05,1.95,292,300
1YSC,A,3.04.16.0005,1,8-Mar-94,2.8,421,300
1ZE1,A,4.02.01.0070,2,16-abr-05,2.9,308,300
1ZIO,A,2.07.04.0003,2,7-Jun-96,1.96,217,300
206L,A,3.02.01.0017,1,19-Mar-96,1.75,162,300
2A0N,A,4.01.03.0000,1,16-Jun-05,1.64,251,300
2ABK,A,4.02.99.0018,1,11-May-95,1.85,211,300
2ACY,A,3.06.01.0007,1,8-Nov-96,1.8,98,300
2AYH,A,3.02.01.0073,1,2-Feb-95,1.6,214,300
2CPO,A,1.11.01.0010,2,10-Feb-96,2.1,298,158
2CPU,A,3.02.01.0001,2,8-Jun-99,2,495,300
2DLN,A,6.03.02.0004,2,18-Jul-94,2.3,306,300
2EBN,A,3.02.01.0096,1,30-ago-94,2,285,300
2ENG,A,3.02.01.0004,1,29-Jun-95,1.5,205,120
2F61,A,3.02.01.0045,2,28-Nov-05,2.5,497,300
2F9R,A,3.01.04.0041,na,06-dic-05,1.85,285,174
2NLR,A,3.02.01.0004,1,2-Nov-98,1.2,222,259
2NMT,A,2.03.01.0097,2,14-Jul-98,2.9,422,181
2PEC,A,4.02.02.0002,1,08-ago-94,2.2,352,300
2PIA,A,1.00.00.0000,3,15-Feb-93,2,321,300
2PTH,A,3.01.01.0029,1,25-Mar-97,1.2,193,300
2SQC,A,5.04.99.0017,2,02-ago-98,2,623,300
2THI,A,2.05.01.0002,1,17-Sep-98,2.5,362,300
2TPS,A,2.05.01.0003,1,9-Mar-99,1.25,226,300
5EAT,A,4.02.03.0009,2,24-Jul-97,2.8,532,300
7ATJ,A,1.11.01.0007,1,26-abr-99,1.47,305,300
