pdb	variable	value
1BG0_A	mwcn	1.15739742305
1BG0_A	vwcn	0.0444446404362
1BH2_A	nres	315
1BH2_A	nchains	1
1BH2_A	nssb	0
1BH2_A	asa	15132.6
1BH2_A	nhbon	235
1BH2_A	nhbps	26
1BH2_A	nhbas	12
1BH2_A	mhbe	-0.822142857143
1BH2_A	vhbe	0.196245804989
1BH2_A	mrsa	0.237298408772
1BH2_A	vrsa	0.0502674833382
1BH2_A	mwcn	1.05502295233
1BH2_A	vwcn	0.0353288484882
1BOL_A	nres	222
1BOL_A	nchains	1
1BOL_A	nssb	0
1BOL_A	asa	10310.0
1BOL_A	nhbon	143
1BOL_A	nhbps	2
1BOL_A	nhbas	37
1BOL_A	mhbe	-0.765202702703
1BOL_A	vhbe	0.226449621074
1BOL_A	mrsa	0.258623436385
1BOL_A	vrsa	0.0535757742343
1BOL_A	mwcn	0.963713041595
1BOL_A	vwcn	0.0283474778698
1BP2_A	nres	123
1BP2_A	nchains	1
1BP2_A	nssb	0
1BP2_A	asa	7178.2
1BP2_A	nhbon	77
1BP2_A	nhbps	0
1BP2_A	nhbas	9
1BP2_A	mhbe	-0.732317073171
1BP2_A	vhbe	0.176887517351
1BP2_A	mrsa	0.299110638682
1BP2_A	vrsa	0.0534036332825
1BP2_A	mwcn	0.779350299099
1BP2_A	vwcn	0.0182566517704
1BQC_A	nres	302
1BQC_A	nchains	1
1BQC_A	nssb	0
1BQC_A	asa	11110.7
1BQC_A	nhbon	221
1BQC_A	nhbps	38
1BQC_A	nhbas	8
1BQC_A	mhbe	-0.854801324503
1BQC_A	vhbe	0.198317179071
1BQC_A	mrsa	0.201053876147
1BQC_A	vrsa	0.0478288393122
1BQC_A	mwcn	1.18489370181
1BQC_A	vwcn	0.0436060916552
1BS0_A	nres	383
1BS0_A	nchains	1
1BS0_A	nssb	0
1BS0_A	asa	18209.6
1BS0_A	nhbon	266
1BS0_A	nhbps	24
1BS0_A	nhbas	36
1BS0_A	mhbe	-0.834334203655
1BS0_A	vhbe	0.20407573165
1BS0_A	mrsa	0.241954300942
1BS0_A	vrsa	0.0525013975691
1BS0_A	mwcn	1.16017423269
1BS0_A	vwcn	0.0549751003232
1BS4_A	nres	168
1BS4_A	nchains	1
1BS4_A	nssb	0
1BS4_A	asa	9688.7
1BS4_A	nhbon	112
1BS4_A	nhbps	2
1BS4_A	nhbas	32
1BS4_A	mhbe	-0.794047619048
1BS4_A	vhbe	0.214585104875
1BS4_A	mrsa	0.278603843853
1BS4_A	vrsa	0.0583482008246
1BS4_A	mwcn	0.870355059958
1BS4_A	vwcn	0.0273754092378
1BS9_A	nres	207
1BS9_A	nchains	1
1BS9_A	nssb	0
1BS9_A	asa	8370.2
1BS9_A	nhbon	132
1BS9_A	nhbps	27
1BS9_A	nhbas	4
1BS9_A	mhbe	-0.793599033816
1BS9_A	vhbe	0.19467823053
1BS9_A	mrsa	0.246983850473
1BS9_A	vrsa	0.0619485906361
1BS9_A	mwcn	1.03230016202
1BS9_A	vwcn	0.0407216720313
1BT1_A	nres	336
1BT1_A	nchains	2
1BT1_A	nssb	0
1BT1_A	asa	13425.3
1BT1_A	nhbon	204
1BT1_A	nhbps	10
1BT1_A	nhbas	10
1BT1_A	mhbe	-0.675
1BT1_A	vhbe	0.191458333333
1BT1_A	mrsa	0.215973422679
1BT1_A	vrsa	0.050238802117
1BT1_A	mwcn	1.16896160688
1BT1_A	vwcn	0.0463511869696
1BU7_A	nres	455
1BU7_A	nchains	1
1BU7_A	nssb	0
1BU7_A	asa	20397.1
1BU7_A	nhbon	311
1BU7_A	nhbps	5
1BU7_A	nhbas	33
1BU7_A	mhbe	-0.822087912088
1BU7_A	vhbe	0.191795091173
1BU7_A	mrsa	0.22557765565
1BU7_A	vrsa	0.0463684405838
1BU7_A	mwcn	1.22710288225
1BU7_A	vwcn	0.0563021273708
1BVV_A	nres	185
1BVV_A	nchains	1
1BVV_A	nssb	0
1BVV_A	asa	7942.1
1BVV_A	nhbon	141
1BVV_A	nhbps	7
1BVV_A	nhbas	86
1BVV_A	mhbe	-0.880810810811
1BVV_A	vhbe	0.273679072316
1BVV_A	mrsa	0.23456784539
1BVV_A	vrsa	0.0477713267142
1BVV_A	mwcn	0.95308820921
1BVV_A	vwcn	0.0257896515093
1BVZ_A	nres	585
1BVZ_A	nchains	1
1BVZ_A	nssb	0
1BVZ_A	asa	24294.8
1BVZ_A	nhbon	406
1BVZ_A	nhbps	34
1BVZ_A	nhbas	100
1BVZ_A	mhbe	-0.749188034188
1BVZ_A	vhbe	0.20603246037
1BVZ_A	mrsa	0.205195598301
1BVZ_A	vrsa	0.044622445451
1BVZ_A	mwcn	1.31347711953
1BVZ_A	vwcn	0.0614161584071
1BWL_A	nres	399
1BWL_A	nchains	1
1BWL_A	nssb	0
1BWL_A	asa	16005.0
1BWL_A	nhbon	262
1BWL_A	nhbps	43
1BWL_A	nhbas	8
1BWL_A	mhbe	-0.705513784461
1BWL_A	vhbe	0.178791653319
1BWL_A	mrsa	0.202716539144
1BWL_A	vrsa	0.047348445775
1BWL_A	mwcn	1.24203174515
1BWL_A	vwcn	0.050127776688
1BWZ_A	nres	274
1BWZ_A	nchains	1
1BWZ_A	nssb	0
1BWZ_A	asa	13071.7
1BWZ_A	nhbon	186
1BWZ_A	nhbps	19
1BWZ_A	nhbas	69
1BWZ_A	mhbe	-0.806113138686
1BWZ_A	vhbe	0.283336260922
1BWZ_A	mrsa	0.241702172102
1BWZ_A	vrsa	0.053860094126
1BWZ_A	mwcn	1.06174586442
1BWZ_A	vwcn	0.0419581483418
