variable,bfSC,ddgent,rsa,varea,vcompactness,vvolume,wcnSC
sd.hbe,-0.168970503,-0.149779168,-0.219218939,-0.229191861,0.226930964,-0.23140938,0.2513894
r.hbe.vvolume,-0.032321626,-0.062069509,-0.11623771,-0.13963405,0.067729639,-0.141689889,0.211752721
r.hbe.veccentricity,-0.002132078,0.009490509,-0.079300962,-0.118569588,0.052011147,-0.124984226,0.205916452
mean.betas,-0.077542322,-0.122655178,-0.184287069,-0.184898958,0.203082778,-0.187403694,0.203628286
r.hbe.vedge,0.013439192,-0.040004732,-0.097624744,-0.128897418,0.062299543,-0.130297334,0.200408802
r.hbe.varea,-0.022907356,-0.052493559,-0.111333403,-0.135047847,0.070437457,-0.136545034,0.200086755
mean.ESS,-0.080038541,-0.13485973,-0.190484078,-0.184655588,0.197744057,-0.18755143,0.199631677
r.hbe.rsa,-0.018488091,-0.029722909,-0.12416005,-0.130625953,0.080782376,-0.134218413,0.18672906
mean.nhbas,-0.056960513,-0.135117149,-0.173858948,-0.192778306,0.17863266,-0.207819147,0.182215409
r.vedge.vvolume,-0.132869762,-0.104335139,-0.138441821,-0.091444082,-0.038589043,-0.09043588,0.175733477
median.vedge,-0.163890057,-0.152983858,-0.145099637,-0.079817551,-0.05683527,-0.082623955,0.16362059
r.varea.vedge,-0.132562175,-0.085100426,-0.129381145,-0.07437431,-0.032865818,-0.064827278,0.158718913
r.ddgent.hbe,-0.094537042,-0.076017404,-0.119391135,-0.10568379,0.077647353,-0.115057311,0.142907093
median.varea,-0.146699353,-0.112479626,-0.125603344,-0.044559388,-0.084227614,-0.041127294,0.140446396
sum.nhbas,-0.028085185,-0.16702412,-0.170577909,-0.205263175,0.243756635,-0.219348826,0.137762227
mean.ddgent,-0.242370787,-0.33465219,-0.221140701,-0.121203796,0.012697828,-0.13296309,0.136563437
median.rsa,-0.133357345,-0.152239294,-0.154956339,-0.061434526,-0.069343138,-0.061569261,0.13445297
median.ddgent,-0.180774489,-0.216110206,-0.153461013,-0.066182502,-0.036140176,-0.069547558,0.134223671
median.vvolume,-0.14417819,-0.130079131,-0.127130764,-0.04725932,-0.083745202,-0.047756191,0.133520427
r.varea.veccentricity,-0.158875335,-0.165232136,-0.174323045,-0.082583206,-0.053984174,-0.079755771,0.131266102
mean.rsa,-0.162267995,-0.179666386,-0.176635207,-0.071315527,-0.064087229,-0.072860035,0.130235554
r.veccentricity.vvolume,-0.170748988,-0.175339135,-0.179381145,-0.087470424,-0.05053762,-0.084566749,0.128597718
r.hpshh.vsphericity,0.02844261,0.175357537,0.094563331,-0.014309375,-0.030063358,-0.016733267,0.127668384
r.vnfaces.vvolume,-0.026494558,-0.119550187,-0.092406278,-0.157973605,0.175554708,-0.17973211,0.127506704
r.varea.vnfaces,-0.021908355,-0.110188496,-0.091342868,-0.151254009,0.171970135,-0.169866975,0.126123876
sd.veccentricity,-0.08719307,-0.015976129,-0.089467112,-0.044359588,-0.061242705,-0.044434513,0.125680898
median.bfSC,-0.365345181,-0.198019086,-0.178229665,-0.121126242,0.133097166,-0.124554393,0.125482412
mean.vedge,-0.121996425,-0.059093538,-0.092959672,-0.022211999,-0.120049687,-0.021017141,0.120047058
median.veccentricity,-0.129930596,-0.066171986,-0.10075188,-0.014858825,-0.109319628,-0.009815185,0.117273516
r.bfSC.vsphericity,-0.516174615,-0.201828435,-0.2034689,-0.141823966,0.09320285,-0.133854304,0.114940323
r.rsa.vvolume,-0.047585309,-0.085807613,-0.059771807,-0.011730375,-0.075278669,-0.007923655,0.113607445
mean.bfSC,-0.336092855,-0.17336085,-0.149672696,-0.103019349,0.11400836,-0.107225669,0.112244335
sum.ISS,-0.078864985,-0.045355222,-0.106765184,-0.05319174,0.08430584,-0.047050744,0.109806158
r.veccentricity.vedge,-0.140233451,-0.147288238,-0.149234976,-0.056891792,-0.076449866,-0.053418949,0.109674536
r.veccentricity.vnfaces,-0.023632946,-0.178846154,-0.133030128,-0.143739156,0.148969452,-0.160756349,0.108494137
r.bfSC.wcnSC,-0.600256323,-0.176811347,-0.159811241,-0.135469793,0.094505495,-0.131442242,0.108446816
mean.ISS,-0.076367489,-0.044985062,-0.10513524,-0.05024815,0.082077602,-0.043951844,0.107304999
r.rsa.vnfaces,-0.073827488,-0.238657395,-0.177707818,-0.13940796,0.133758347,-0.152005889,0.106377833
mean.varea,-0.112529576,-0.055338083,-0.088123718,-0.010640675,-0.130209264,-0.009217099,0.105624639
sd.vsphericitycc,-0.006510595,0.030382775,-0.02692702,-0.023764394,-0.05330459,-0.019381934,0.103212577
mean.vvolume,-0.115388559,-0.062252221,-0.091236395,-0.009247332,-0.129880646,-0.007994637,0.100498186
r.hpshh.vsphericitym,0.066390189,0.183884537,0.106496135,-0.024695042,0.034363005,-0.026284242,0.100450865
r.rsa.vsphericity,-0.161968295,-0.099543877,-0.103575372,-0.002360797,-0.066316578,0.004481045,0.098037489
sres,-0.306937947,-0.170095649,-0.08439244,-0.089746173,0.09380824,-0.092190527,0.096806541
sum.betas,-0.05005761,-0.138616575,-0.145000056,-0.178742063,0.267178117,-0.183181316,0.096698034
r.rsa.varea,0.011385982,-0.02721489,-0.009965035,0.012848993,-0.082588464,0.016586046,0.095888322
r.bfSC.vnfaces,-0.22707687,-0.147932331,-0.078262527,-0.106273989,0.108575635,-0.114919291,0.095842316
sd.vnfaces,-0.09470398,-0.071222199,-0.075078868,-0.125960881,0.189981072,-0.133852989,0.095441401
sum.ESS,-0.050048082,-0.144150256,-0.147627415,-0.173936165,0.257369574,-0.178344729,0.092576562
mean.veccentricity,-0.088617961,-0.001696987,-0.06067748,0.008759661,-0.140966928,0.01246911,0.087734634
r.rsa.vedge,-0.050039434,-0.084992639,-0.068058258,0.013040906,-0.108181292,0.020959304,0.083018297
r.vsphericitym.wcnSC,-0.022965193,0.086562122,0.00421815,0.039242337,-0.18530417,0.038880856,0.08059572
r.rsa.veccentricity,-0.018593249,0.000350965,-0.053340081,-0.011246648,-0.082773805,-0.011250592,0.079132709
r.bfSC.vsphericitym,-0.48089542,-0.225274725,-0.185656449,-0.143369788,0.135674851,-0.138097429,0.078311163
mean.LSS,-0.016214113,-0.00498911,-0.006615122,-0.06255414,0.12007645,-0.0626685,0.076396931
r.bfSC.hbe,-0.036621273,0.034698197,0.025205058,-0.039319891,0.024079868,-0.042897892,0.067552185
sd.rsa,-0.073279352,-0.075952994,-0.085193754,-0.02620143,-0.051361796,-0.02379857,0.066716179
sd.bfSC,-0.179666386,-0.062069509,-0.052643409,-0.042634997,0.028424207,-0.053702876,0.063585099
sd.vedge,-0.042299805,0.033030128,-0.04169909,0.027631579,-0.142134182,0.032121826,0.061480625
sum.bfSC,-0.204558599,-0.179517851,-0.124557022,-0.134871707,0.22055576,-0.142483832,0.061395184
r.vedge.vnfaces,0.008951575,-0.094782849,-0.058379778,-0.116091803,0.171853147,-0.135719544,0.058087965
mean.BSS,0.058921681,0.042194843,0.03687216,-0.040978418,0.09128123,-0.04062401,0.053193303
sd.vnfacescc,-0.09899837,-0.107480677,-0.054834639,-0.084728429,0.140204532,-0.09581997,0.052735422
r.vvolume.wcnSC,-0.061021873,-0.108116883,-0.064628792,-0.14531784,0.204623009,-0.158880593,0.051837636
r.ddgent.veccentricity,-0.073582996,0.001306588,-0.036825017,0.022869236,-0.024280982,0.025055208,0.046665177
sd.vsphericity,-0.011183553,0.076364425,0.022336874,-0.000231348,-0.086706714,-0.000782113,0.045942216
